body_post,source_type,weight
531898,AVLP719m,2
11137,CB4170,2
11137,DNp29,2
11137,DNge140,2
531898,AVLP603,2
531898,GNG638,2
531898,IN18B034,2
531898,AVLP535,2
531898,AVLP511,2
531898,GNG603,2
531898,AVLP500,2
531898,DNge131,2
531898,CB3411,2
531898,AVLP374,2
531898,IN11A014,2
11137,CB1852,2
11137,GNG331,2
531898,AN05B023c,2
531898,PVLP017,2
11137,AVLP001,2
531898,WED015,2
11137,ANXXX109,2
11137,AN07B004,2
11137,ANXXX102,2
11137,PVLP062,2
11137,AN17B013,2
531898,SAD014,2
11137,IN11A032_c,2
11137,IN00A031,2
531898,PVLP071,2
11137,IN00A050,2
11137,SNpp30,2
11137,SLP003,2
11137,SIP145m,2
11137,AN17A012,2
531898,PVLP098,2
531898,SAD053,2
11137,SAD064,2
531898,PVLP107,2
11137,AN12B001,2
11137,SAD045,2
11137,IN05B086,2
11137,SAD021_b,2
531898,AN05B006,2
11137,AN17B008,2
531898,PVLP014,2
531898,AN08B016,2
531898,WED188,2
531898,WED127,2
11137,AN05B102a,2
11137,GNG344,2
531898,WED109,2
11137,AMMC-A1,2
531898,WED106,2
11137,PVLP021,2
11137,LT61b,2
11137,AN09B013,2
531898,AN07B070,2
531898,AN08B012,2
11137,LC31a,2
11137,AN05B102c,1
531898,GNG506,1
11137,AVLP705m,1
531898,GNG046,1
11137,AN05B105,1
531898,WED029,1
11137,AVLP606,1
11137,AVLP603,1
531898,GNG340,1
531898,SAD045,1
531898,GNG260,1
11137,AN05B023d,1
531898,GNG351,1
531898,IN01A050,1
531898,IN05B002,1
11137,AN08B099_a,1
531898,IN05B042,1
11137,AVLP593,1
531898,SAD021_a,1
11137,AN08B049,1
531898,WED107,1
531898,SAD072,1
531898,VES001,1
11137,CB0800,1
531898,IN00A010,1
531898,IN00A012,1
531898,GNG304,1
531898,GNG302,1
11137,AN07B025,1
11137,CB0647,1
531898,IN00A029,1
531898,GNG671,1
531898,IN00A031,1
531898,SNpp17,1
531898,GNG385,1
11137,CB1538,1
11137,AN07B062,1
531898,IN00A042,1
11137,AN08B010,1
11137,AVLP711m,1
531898,IN11A010,1
11137,AN09B004,1
531898,LoVCLo3,1
11137,AVLP535,1
11137,ANXXX178,1
11137,AVLP500,1
531898,PVLP015,1
11137,AVLP476,1
531898,LPT29,1
531898,LPT60,1
11137,AVLP077,1
11137,AVLP149,1
11137,AVLP449,1
11137,CB1932,1
531898,LoVP53,1
11137,ANXXX050,1
531898,PS038,1
531898,MeVC1,1
531898,MeVC25,1
531898,PPM1203,1
11137,AVLP396,1
11137,AVLP372,1
531898,PLP219,1
11137,AVLP203_a,1
531898,PLP015,1
11137,AVLP283,1
11137,AVLP259,1
531898,LAL195,1
531898,LAL099,1
11137,AVLP544,1
531898,PVLP097,1
531898,IN05B086,1
11137,AN09B035,1
11137,AN10B039,1
531898,IN06B016,1
531898,IN06B028,1
531898,IN07B058,1
531898,IN11A008,1
531898,PLP150,1
531898,IN11A021,1
531898,IN11A030,1
11137,AN17A003,1
11137,AN17A013,1
531898,LAL029_e,1
531898,IN11A032_c,1
531898,IN11A041,1
531898,IN21A028,1
531898,IN21A034,1
531898,PVLP085,1
11137,AN17A014,1
531898,IN23B008,1
531898,IN23B018,1
11137,AN17A024,1
531898,LAL026_a,1
11137,AN17A073,1
11137,PLP018,1
11137,CL268,1
531898,DNpe052,1
11137,GNG602,1
531898,AN00A002,1
11137,GNG502,1
11137,GNG504,1
11137,aIPg_m2,1
11137,WEDPN6B,1
11137,WED208,1
11137,WED188,1
11137,GNG640,1
531898,AN05B102a,1
11137,GNG661,1
11137,GNG671,1
11137,IN00A016,1
11137,IN00A029,1
11137,WED046,1
11137,VP2+VC5_l2PN,1
11137,VES005,1
531898,AN01A049,1
531898,AN07B004,1
11137,SAD200m,1
531898,AN09B035,1
531898,AN17A026,1
531898,AN17A018,1
531898,AN17A015,1
531898,AN17A003,1
531898,AN10B035,1
11137,GNG295,1
531898,AN10B015,1
531898,AN09B027,1
531898,AN07B116,1
531898,AN09B024,1
531898,AN09A005,1
531898,AN08B109,1
531898,AN08B099_e,1
531898,AN08B081,1
531898,AN08B010,1
531898,AN08B009,1
11137,IN05B002,1
11137,SAD106,1
531898,DNpe050,1
11137,LAL195,1
11137,IN11A021,1
11137,IN11A030,1
11137,PVLP061,1
11137,IN11A032_e,1
11137,IN23B008,1
11137,IN23B078,1
11137,IN23B096,1
11137,LT61a,1
11137,PVLP072,1
11137,LT83,1
11137,PVLP017,1
11137,LoVC16,1
11137,PPM1203,1
11137,PLP219,1
11137,OA-VUMa4,1
11137,OCG06,1
11137,PVLP071,1
11137,IN11A017,1
11137,IN05B072_b,1
11137,PVLP124,1
11137,SAD091,1
11137,SAD073,1
11137,SAD053,1
11137,SAD049,1
11137,IN06B008,1
11137,IN06B016,1
11137,IN06B024,1
11137,IN06B035,1
11137,IN11A016,1
11137,IN06B054,1
11137,IN06B056,1
11137,PVLP108,1
11137,IN10B032,1
11137,PVLP106,1
11137,IN11A008,1
11137,IN11A014,1
531898,AN17A031,1
531898,AN17B008,1
531898,AN17B012,1
531898,CB3879,1
531898,CL121_b,1
531898,CL121_a,1
11137,CB4180,1
11137,CB4246,1
11137,CL001,1
531898,CB4169,1
11137,PLP023,1
11137,CL286,1
11137,CB4162,1
11137,CL335,1
11137,DNbe003,1
531898,CB3384,1
531898,CB2940,1
531898,CB2676,1
11137,DNg56,1
531898,CB1934,1
531898,CL252,1
11137,CB4118,1
531898,AN18B004,1
11137,CB3445,1
531898,DNpe045,1
11137,CB2254,1
531898,DNp43,1
531898,DNp30,1
531898,DNp13,1
531898,DNp11,1
11137,CB3411,1
531898,DNge140,1
531898,DNd02,1
531898,DNge130,1
531898,DNge053,1
531898,DNge047,1
531898,DNge038,1
531898,DNg30,1
531898,DNg29,1
531898,DNg01_unclear,1
531898,CB1932,1
11137,DNge048,1
531898,CB1654,1
531898,AVLP093,1
11137,DNp11,1
531898,AVLP306,1
531898,AVLP205,1
531898,AVLP204,1
11137,DNp36,1
531898,AVLP201,1
531898,AVLP132,1
11137,DNp42,1
11137,DNge102,1
11137,DNpe039,1
531898,AVLP016,1
531898,AVLP005,1
531898,AVLP001,1
531898,ANXXX055,1
531898,ANXXX005,1
11137,GFC3,1
11137,DNp09,1
531898,AVLP449,1
11137,DNp03,1
531898,AVLP476,1
531898,CB1498,1
531898,CB1280,1
11137,DNge129,1
531898,CB0440,1
11137,DNge131,1
531898,CB0115,1
531898,AVLP746m,1
531898,AVLP745m,1
531898,AVLP722m,1
531898,AVLP601,1
531898,AVLP593,1
531898,AVLP559,1
11137,DNge182,1
531898,AVLP536,1
531898,AVLP532,1
531898,AN08B097,1
