source_type,target_type,target_neurons,total_weight
LPLC2,LT1a,2,4
LPLC2,LT42,2,4
LPLC2,LT65,2,4
LPLC2,LT70,3,4
LPLC2,Lat2,2,4
LPLC2,LoVP21,2,4
LPLC2,LoVP35,2,4
LPLC2,LoVP59,2,4
LPLC2,LoVP69,2,4
LPLC2,LoVP78,2,4
LPLC2,LoVP90c,1,4
LPLC2,LoVP_unclear,2,4
LPLC2,MeTu1,4,4
LPLC2,OLVC5,2,4
LPLC2,Tm31,4,4
LPLC2,WED045,1,4
LPLC2,aMe8,2,4
LPLC2,dCal1,2,4
LPLC2,AVLP086,1,3
LPLC2,AVLP322,1,3
LPLC2,AVLP552,2,3
LPLC2,CB0738,1,3
LPLC2,CB1498,2,3
LPLC2,DNc02,1,3
LPLC2,DNpe031,2,3
LPLC2,HST,2,3
LPLC2,LC14a-2,2,3
LPLC2,LC26,3,3
LPLC2,LPT51,2,3
LPLC2,LPi3c,3,3
LPLC2,LT1b,2,3
LPLC2,LT34,2,3
LPLC2,LT64,2,3
LPLC2,LT68,1,3
LPLC2,LT84,2,3
LPLC2,Li37,2,3
LPLC2,LoVP107,2,3
LPLC2,LoVP108,2,3
LPLC2,LoVP12,2,3
LPLC2,LoVP14,3,3
LPLC2,LoVP47,2,3
LPLC2,LoVP5,3,3
LPLC2,LoVP90a,1,3
LPLC2,ME_LO_unclear,2,3
LPLC2,MeLo7,3,3
LPLC2,MeTu3c,3,3
LPLC2,MeVC21,2,3
LPLC2,PLP034,1,3
LPLC2,PPM1203,1,3
LPLC2,PS171,1,3
LPLC2,PS182,1,3
LPLC2,PVLP037_unclear,1,3
LPLC2,PVLP085,1,3
LPLC2,Tm2,3,3
LPLC2,V1,1,3
LPLC2,WED117,2,3
LPLC2,aMe30,3,3
LPLC2,AVLP001,2,2
LPLC2,AVLP037,1,2
LPLC2,AVLP202,1,2
LPLC2,AVLP492,2,2
LPLC2,AVLP501,1,2
LPLC2,AVLP572,2,2
LPLC2,AVLP720m,2,2
LPLC2,CB2676,1,2
LPLC2,CB4176,2,2
LPLC2,CB4180,1,2
LPLC2,CL309,1,2
LPLC2,CL319,2,2
LPLC2,CL365,1,2
LPLC2,LAL026_b,1,2
LPLC2,LAL136_b,1,2
LPLC2,LC10_unclear,1,2
LPLC2,LPT54,1,2
LPLC2,LPi14,2,2
LPLC2,LT37,1,2
LPLC2,LT41,2,2
LPLC2,LT47,1,2
LPLC2,LT54,1,2
LPLC2,LT69,2,2
LPLC2,LT81,2,2
LPLC2,LT86,1,2
LPLC2,Li18a,2,2
LPLC2,Li_unclear,1,2
LPLC2,LoVC17,2,2
LPLC2,LoVC19,2,2
LPLC2,LoVC23,1,2
LPLC2,LoVC6,1,2
LPLC2,LoVC7,2,2
LPLC2,LoVP102,1,2
LPLC2,LoVP103,1,2
LPLC2,LoVP106,1,2
LPLC2,LoVP13,1,2
LPLC2,LoVP32,2,2
LPLC2,LoVP38,1,2
LPLC2,LoVP48,2,2
LPLC2,LoVP6,2,2
LPLC2,LoVP89,2,2
LPLC2,LoVP95,1,2
LPLC2,MeLo4,2,2
LPLC2,MeTu4c,2,2
LPLC2,MeTu4d,2,2
LPLC2,MeVP17,1,2
LPLC2,MeVP53,1,2
LPLC2,MeVPMe1,2,2
LPLC2,MeVPMe2,2,2
LPLC2,Mi14,2,2
LPLC2,PLP256,1,2
LPLC2,PVLP082,1,2
LPLC2,PVLP113,1,2
LPLC2,PVLP203m,1,2
LPLC2,Pm13,1,2
LPLC2,Tm1,2,2
LPLC2,Tm35,2,2
LPLC2,VST1,2,2
LPLC2,aMe17e,2,2
LPLC2,vCal1,2,2
LPLC2,vCal2,1,2
LPLC2,AN27X011,1,1
LPLC2,AVLP016,1,1
LPLC2,AVLP039,1,1
LPLC2,AVLP077,1,1
LPLC2,AVLP111,1,1
LPLC2,AVLP300_b,1,1
LPLC2,AVLP314,1,1
LPLC2,AVLP398,1,1
LPLC2,AVLP449,1,1
LPLC2,AVLP504,1,1
LPLC2,AVLP507,1,1
LPLC2,AVLP536,1,1
LPLC2,AVLP539,1,1
LPLC2,AVLP593,1,1
LPLC2,AVLP705m,1,1
LPLC2,CB0280,1,1
LPLC2,CB0785,1,1
LPLC2,CB1044,1,1
LPLC2,CB1340,1,1
LPLC2,CB1502,1,1
LPLC2,CB1934,1,1
LPLC2,CB1973,1,1
LPLC2,CB3598,1,1
LPLC2,CL022_a,1,1
LPLC2,CL022_c,1,1
LPLC2,CL125,1,1
LPLC2,CL131,1,1
LPLC2,CL203,1,1
LPLC2,CL303,1,1
LPLC2,DNp03,1,1
LPLC2,DNp47,1,1
LPLC2,LC27,1,1
LPLC2,LC34,1,1
LPLC2,LC40,1,1
LPLC2,LC41,1,1
LPLC2,LLPC4,1,1
LPLC2,LOP_unclear,1,1
LPLC2,LO_unclear,1,1
LPLC2,LPT27,1,1
LPLC2,LPT53,1,1
LPLC2,LPT57,1,1
LPLC2,LT67,1,1
LPLC2,LT85,1,1
LPLC2,Li18b,1,1
LPLC2,Li28,1,1
LPLC2,Li35,1,1
LPLC2,Li36,1,1
LPLC2,LoVC25,1,1
LPLC2,LoVC5,1,1
LPLC2,LoVP16,1,1
LPLC2,LoVP43,1,1
LPLC2,LoVP49,1,1
LPLC2,LoVP55,1,1
LPLC2,LoVP57,1,1
LPLC2,LoVP58,1,1
LPLC2,LoVP7,1,1
LPLC2,LoVP74,1,1
LPLC2,LoVP75,1,1
LPLC2,LoVP84,1,1
LPLC2,LoVP86,1,1
LPLC2,MBON33,1,1
LPLC2,MeLo5,1,1
LPLC2,MeLo6,1,1
LPLC2,MeTu3b,1,1
LPLC2,MeTu4_unclear,1,1
LPLC2,MeTu4a,1,1
LPLC2,MeVC20,1,1
LPLC2,MeVC22,1,1
LPLC2,MeVP14,1,1
LPLC2,MeVP29,1,1
LPLC2,MeVPLp2,1,1
LPLC2,OLVC3,1,1
LPLC2,OLVC4,1,1
LPLC2,PLP170,1,1
LPLC2,PS001,1,1
LPLC2,PS208,1,1
LPLC2,PS335,1,1
LPLC2,PVLP100,1,1
LPLC2,PVLP107,1,1
LPLC2,PVLP108,1,1
LPLC2,PVLP127,1,1
LPLC2,Pm12,1,1
LPLC2,Pm2a,1,1
LPLC2,Pm4,1,1
LPLC2,Pm8,1,1
LPLC2,SAD011,1,1
LPLC2,SAD044,1,1
LPLC2,SIP108m,1,1
LPLC2,SLP250,1,1
LPLC2,Tm23,1,1
LPLC2,Tm34,1,1
LPLC2,Tm3_unclear,1,1
LPLC2,Tm9,1,1
LPLC2,TmY_unclear,1,1
LPLC2,Tm_unclear,1,1
LPLC2,WED210,1,1
LPLC2,Y_unclear,1,1
