bodyId,type,instance,side,predictedNt,status
25584,LC4,LC4_R,right,acetylcholine,Traced
26112,LC4,LC4_R,right,acetylcholine,Traced
28945,LC4,LC4_R,right,acetylcholine,Traced
29563,LC4,LC4_R,right,acetylcholine,Traced
30480,LC4,LC4_R,right,acetylcholine,Traced
30803,LC4,LC4_R,right,acetylcholine,Traced
31262,LC4,LC4_R,right,acetylcholine,Traced
38065,LC4,LC4_R,right,acetylcholine,Traced
527408,LC4,LC4_R,right,acetylcholine,Traced
11498,LPLC2,LPLC2_L,left,acetylcholine,Traced
12384,LPLC2,LPLC2_L,left,acetylcholine,Traced
13132,LPLC2,LPLC2_L,left,acetylcholine,Traced
13726,LPLC2,LPLC2_L,left,acetylcholine,Traced
13764,LPLC2,LPLC2_L,left,acetylcholine,Traced
14030,LPLC2,LPLC2_L,left,acetylcholine,Traced
14102,LPLC2,LPLC2_L,left,acetylcholine,Traced
15804,LPLC2,LPLC2_L,left,acetylcholine,Traced
17059,LPLC2,LPLC2_L,left,acetylcholine,Traced
17544,LPLC2,LPLC2_L,left,acetylcholine,Traced
17774,LPLC2,LPLC2_L,left,acetylcholine,Traced
17775,LPLC2,LPLC2_L,left,acetylcholine,Traced
17880,LPLC2,LPLC2_L,left,acetylcholine,Traced
17990,LPLC2,LPLC2_L,left,acetylcholine,Traced
18900,LPLC2,LPLC2_L,left,acetylcholine,Traced
18936,LPLC2,LPLC2_L,left,acetylcholine,Traced
19787,LPLC2,LPLC2_L,left,acetylcholine,Traced
19830,LPLC2,LPLC2_L,left,acetylcholine,Traced
19911,LPLC2,LPLC2_L,left,acetylcholine,Traced
20240,LPLC2,LPLC2_L,left,acetylcholine,Traced
20329,LPLC2,LPLC2_L,left,acetylcholine,Traced
20799,LPLC2,LPLC2_L,left,acetylcholine,Traced
21299,LPLC2,LPLC2_L,left,acetylcholine,Traced
21361,LPLC2,LPLC2_L,left,acetylcholine,Traced
22253,LPLC2,LPLC2_L,left,acetylcholine,Traced
22557,LPLC2,LPLC2_L,left,acetylcholine,Traced
23247,LPLC2,LPLC2_L,left,acetylcholine,Traced
23349,LPLC2,LPLC2_L,left,acetylcholine,Traced
23550,LPLC2,LPLC2_L,left,acetylcholine,Traced
23665,LPLC2,LPLC2_L,left,acetylcholine,Traced
23919,LPLC2,LPLC2_L,left,acetylcholine,Traced
24308,LPLC2,LPLC2_L,left,acetylcholine,Traced
24568,LPLC2,LPLC2_L,left,acetylcholine,Traced
24605,LPLC2,LPLC2_L,left,acetylcholine,Traced
24840,LPLC2,LPLC2_L,left,acetylcholine,Traced
25027,LPLC2,LPLC2_L,left,acetylcholine,Traced
25136,LPLC2,LPLC2_L,left,acetylcholine,Traced
