body_post,source_type,weight
10010,LC4,3782
10010,UNKNOWN,3537
10010,LPLC2,2642
10001,LC4,2580
10001,UNKNOWN,2340
10001,LPLC2,2220
10010,DNp70,819
10010,,755
10010,SAD073,708
10010,SAD064,667
10001,PVLP122,614
10010,PVLP122,602
10001,DNp70,597
10001,SAD064,548
10010,JO-B1_a,518
10001,SAD073,469
10010,PVLP010,414
10010,PVLP151,334
10010,PVLP123,324
10001,PVLP010,297
10001,PVLP123,296
10010,CL367,296
10010,CL038,286
10010,AN12B001,280
10010,DNpe042,278
10010,PVLP062,275
10001,CB1638,270
10001,PVLP151,269
10001,CL038,263
10010,GNG300,261
10001,AN12B001,245
10010,CB2664,244
10001,CL367,241
10001,,229
10001,DNpe042,216
10001,GNG300,213
10001,PVLP062,211
10001,CB2664,211
10001,AN08B098,208
10010,AVLP452,207
10010,AN08B098,191
10010,LHAD1g1,188
10001,SAD091,181
10010,SAD109,181
10001,SAD109,179
10010,SAD091,167
10001,LHAD1g1,161
10010,AVLP396,154
10010,AVLP202,149
10010,CB0307,148
10001,AVLP452,147
10010,JO-B1_c,146
10001,DNp103,143
10010,DNp103,140
10001,SAD053,138
10010,CB4179,137
10010,IN00A062,136
10010,SAD096,129
10010,CB1638,126
10010,SAD049,125
10010,SAD014,123
10001,IN00A062,121
10001,CB0307,119
10001,SAD023,115
10001,SAD096,114
10010,SAD107,113
10010,DNp11,113
10010,SAD023,112
10010,PVLP027,109
10001,AVLP202,109
10001,AVLP396,105
10010,SAD053,105
10010,SMP068,104
10001,AN10B019,102
10010,AMMC-A1,101
10010,CB3513,100
10001,WED116,98
10010,CB1280,97
10001,CB3544,97
10010,WED207,95
10010,SAD021_a,94
10010,AVLP094,92
10010,IN12B015,92
10010,PVLP026,92
10010,CB2472,90
10001,CB3513,90
10001,CB1280,89
10010,SAD103,88
10010,SAD092,88
10001,IN05B032,87
10001,SAD107,87
10001,PVLP027,85
10001,CB1948,84
10001,SAD092,83
10010,DNge130,83
10001,SMP068,80
10001,SAD103,77
10010,CB1538,76
10010,AN10B019,75
10010,AN05B006,74
10010,CL121_a,74
10010,CB3544,73
10001,CL323,73
10001,CB4179,73
10001,PVLP024,71
10010,IN05B032,69
10001,SAD013,65
10010,CB4180,65
10010,PVLP024,63
10001,SAD021_a,63
10001,SAD014,63
10001,SAD049,63
10001,DNge130,61
10001,CB1538,60
10001,AVLP094,58
10010,CB2254,58
10001,AN05B006,58
10010,SAD111,58
10001,AVLP542,57
10001,PVLP026,57
10010,CB0397,57
10010,IN00A047,56
10010,SAD013,56
10001,SAD111,55
10001,AMMC-A1,55
10010,CB1948,53
10010,PSI,53
10010,AVLP542,53
10010,PS001,52
10010,CL323,52
10001,AMMC019,51
10010,PVLP017,48
10001,IN00A039,48
10010,AVLP442,47
10001,AVLP093,47
10010,AMMC019,46
10010,CL022_c,45
10010,IN00A039,45
10001,CB0397,44
10001,WED207,44
10001,CL022_c,42
10001,PSI,42
10001,AVLP442,41
10010,CL022_b,40
10010,AN08B099_e,40
10010,AVLP093,39
10001,SAD055,39
10010,PVLP031,39
10010,SAD021_c,38
10001,IN21A032,38
10010,CL308,38
10001,AVLP040,37
10010,IN13A022,37
10001,PS001,37
10001,PVLP022,35
10010,SIP118m,35
10001,AVLP076,35
10010,CB0414,35
10001,PVLP017,34
10010,PS005_e,33
10001,IN13A022,32
10010,WED116,32
10001,DNp59,32
10001,IN12B015,32
10010,DNp26,31
10010,IN21A032,31
10010,PVLP100,31
10001,CB4180,31
10010,GNG343,31
10010,SAD098,31
10010,CB0956,31
10001,CL022_a,31
10001,CL121_a,30
10010,CB3879,30
10001,SAD021_c,30
10010,PVLP021,30
10010,AVLP710m,30
10001,PVLP031,28
10001,IN00A047,28
10001,PVLP021,28
10010,DNp59,28
10010,AVLP040,27
10010,CB1314,27
10001,CB2472,27
10010,CB2153,27
10001,CB2153,27
10001,JO-B1_a,27
10001,GNG343,27
10010,PLP018,26
10010,AVLP203_b,26
10010,AN23B001,26
10001,CL308,24
10001,AVLP710m,24
10001,AVLP547,24
10001,AN08B099_e,23
10010,CB4118,23
10001,WED109,23
10001,PVLP034,23
10010,DNp57,22
10010,PVLP046,22
10010,CB4102,21
10010,IN07B066,21
10010,CL022_a,21
10001,IN00A022,21
10001,GNG103,21
10001,AN09A005,20
10001,CL022_b,20
10010,WED109,20
10010,AVLP605,20
10001,CB4118,20
10010,DNb01,19
10001,CB1314,18
10001,CL066,18
10001,PVLP100,18
10010,CL001,17
10010,IN07B055,17
10010,DNa05,17
10010,CL066,17
10010,DNg96,17
10010,CB1702,17
10001,AVLP605,17
10001,SAD098,16
10001,AN12B004,16
10010,AVLP547,16
10001,CL286,16
10001,OCG06,15
10001,CB0956,15
10001,AN19B036,15
10001,IN11A001,15
10010,AVLP076,15
10001,CB3692,15
10010,AVLP460,15
10010,AVLP597,15
10001,DNg33,15
10010,PS306,15
10010,CB2869,15
10010,IN11A001,15
10001,PVLP046,15
10001,PS002,15
10010,CB1498,14
10010,CL286,14
10001,SAD052,14
10010,AN02A002,14
10001,PS004,14
10010,AN12B004,14
10010,DNg40,14
10001,IN06B056,14
10010,WED206,14
10010,SAD011,14
10001,DNg56,14
10001,AN17B002,14
10001,CB0414,14
10010,PS005_c,14
10010,PS002,14
10010,AN18B032,13
10001,SAD021,13
10010,CB3024,13
10010,OCG06,13
10010,PLP060,13
10010,SAD052,13
10010,AVLP263,13
