bodyId,type
10001,DNp01
10010,DNp01
10026,DNp18
10030,pIP1
10033,DNg56
10038,pIP1
10045,DNg100
10048,DNp18
10054,DNpe013
10056,DNg100
10059,DNp20
10063,DNp27
10065,DNb05
10068,DNp30
10090,aSP22
10091,DNpe042
10104,aSP22
10106,DNp11
10117,DNp02
10118,DNb05
10123,DNg30
10124,DNg105
10131,DNg74_a
10135,DNge031
10141,DNg15
10143,DNp30
10151,DNge103
10160,DNg90
10162,DNp20
10163,DNge036
10177,DNg16
10192,DNg75
10195,DNp29
10197,DNp02
10213,DNge083
10216,DNge037
10218,DNg35
10221,DNge037
10223,DNpe056
10228,DNp06
10234,DNp35
10236,DNg99
10237,DNg30
10244,DNp55
10245,DNp36
10247,DNg74_a
10249,DNp31
10259,DNp11
10264,DNp31
10274,DNg108
10280,DNp47
10281,DNg108
10283,DNp103
10286,DNpe053
10295,DNg34
10296,DNge054
10301,DNge050
10304,DNge041
10313,DNge031
10336,DNg22
10341,DNp19
10342,DNc02
10354,DNp73
10360,DNa02
10361,DNg40
10366,DNp59
10377,DNge054
10379,DNa10
10384,DNp63
10388,DNp13
10394,DNg98
10411,DNb09
10416,DNde002
10417,DNp103
10425,DNp10
10433,DNp10
10440,DNg16
10442,DNa01
10444,DNge035
10446,DNp73
10447,DNge138
10449,DNpe025
10458,DNp13
10460,DNa09
10464,DNp08
10469,DNbe001
10482,DNg35
10499,DNge039
10504,DNp62
10506,DNg37
10520,DNg74_b
10527,DNpe017
10535,DNg37
10536,DNg29
10543,DNa16
10544,DNg88
10548,DNg80
10552,DNp29
10558,DNp35
10562,DNp26
10575,DNde002
10577,DNg96
10578,DNpe034
10580,DNp70
10582,DNge040
10584,DNp06
10587,DNge011
10589,DNp43
10590,DNpe052
10601,DNpe025
10643,DNge059
10649,DNp38
10654,DNb01
10662,DNge003
10664,DNp33
10668,DNge006
10672,DNae009
10674,DNp59
10676,DNg49
10680,DNp48
10686,DNge132
10700,DNpe001
10703,DNge036
10705,DNc02
10710,DNg102
10711,DNb07
10712,DNp36
10713,DNp42
10717,DNg93
10724,DNp62
10727,DNpe002
10732,DNpe056
10734,DNg93
10739,DNg24
10740,DNge143
10752,DNp03
10759,DNb01
10760,DNa01
10763,MDN
10765,pMP2
10770,DNp23
10783,DNp09
10800,DNbe007
10805,DNb02
10810,DNp66
10813,DNp43
10822,DNge047
10823,DNp48
10833,DNge062
10834,DNpe013
10837,DNa15
10838,DNde005
10842,CB0429
10844,DNge053
10846,DNge107
10853,DNge049
10856,DNge129
10873,DNg39
10884,DNa15
10885,DNg88
10888,DNb06
10895,DNg90
10923,DNg40
10924,DNa04
10930,pMP2
10931,DNpe045
10952,DNge107
10957,DNp69
10959,DNg98
10967,DNg70
10968,DNp34
10971,DNa11
10975,DNa03
10976,DNge146
10979,DNge103
10985,DNbe004
10989,DNp03
11002,DNae002
11006,DNge129
11020,DNp05
11028,DNb09
