body_pre,body_post,weight,source_type,descending_type
11361,10283,144,CL367,DNp103
10283,10001,143,DNp103,DNp01
11895,10106,142,PVLP022,DNp11
12628,10001,142,DNpe042,DNp01
10993,519771,141,AVLP078,DNp71
24523,531898,141,LC4,DNp04
11832,10010,140,CL367,DNp01
12275,10001,140,PVLP151,DNp01
14910,10752,139,CL340,DNp03
12215,10283,139,PVLP122,DNp103
10323,11159,138,CL366,DNp71
522349,10417,138,,DNp103
17616,10584,138,PVLP123,DNp06
523921,10584,137,PVLP122,DNp06
16931,10010,136,SAD073,DNp01
15323,10923,136,PVLP123,DNg40
12215,10584,136,PVLP122,DNp06
12056,10228,136,WED046,DNp06
813937,10010,136,,DNp01
570458,10417,135,AVLP176_d,DNp103
12255,10223,135,PVLP019,DNpe056
11205,10361,134,SAD073,DNg40
12237,10117,134,SAD055,DNp02
26056,10923,134,AVLP093,DNg40
11431,10283,133,AN05B102a,DNp103
12798,10283,133,AVLP210,DNp103
10867,11159,133,PVLP076,DNp71
95135,10228,133,,DNp06
14888,531898,132,LC4,DNp04
520449,531898,132,LC4,DNp04
12508,10601,132,PVLP149,DNpe025
533480,10228,132,AVLP435_b,DNp06
37587,531898,132,LC4,DNp04
11567,10584,132,WED046,DNp06
17548,11137,132,LC4,DNp04
533480,10417,131,AVLP435_b,DNp103
17340,531898,131,LC4,DNp04
33474,10106,131,SAD049,DNp11
11278,10091,130,PVLP016,DNpe042
10246,10010,129,SAD096,DNp01
518439,531898,129,LC4,DNp04
11484,12628,129,GNG107,DNpe042
16445,10001,128,PVLP123,DNp01
10417,10010,128,DNp103,DNp01
150489,10228,128,AN09B016,DNp06
555383,519771,128,PVLP076,DNp71
555227,10010,128,CL038,DNp01
16128,11137,128,LC4,DNp04
77614,531898,128,LC4,DNp04
47008,12628,128,SMP482,DNpe042
11435,10584,128,LoVP54,DNp06
530029,531898,128,LC4,DNp04
11832,10091,127,CL367,DNpe042
10588,12628,127,AVLP710m,DNpe042
14085,10584,127,AN09B012,DNp06
21804,11137,126,LC4,DNp04
520034,10228,126,AVLP082,DNp06
13274,10001,125,SAD073,DNp01
513904,10010,125,SAD049,DNp01
15068,10732,125,PVLP019,DNpe056
17478,531898,125,LC4,DNp04
11832,10001,125,CL367,DNp01
12477,10417,125,CB0992,DNp103
521758,10283,125,CB1108,DNp103
11378,10117,125,CB1280,DNp02
525958,524001,124,PLP060,DNp05
525452,10091,124,AVLP710m,DNpe042
14412,10558,124,PLP017,DNp35
12891,12628,124,SMP456,DNpe042
11378,10197,124,CB1280,DNp02
521783,10449,123,AVLP712m,DNpe025
31262,11137,123,LC4,DNp04
523842,10234,123,AVLP449,DNp35
12769,10283,123,AVLP573,DNp103
12242,524001,122,SAD055,DNp05
523643,10117,122,CB0307,DNp02
10671,10931,122,AN02A002,DNpe045
23929,11137,122,LC4,DNp04
531581,10584,121,AVLP451,DNp06
522349,10228,121,,DNp06
521298,10117,121,DNge130,DNp02
16809,531898,120,LC4,DNp04
11257,10091,120,DNp45,DNpe042
10145,10558,120,PVLP130,DNp35
12129,10001,120,SAD053,DNp01
10584,10923,120,DNp06,DNg40
10246,10923,119,SAD096,DNg40
17987,11137,119,LC4,DNp04
523643,10001,119,CB0307,DNp01
13780,10228,119,AN19B036,DNp06
11101,10558,119,AVLP502,DNp35
10287,10228,119,AVLP606,DNp06
12924,12628,119,GNG495,DNpe042
16628,11137,118,LC4,DNp04
33474,10584,118,SAD049,DNp06
31440,12628,117,AVLP442,DNpe042
10778,10417,117,CL286,DNp103
95135,10417,117,,DNp103
10667,10417,117,AVLP210,DNp103
25724,10558,117,CL121_b,DNp35
14993,10234,117,PLP017,DNp35
12996,10584,117,AN19B036,DNp06
10792,10417,116,AVLP571,DNp103
11361,10001,116,CL367,DNp01
18990,10449,116,pC1_11a,DNpe025
19135,10417,116,AVLP460,DNp103
519974,10417,116,AVLP176_b,DNp103
10472,10449,116,MZ_lv2PN,DNpe025
10098,10091,116,AVLP442,DNpe042
10173,10001,116,PVLP151,DNp01
12556,11020,115,PLP093,DNp05
14551,10283,115,AVLP435_b,DNp103
17426,10584,115,PVLP123,DNp06
13498,10234,115,PLP017,DNp35
15791,10259,115,SAD064,DNp11
16931,10923,115,SAD073,DNg40
22388,10417,114,AVLP176_c,DNp103
11137,10558,114,DNp04,DNp35
10246,10001,114,SAD096,DNp01
25839,10283,114,AVLP176_d,DNp103
14119,10752,114,AN09B023,DNp03
523373,10228,113,AN09B012,DNp06
10570,10010,113,SAD107,DNp01
12237,11020,113,SAD055,DNp05
296721,10601,113,SIP119m,DNpe025
17616,10923,113,PVLP123,DNg40
18687,10283,113,CB3019,DNp103
11462,10234,113,AVLP502,DNp35
12255,10259,112,PVLP019,DNp11
199352,10197,112,DNge130,DNp02
17992,12628,112,SMP482,DNpe042
527704,10001,112,CL038,DNp01
10494,10417,112,AVLP076,DNp103
14316,10558,112,CL121_b,DNp35
20509,10417,111,CB2316,DNp103
22620,10417,111,AVLP176_d,DNp103
12557,524001,111,PLP093,DNp05
29150,10417,111,AVLP176_d,DNp103
534038,10584,111,PVLP062,DNp06
46003,10234,111,WED072,DNp35
32911,10601,111,SIP119m,DNpe025
17404,10010,111,AVLP202,DNp01
516001,10283,111,AVLP176_b,DNp103
23544,10584,111,WED072,DNp06
20859,531898,111,LC4,DNp04
518983,531898,111,LC4,DNp04
14057,10989,111,CL340,DNp03
19440,10584,111,AN09B016,DNp06
13472,10259,110,SAD053,DNp11
511914,531898,110,LC4,DNp04
521682,10228,110,AVLP170,DNp06
21339,10584,110,,DNp06
12041,12628,110,AVLP396,DNpe042
532569,10091,110,CL038,DNpe042
813937,10106,109,,DNp11
