body_pre,body_post,weight,source_type,target_type
24187,12951,57,LPLC2,PVLP069
24187,10923,57,LPLC2,DNg40
24401,16659,57,LPLC2,PVLP011
23919,12427,57,LPLC2,PVLP069
18929,12951,57,LPLC2,PVLP069
21318,16659,57,LPLC2,PVLP011
536444,523564,56,LPLC2,PVLP011
21045,10943,56,LPLC2,AVLP531
25286,523564,56,LPLC2,PVLP011
29319,523564,56,LPLC2,PVLP011
533895,523564,56,LPLC2,PVLP011
28003,16659,56,LPLC2,PVLP011
28011,12427,55,LPLC2,PVLP069
111903,523564,55,LPLC2,PVLP011
23590,10943,55,LPLC2,AVLP531
19787,10010,55,LPLC2,DNp01
531014,12427,55,LPLC2,PVLP069
34681,16659,55,LPLC2,PVLP011
26416,12427,55,LPLC2,PVLP069
15804,523564,55,LPLC2,PVLP011
27796,523564,55,LPLC2,PVLP011
514670,531898,55,LPLC2,DNp04
22261,12951,54,LPLC2,PVLP069
20047,12951,54,LPLC2,PVLP069
19787,12427,54,LPLC2,PVLP069
25524,12427,54,LPLC2,PVLP069
26528,523564,54,LPLC2,PVLP011
21361,12427,54,LPLC2,PVLP069
112292,523564,54,LPLC2,PVLP011
25572,523564,54,LPLC2,PVLP011
25253,12951,54,LPLC2,PVLP069
24568,12427,54,LPLC2,PVLP069
31105,523564,54,LPLC2,PVLP011
22557,10010,54,LPLC2,DNp01
20269,10001,53,LPLC2,DNp01
25027,523564,53,LPLC2,PVLP011
29702,523564,53,LPLC2,PVLP011
20334,12951,53,LPLC2,PVLP069
29319,12427,53,LPLC2,PVLP069
521115,12427,53,LPLC2,PVLP069
17990,523564,53,LPLC2,PVLP011
27796,12427,53,LPLC2,PVLP069
29955,523564,53,LPLC2,PVLP011
27399,523564,53,LPLC2,PVLP011
21808,10283,53,LPLC2,DNp103
17774,523564,53,LPLC2,PVLP011
20799,523564,52,LPLC2,PVLP011
17544,523564,52,LPLC2,PVLP011
23247,523564,52,LPLC2,PVLP011
34655,12427,52,LPLC2,PVLP069
100103,523564,52,LPLC2,PVLP011
28188,523564,52,LPLC2,PVLP011
26147,12951,52,LPLC2,PVLP069
29391,12951,52,LPLC2,PVLP069
34372,12951,52,LPLC2,PVLP069
19608,12951,52,LPLC2,PVLP069
29815,12427,51,LPLC2,PVLP069
23497,10283,51,LPLC2,DNp103
95241,12427,51,LPLC2,PVLP069
25316,10283,51,LPLC2,DNp103
112292,12427,51,LPLC2,PVLP069
12384,523564,51,LPLC2,PVLP011
31105,12427,51,LPLC2,PVLP069
23349,523564,51,LPLC2,PVLP011
32223,523564,51,LPLC2,PVLP011
22218,12951,51,LPLC2,PVLP069
111903,10228,51,LPLC2,DNp06
35680,16659,51,LPLC2,PVLP011
29216,16659,51,LPLC2,PVLP011
32223,12427,50,LPLC2,PVLP069
28871,12951,50,LPLC2,PVLP069
24268,12951,50,LPLC2,PVLP069
20471,10283,50,LPLC2,DNp103
29598,10283,50,LPLC2,DNp103
533895,10010,50,LPLC2,DNp01
40841,523564,50,LPLC2,PVLP011
35889,12951,50,LPLC2,PVLP069
13726,531898,50,LPLC2,DNp04
23919,523564,50,LPLC2,PVLP011
20162,10283,50,LPLC2,DNp103
24308,12427,50,LPLC2,PVLP069
25136,523564,49,LPLC2,PVLP011
11498,12427,49,LPLC2,PVLP069
19608,10001,49,LPLC2,DNp01
29955,12427,49,LPLC2,PVLP069
27355,12427,49,LPLC2,PVLP069
24118,12951,49,LPLC2,PVLP069
28871,10943,49,LPLC2,AVLP531
23247,12427,49,LPLC2,PVLP069
14030,531898,48,LPLC2,DNp04
24187,10001,48,LPLC2,DNp01
20103,10001,48,LPLC2,DNp01
23497,10943,48,LPLC2,AVLP531
28741,12951,48,LPLC2,PVLP069
17059,523564,48,LPLC2,PVLP011
518731,10010,48,LPLC2,DNp01
17551,11677,48,LPLC2,PVLP151
39620,10923,48,LPLC2,DNg40
21045,12951,48,LPLC2,PVLP069
520764,12427,48,LPLC2,PVLP069
40811,523564,48,LPLC2,PVLP011
25854,10010,48,LPLC2,DNp01
18672,10283,48,LPLC2,DNp103
27716,12427,47,LPLC2,PVLP069
27716,523564,47,LPLC2,PVLP011
25253,10283,47,LPLC2,DNp103
23919,10010,47,LPLC2,DNp01
20535,10943,47,LPLC2,AVLP531
17544,10228,47,LPLC2,DNp06
34051,12427,47,LPLC2,PVLP069
31257,12951,47,LPLC2,PVLP069
24401,10001,47,LPLC2,DNp01
20047,10001,47,LPLC2,DNp01
21562,10001,47,LPLC2,DNp01
111903,12427,47,LPLC2,PVLP069
18672,11137,47,LPLC2,DNp04
29815,523564,47,LPLC2,PVLP011
39620,12951,47,LPLC2,PVLP069
21862,12951,47,LPLC2,PVLP069
24840,523564,47,LPLC2,PVLP011
24268,10943,47,LPLC2,AVLP531
20694,12951,47,LPLC2,PVLP069
31964,12951,47,LPLC2,PVLP069
517079,523564,47,LPLC2,PVLP011
17880,12427,47,LPLC2,PVLP069
25136,12427,46,LPLC2,PVLP069
20799,10010,46,LPLC2,DNp01
20584,11137,46,LPLC2,DNp04
531014,523564,46,LPLC2,PVLP011
129687,12427,46,LPLC2,PVLP069
29753,12427,46,LPLC2,PVLP069
23878,10001,46,LPLC2,DNp01
17544,12427,46,LPLC2,PVLP069
33396,12951,46,LPLC2,PVLP069
21808,11677,46,LPLC2,PVLP151
28044,10923,46,LPLC2,DNg40
24568,523564,46,LPLC2,PVLP011
520764,10010,46,LPLC2,DNp01
524366,12427,46,LPLC2,PVLP069
33694,12951,46,LPLC2,PVLP069
26393,12951,45,LPLC2,PVLP069
515971,10010,45,LPLC2,DNp01
26915,12951,45,LPLC2,PVLP069
25267,10943,45,LPLC2,AVLP531
20103,10943,45,LPLC2,AVLP531
26730,10943,45,LPLC2,AVLP531
12384,12427,45,LPLC2,PVLP069
25575,523564,45,LPLC2,PVLP011
20162,10001,45,LPLC2,DNp01
17551,22212,45,LPLC2,PVLP111
19249,12951,44,LPLC2,PVLP069
517819,10010,44,LPLC2,DNp01
13764,12427,44,LPLC2,PVLP069
517819,12427,44,LPLC2,PVLP069
35889,10943,44,LPLC2,AVLP531
30512,12427,44,LPLC2,PVLP069
21862,10283,44,LPLC2,DNp103
12384,531898,44,LPLC2,DNp04
29702,10417,44,LPLC2,DNp103
25286,12427,44,LPLC2,PVLP069
27023,523564,44,LPLC2,PVLP011
28871,10923,44,LPLC2,DNg40
515971,531898,44,LPLC2,DNp04
17990,12427,44,LPLC2,PVLP069
25209,12427,44,LPLC2,PVLP069
21769,11137,44,LPLC2,DNp04
26915,10943,44,LPLC2,AVLP531
14030,523564,44,LPLC2,PVLP011
525844,523564,44,LPLC2,PVLP011
25511,12951,44,LPLC2,PVLP069
13132,523564,44,LPLC2,PVLP011
50287,12951,44,LPLC2,PVLP069
31964,10001,44,LPLC2,DNp01
17775,10010,44,LPLC2,DNp01
25316,12951,44,LPLC2,PVLP069
30207,10283,44,LPLC2,DNp103
29986,16659,43,LPLC2,PVLP011
28044,10001,43,LPLC2,DNp01
29986,12951,43,LPLC2,PVLP069
23665,10010,43,LPLC2,DNp01
23665,523564,43,LPLC2,PVLP011
100103,531898,43,LPLC2,DNp04
517079,10010,43,LPLC2,DNp01
24401,12951,43,LPLC2,PVLP069
21045,10283,43,LPLC2,DNp103
21808,12951,43,LPLC2,PVLP069
23878,10943,43,LPLC2,AVLP531
23550,12427,43,LPLC2,PVLP069
25572,12427,43,LPLC2,PVLP069
13726,12275,43,LPLC2,PVLP151
13726,10010,43,LPLC2,DNp01
30893,523564,43,LPLC2,PVLP011
19034,11677,43,LPLC2,PVLP151
25524,10010,43,LPLC2,DNp01
20471,10001,43,LPLC2,DNp01
22261,10283,43,LPLC2,DNp103
26147,10001,42,LPLC2,DNp01
41097,523564,42,LPLC2,PVLP011
41097,12427,42,LPLC2,PVLP069
17544,10158,42,LPLC2,LT56
134521,12427,42,LPLC2,PVLP069
521115,523564,42,LPLC2,PVLP011
20334,10283,42,LPLC2,DNp103
17775,531898,42,LPLC2,DNp04
29216,12951,42,LPLC2,PVLP069
29598,12951,42,LPLC2,PVLP069
22253,531898,42,LPLC2,DNp04
22261,10943,42,LPLC2,AVLP531
33406,12427,42,LPLC2,PVLP069
30041,12951,42,LPLC2,PVLP069
21562,12951,42,LPLC2,PVLP069
24800,12951,42,LPLC2,PVLP069
32737,10417,42,LPLC2,DNp103
29391,10943,42,LPLC2,AVLP531
19608,10943,42,LPLC2,AVLP531
514670,12275,42,LPLC2,PVLP151
518731,10417,42,LPLC2,DNp103
21299,523564,42,LPLC2,PVLP011
21899,12951,42,LPLC2,PVLP069
31257,10943,42,LPLC2,AVLP531
29391,10923,41,LPLC2,DNg40
24187,10943,41,LPLC2,AVLP531
28871,10001,41,LPLC2,DNp01
35294,523564,41,LPLC2,PVLP011
29287,12951,41,LPLC2,PVLP069
33303,12427,41,LPLC2,PVLP069
21562,10923,41,LPLC2,DNg40
24800,10001,41,LPLC2,DNp01
19249,10601,41,LPLC2,DNpe025
23497,10001,41,LPLC2,DNp01
25027,12427,41,LPLC2,PVLP069
19842,12951,41,LPLC2,PVLP069
29183,10283,41,LPLC2,DNp103
14030,12427,41,LPLC2,PVLP069
23349,10010,41,LPLC2,DNp01
23550,523564,41,LPLC2,PVLP011
33185,10001,41,LPLC2,DNp01
13726,523626,41,LPLC2,PVLP071
25253,10943,41,LPLC2,AVLP531
18900,523564,41,LPLC2,PVLP011
20240,10010,41,LPLC2,DNp01
22677,12951,41,LPLC2,PVLP069
524366,523564,41,LPLC2,PVLP011
23590,10923,41,LPLC2,DNg40
25286,10228,40,LPLC2,DNp06
19034,10943,40,LPLC2,AVLP531
29183,12951,40,LPLC2,PVLP069
17880,523564,40,LPLC2,PVLP011
525844,12427,40,LPLC2,PVLP069
34407,12427,40,LPLC2,PVLP069
24268,10923,40,LPLC2,DNg40
24268,10283,40,LPLC2,DNp103
34407,523564,40,LPLC2,PVLP011
34407,10010,40,LPLC2,DNp01
14465,12951,40,LPLC2,PVLP069
40841,12427,40,LPLC2,PVLP069
129687,523564,40,LPLC2,PVLP011
26528,12427,40,LPLC2,PVLP069
18936,10010,40,LPLC2,DNp01
514670,25392,40,LPLC2,PVLP111
33185,12951,40,LPLC2,PVLP069
31964,10943,40,LPLC2,AVLP531
13726,10147,40,LPLC2,LHAD1g1
521115,10010,40,LPLC2,DNp01
25524,523564,40,LPLC2,PVLP011
18936,25392,40,LPLC2,PVLP111
20749,12951,40,LPLC2,PVLP069
30893,10417,40,LPLC2,DNp103
23247,12275,39,LPLC2,PVLP151
23247,531898,39,LPLC2,DNp04
24568,10010,39,LPLC2,DNp01
25854,523564,39,LPLC2,PVLP011
24605,523564,39,LPLC2,PVLP011
25511,13122,39,LPLC2,PVLP130
20329,523564,39,LPLC2,PVLP011
41097,10010,39,LPLC2,DNp01
26730,10283,39,LPLC2,DNp103
20162,12870,39,LPLC2,AVLP500
27471,10943,39,LPLC2,AVLP531
518731,12275,39,LPLC2,PVLP151
22677,11677,39,LPLC2,PVLP151
35632,12951,39,LPLC2,PVLP069
19830,12427,39,LPLC2,PVLP069
11498,524364,39,LPLC2,PVLP111
34372,10283,39,LPLC2,DNp103
29014,12951,39,LPLC2,PVLP069
20694,22212,39,LPLC2,PVLP111
19911,12427,39,LPLC2,PVLP069
20269,10923,39,LPLC2,DNg40
22218,10943,39,LPLC2,AVLP531
20269,10283,39,LPLC2,DNp103
20269,10943,39,LPLC2,AVLP531
33965,12427,39,LPLC2,PVLP069
32237,12427,39,LPLC2,PVLP069
26528,10010,38,LPLC2,DNp01
35889,10001,38,LPLC2,DNp01
19608,22212,38,LPLC2,PVLP111
19549,12951,38,LPLC2,PVLP069
21769,10283,38,LPLC2,DNp103
30207,539413,38,LPLC2,LT56
33694,10943,38,LPLC2,AVLP531
517078,531898,38,LPLC2,DNp04
517078,523564,38,LPLC2,PVLP011
34681,12951,38,LPLC2,PVLP069
29183,10943,38,LPLC2,AVLP531
33396,10943,38,LPLC2,AVLP531
27471,12951,38,LPLC2,PVLP069
21808,10001,38,LPLC2,DNp01
23590,10283,38,LPLC2,DNp103
18900,10010,38,LPLC2,DNp01
23878,10283,38,LPLC2,DNp103
27566,10943,38,LPLC2,AVLP531
27566,12951,38,LPLC2,PVLP069
19229,22212,38,LPLC2,PVLP111
18936,531898,38,LPLC2,DNp04
17990,10010,38,LPLC2,DNp01
18672,11677,38,LPLC2,PVLP151
95241,531898,38,LPLC2,DNp04
24840,10010,38,LPLC2,DNp01
25209,523564,38,LPLC2,PVLP011
20471,10943,38,LPLC2,AVLP531
31988,12951,37,LPLC2,PVLP069
25636,10943,37,LPLC2,AVLP531
20182,10943,37,LPLC2,AVLP531
514670,10010,37,LPLC2,DNp01
20535,10001,37,LPLC2,DNp01
13764,523564,37,LPLC2,PVLP011
30207,12951,37,LPLC2,PVLP069
28188,12427,37,LPLC2,PVLP069
20162,22212,37,LPLC2,PVLP111
29702,13601,37,LPLC2,AVLP479
17551,10001,37,LPLC2,DNp01
37925,10283,37,LPLC2,DNp103
37925,10943,37,LPLC2,AVLP531
14102,12275,37,LPLC2,PVLP151
23919,10361,37,LPLC2,DNg40
19549,10283,37,LPLC2,DNp103
32737,523564,37,LPLC2,PVLP011
19830,10228,37,LPLC2,DNp06
25572,523626,37,LPLC2,PVLP071
24605,12427,37,LPLC2,PVLP069
19842,11677,37,LPLC2,PVLP151
32507,10943,37,LPLC2,AVLP531
17544,10828,37,LPLC2,AVLP531
20749,10283,37,LPLC2,DNp103
22261,10001,37,LPLC2,DNp01
26147,10923,37,LPLC2,DNg40
19146,10943,37,LPLC2,AVLP531
19146,11137,37,LPLC2,DNp04
28003,12951,37,LPLC2,PVLP069
22253,10417,37,LPLC2,DNp103
26416,12275,37,LPLC2,PVLP151
518731,523626,37,LPLC2,PVLP071
17059,531898,37,LPLC2,DNp04
22677,10943,37,LPLC2,AVLP531
19589,10297,36,LPLC2,LHAD1g1
25575,12427,36,LPLC2,PVLP069
28741,10943,36,LPLC2,AVLP531
21769,539413,36,LPLC2,LT56
31988,13122,36,LPLC2,PVLP130
18672,10001,36,LPLC2,DNp01
20329,10010,36,LPLC2,DNp01
25253,10923,36,LPLC2,DNg40
134521,523564,36,LPLC2,PVLP011
22557,523626,36,LPLC2,PVLP071
22557,12275,36,LPLC2,PVLP151
20269,12870,36,LPLC2,AVLP500
26393,10001,36,LPLC2,DNp01
