body_post,LC4,LPLC2,target_type,receives_from_both
11102,154.0,1.0,PVLP046,True
27750,153.0,19.0,LC4,True
10417,152.0,2198.0,DNp103,True
23392,152.0,20.0,LC4,True
76637,151.0,151.0,CL323,True
17054,150.0,81.0,LC4,True
21721,150.0,13.0,LC4,True
17266,150.0,11.0,LC4,True
519931,150.0,11.0,LC4,True
29469,149.0,13.0,LC4,True
31429,149.0,13.0,LC4,True
518016,149.0,12.0,LC4,True
10609,148.0,492.0,PVLP120,True
511914,148.0,35.0,LC4,True
20399,148.0,16.0,LC4,True
18907,147.0,45.0,PVLP123,True
30803,147.0,34.0,LC4,True
20440,147.0,12.0,LC4,True
18127,146.0,50.0,LC4,True
17926,146.0,36.0,LC4,True
518544,146.0,11.0,LC4,True
21225,145.0,45.0,LC4,True
27624,145.0,20.0,LC4,True
17340,145.0,17.0,LC4,True
20542,145.0,17.0,LC4,True
29859,144.0,44.0,SAD023,True
21336,144.0,36.0,LC4,True
530029,143.0,15.0,LC4,True
12032,143.0,12.0,LC4,True
111787,143.0,7.0,LC4,True
514956,143.0,7.0,LC4,True
20588,142.0,20.0,LC4,True
29563,142.0,8.0,LC4,True
32597,142.0,2.0,LC4,True
33137,140.0,14.0,LC4,True
18189,139.0,62.0,LC4,True
520449,139.0,40.0,LC4,True
25584,139.0,38.0,LC4,True
518983,138.0,19.0,LC4,True
23226,138.0,11.0,LC4,True
19420,137.0,24.0,LC4,True
19543,136.0,29.0,LC4,True
100485,136.0,6.0,LC4,True
28980,136.0,2.0,LC4,True
514508,135.0,9.0,LC4,True
26112,135.0,6.0,LC4,True
16138,134.0,21.0,LC4,True
15861,134.0,18.0,PVLP026,True
37598,134.0,7.0,PVLP066,True
10449,133.0,511.0,DNpe025,True
22034,132.0,25.0,LC4,True
35616,132.0,21.0,LC4,True
22328,132.0,11.0,LC4,True
23792,132.0,7.0,LC4,True
34845,132.0,5.0,LC4,True
16809,131.0,24.0,LC4,True
31301,131.0,9.0,LC4,True
31308,131.0,9.0,LC4,True
24338,130.0,23.0,LC4,True
30087,130.0,17.0,LC4,True
37587,129.0,37.0,LC4,True
17987,129.0,34.0,LC4,True
17668,129.0,27.0,LC4,True
21287,129.0,4.0,LC4,True
22975,127.0,25.0,LC4,True
20282,127.0,23.0,LC4,True
20917,127.0,22.0,LC4,True
21165,126.0,13.0,LC4,True
18396,125.0,8.0,LC4,True
17860,124.0,19.0,LC4,True
20016,124.0,14.0,LC4,True
513691,124.0,4.0,LAL026_a,True
19550,123.0,57.0,LC4,True
535341,122.0,7.0,LC4,True
22194,121.0,46.0,LC4,True
29417,121.0,8.0,LC4,True
20673,120.0,8.0,LC4,True
29514,119.0,13.0,LC4,True
22847,119.0,7.0,LC4,True
10995,118.0,612.0,PVLP120,True
31784,118.0,54.0,SAD023,True
515476,118.0,6.0,LC4,True
23929,117.0,27.0,LC4,True
20808,115.0,20.0,LC4,True
19260,115.0,15.0,LC4,True
23098,114.0,52.0,LC4,True
54536,114.0,37.0,PVLP068,True
