body_pre,body_post,weight,source_type,descending_type
20334,10923,10,LPLC2,DNg40
27471,10923,10,LPLC2,DNg40
25027,10361,10,LPLC2,DNg40
29183,10923,10,LPLC2,DNg40
515971,10361,10,LPLC2,DNg40
18432,10361,9,LC4,DNg40
28945,10923,9,LC4,DNg40
512705,10361,9,LC4,DNg40
29514,10361,9,LC4,DNg40
20917,10923,9,LC4,DNg40
22218,10923,9,LPLC2,DNg40
40811,10361,9,LPLC2,DNg40
37431,10923,9,LPLC2,DNg40
27399,10361,9,LPLC2,DNg40
20240,10361,9,LPLC2,DNg40
23349,10361,9,LPLC2,DNg40
17775,10361,9,LPLC2,DNg40
29598,10923,9,LPLC2,DNg40
31429,10361,8,LC4,DNg40
25584,10923,8,LC4,DNg40
81112,10361,8,LC4,DNg40
29417,10361,8,LC4,DNg40
111787,10361,8,LC4,DNg40
22194,10923,8,LC4,DNg40
514508,10361,8,LC4,DNg40
20588,10923,8,LC4,DNg40
517079,10361,8,LPLC2,DNg40
21299,10361,8,LPLC2,DNg40
17544,10361,8,LPLC2,DNg40
35294,10361,8,LPLC2,DNg40
518731,10361,8,LPLC2,DNg40
33137,10361,7,LC4,DNg40
19260,10923,7,LC4,DNg40
515476,10361,7,LC4,DNg40
22034,10923,7,LC4,DNg40
23792,10923,7,LC4,DNg40
20808,10923,7,LC4,DNg40
532254,10361,7,LC4,DNg40
17880,10361,7,LPLC2,DNg40
21769,10923,7,LPLC2,DNg40
100103,10361,7,LPLC2,DNg40
112292,10361,7,LPLC2,DNg40
20749,10923,7,LPLC2,DNg40
19589,10923,7,LPLC2,DNg40
100485,10361,6,LC4,DNg40
21225,10923,6,LC4,DNg40
77614,10361,6,LC4,DNg40
20542,10923,6,LC4,DNg40
12032,10361,6,LC4,DNg40
511914,10361,6,LC4,DNg40
38065,10923,6,LC4,DNg40
111903,10361,6,LPLC2,DNg40
25286,10361,6,LPLC2,DNg40
21899,10923,6,LPLC2,DNg40
21361,10361,6,LPLC2,DNg40
17551,10923,6,LPLC2,DNg40
19954,10923,5,LC4,DNg40
20016,10923,5,LC4,DNg40
22847,10923,5,LC4,DNg40
519650,10361,5,LC4,DNg40
16128,10923,5,LC4,DNg40
35616,10361,5,LC4,DNg40
13726,10361,5,LPLC2,DNg40
25136,10361,5,LPLC2,DNg40
518016,10361,4,LC4,DNg40
516909,10361,4,LC4,DNg40
17266,10923,4,LC4,DNg40
21313,10923,4,LC4,DNg40
21165,10923,4,LC4,DNg40
26730,10923,4,LPLC2,DNg40
23247,10361,4,LPLC2,DNg40
15804,10361,4,LPLC2,DNg40
524366,10361,4,LPLC2,DNg40
25575,10361,4,LPLC2,DNg40
21721,10361,3,LC4,DNg40
21287,10923,3,LC4,DNg40
20673,10923,3,LC4,DNg40
30087,10361,3,LC4,DNg40
19550,10923,3,LC4,DNg40
535341,10361,3,LC4,DNg40
17860,10923,3,LC4,DNg40
17478,10361,3,LC4,DNg40
17054,10923,3,LC4,DNg40
524899,10361,3,LC4,DNg40
518730,10361,3,LC4,DNg40
519931,10361,3,LC4,DNg40
17990,10361,3,LPLC2,DNg40
13764,10361,3,LPLC2,DNg40
514670,10361,3,LPLC2,DNg40
518544,10361,2,LC4,DNg40
515900,10361,2,LC4,DNg40
16138,10923,2,LC4,DNg40
16628,10923,2,LC4,DNg40
17270,10361,2,LC4,DNg40
18478,10361,2,LC4,DNg40
12824,10361,2,LC4,DNg40
20572,10361,2,LC4,DNg40
21336,10923,2,LC4,DNg40
22772,10361,2,LC4,DNg40
23226,10361,2,LC4,DNg40
27829,10361,2,LC4,DNg40
31308,10361,2,LC4,DNg40
14102,10361,2,LPLC2,DNg40
13132,10361,2,LPLC2,DNg40
19830,10361,2,LPLC2,DNg40
21318,10923,2,LPLC2,DNg40
21703,10923,2,LPLC2,DNg40
22677,10923,2,LPLC2,DNg40
23392,10923,1,LC4,DNg40
23202,10361,1,LC4,DNg40
23098,10923,1,LC4,DNg40
20440,10361,1,LC4,DNg40
19634,10923,1,LC4,DNg40
17926,10923,1,LC4,DNg40
17653,10361,1,LC4,DNg40
17548,10923,1,LC4,DNg40
17364,10923,1,LC4,DNg40
14888,10361,1,LC4,DNg40
526286,10361,1,LC4,DNg40
533129,10361,1,LC4,DNg40
25267,10923,1,LPLC2,DNg40
20584,10923,1,LPLC2,DNg40
19842,10923,1,LPLC2,DNg40
19549,10923,1,LPLC2,DNg40
18900,10361,1,LPLC2,DNg40
18672,10923,1,LPLC2,DNg40
517078,10361,1,LPLC2,DNg40
14030,10361,1,LPLC2,DNg40
11498,10361,1,LPLC2,DNg40
30512,11063,2,LPLC2,DNge032
24308,11063,1,LPLC2,DNge032
517078,11063,1,LPLC2,DNge032
517078,10377,7,LPLC2,DNge054
20749,10296,5,LPLC2,DNge054
518983,10377,4,LC4,DNge054
25267,10296,4,LPLC2,DNge054
24605,10377,4,LPLC2,DNge054
19830,10377,4,LPLC2,DNge054
21318,10296,4,LPLC2,DNge054
19260,10296,3,LC4,DNge054
22677,10296,3,LPLC2,DNge054
18929,10296,3,LPLC2,DNge054
13764,10377,3,LPLC2,DNge054
14102,10377,2,LPLC2,DNge054
14030,10377,2,LPLC2,DNge054
18936,10377,2,LPLC2,DNge054
19842,10296,2,LPLC2,DNge054
20162,10296,2,LPLC2,DNge054
20535,10296,2,LPLC2,DNge054
25636,10296,2,LPLC2,DNge054
29598,10296,2,LPLC2,DNge054
21225,10296,1,LC4,DNge054
33396,10296,1,LPLC2,DNge054
30938,10296,1,LPLC2,DNge054
28188,10377,1,LPLC2,DNge054
95241,10377,1,LPLC2,DNge054
111903,10377,1,LPLC2,DNge054
22557,10377,1,LPLC2,DNge054
22253,10377,1,LPLC2,DNge054
20584,10296,1,LPLC2,DNge054
17551,10296,1,LPLC2,DNge054
11498,10377,1,LPLC2,DNge054
17478,10010,86,LC4,DNp01
17653,10010,83,LC4,DNp01
518439,10010,82,LC4,DNp01
20859,10010,81,LC4,DNp01
29469,10010,73,LC4,DNp01
533129,10010,69,LC4,DNp01
32597,10010,69,LC4,DNp01
22847,10001,67,LC4,DNp01
16128,10001,65,LC4,DNp01
512366,10010,65,LC4,DNp01
27829,10010,64,LC4,DNp01
524899,10010,64,LC4,DNp01
515476,10010,64,LC4,DNp01
31563,10010,64,LPLC2,DNp01
17668,10001,63,LC4,DNp01
17270,10010,63,LC4,DNp01
24338,10001,63,LC4,DNp01
16917,10010,62,LC4,DNp01
12349,10010,62,LC4,DNp01
22772,10010,62,LC4,DNp01
12032,10010,62,LC4,DNp01
20399,10001,62,LC4,DNp01
530029,10010,62,LC4,DNp01
22966,10001,61,LC4,DNp01
31301,10010,61,LC4,DNp01
35616,10010,61,LC4,DNp01
514956,10010,60,LC4,DNp01
22253,10010,60,LPLC2,DNp01
22194,10001,59,LC4,DNp01
27750,10010,59,LC4,DNp01
18396,10010,59,LC4,DNp01
20182,10001,59,LPLC2,DNp01
29514,10010,58,LC4,DNp01
100485,10010,58,LC4,DNp01
22975,10001,58,LC4,DNp01
18478,10010,58,LC4,DNp01
12824,10010,58,LC4,DNp01
30803,10001,57,LC4,DNp01
20976,10010,57,LC4,DNp01
18127,10001,57,LC4,DNp01
35262,10010,56,LC4,DNp01
23392,10001,56,LC4,DNp01
19634,10001,56,LC4,DNp01
23929,10001,56,LC4,DNp01
81112,10010,55,LC4,DNp01
14888,10010,55,LC4,DNp01
517752,10010,55,LC4,DNp01
20572,10010,55,LC4,DNp01
21336,10001,55,LC4,DNp01
19787,10010,55,LPLC2,DNp01
23202,10010,54,LC4,DNp01
511914,10010,54,LC4,DNp01
515900,10010,54,LC4,DNp01
22557,10010,54,LPLC2,DNp01
512705,10010,53,LC4,DNp01
16628,10001,53,LC4,DNp01
26112,10001,53,LC4,DNp01
20269,10001,53,LPLC2,DNp01
77614,10010,52,LC4,DNp01
23792,10001,52,LC4,DNp01
18432,10010,52,LC4,DNp01
22922,10010,52,LC4,DNp01
21225,10001,52,LC4,DNp01
23226,10010,52,LC4,DNp01
16138,10001,52,LC4,DNp01
30087,10010,51,LC4,DNp01
27624,10010,51,LC4,DNp01
518730,10010,51,LC4,DNp01
21721,10010,51,LC4,DNp01
37587,10010,51,LC4,DNp01
28980,10010,51,LC4,DNp01
34845,10010,51,LC4,DNp01
17860,10001,50,LC4,DNp01
533895,10010,50,LPLC2,DNp01
19543,10001,49,LC4,DNp01
19608,10001,49,LPLC2,DNp01
21804,10001,48,LC4,DNp01
17926,10001,48,LC4,DNp01
17364,10001,48,LC4,DNp01
24187,10001,48,LPLC2,DNp01
20103,10001,48,LPLC2,DNp01
518731,10010,48,LPLC2,DNp01
25854,10010,48,LPLC2,DNp01
518544,10010,47,LC4,DNp01
20542,10001,47,LC4,DNp01
22328,10001,47,LC4,DNp01
516909,10010,47,LC4,DNp01
527408,10001,47,LC4,DNp01
17266,10001,47,LC4,DNp01
23919,10010,47,LPLC2,DNp01
24401,10001,47,LPLC2,DNp01
20047,10001,47,LPLC2,DNp01
21562,10001,47,LPLC2,DNp01
17608,10010,46,LC4,DNp01
518983,10010,46,LC4,DNp01
519650,10010,46,LC4,DNp01
18189,10001,46,LC4,DNp01
20016,10001,46,LC4,DNp01
20799,10010,46,LPLC2,DNp01
23878,10001,46,LPLC2,DNp01
520764,10010,46,LPLC2,DNp01
30480,10001,45,LC4,DNp01
19420,10001,45,LC4,DNp01
31429,10010,45,LC4,DNp01
20440,10010,45,LC4,DNp01
515971,10010,45,LPLC2,DNp01
20162,10001,45,LPLC2,DNp01
19794,10001,44,LC4,DNp01
20673,10001,44,LC4,DNp01
517819,10010,44,LPLC2,DNp01
31964,10001,44,LPLC2,DNp01
17775,10010,44,LPLC2,DNp01
31308,10010,43,LC4,DNp01
21287,10001,43,LC4,DNp01
20588,10001,43,LC4,DNp01
28044,10001,43,LPLC2,DNp01
23665,10010,43,LPLC2,DNp01
517079,10010,43,LPLC2,DNp01
13726,10010,43,LPLC2,DNp01
25524,10010,43,LPLC2,DNp01
20471,10001,43,LPLC2,DNp01
24523,10010,42,LC4,DNp01
520449,10010,42,LC4,DNp01
20917,10001,42,LC4,DNp01
22034,10001,42,LC4,DNp01
20808,10001,42,LC4,DNp01
28945,10001,42,LC4,DNp01
26147,10001,42,LPLC2,DNp01
29417,10010,41,LC4,DNp01
21313,10001,41,LC4,DNp01
514508,10010,41,LC4,DNp01
28871,10001,41,LPLC2,DNp01
24800,10001,41,LPLC2,DNp01
23497,10001,41,LPLC2,DNp01
23349,10010,41,LPLC2,DNp01
33185,10001,41,LPLC2,DNp01
20240,10010,41,LPLC2,DNp01
16809,10010,40,LC4,DNp01
21151,10001,40,LC4,DNp01
29563,10001,40,LC4,DNp01
15018,10010,40,LC4,DNp01
34407,10010,40,LPLC2,DNp01
18936,10010,40,LPLC2,DNp01
521115,10010,40,LPLC2,DNp01
518016,10010,39,LC4,DNp01
33137,10010,39,LC4,DNp01
