body_post,source_type,weight
10228,WED125,30
10584,AMMC-A1,30
10228,PVLP096,30
10228,AVLP263,29
10228,LHAV1a1,29
10584,AVLP508,29
10584,AVLP195,29
10228,AVLP190,29
10584,AVLP263,29
10584,CB3404,29
10584,AVLP085,28
10228,WED030_a,28
10584,PVLP096,28
10228,CB0391,28
10584,DNg56,28
10584,CB4228,27
10584,CB3682,27
10584,SAD096,27
10584,CB1078,27
10228,LHAV2b3,27
10228,CB4245,26
10584,AVLP059,26
10584,AN10B019,26
10228,AN08B028,26
10228,CL117,26
10228,CB2789,25
10228,PVLP080_a,25
10584,DNpe040,25
10584,CB2501,25
10584,CB2132,25
10228,WED051,24
10228,DNg56,24
10584,PLP016,24
10228,PLP016,24
10228,PVLP031,24
10228,SAD098,24
10228,PVLP107,24
10228,SAD051_a,24
10228,MeVP18,24
10228,AVLP543,24
10228,CB3499,24
10584,CB0307,24
10584,CB3450,24
10228,CB3513,24
10584,AVLP202,23
10584,CB1280,23
10228,CB1280,23
10228,CB3277,23
10228,DNp04,23
10228,CL266_a1,23
10228,AVLP016,23
10584,WED051,23
10584,CL066,22
10584,CB0533,22
10584,PVLP016,22
10584,SAD051_b,22
10228,CB3404,22
10584,AVLP083,22
10228,AVLP156,22
10584,PVLP107,22
10584,GNG343,22
10584,ANXXX027,22
10228,AVLP155_a,21
10228,CB3450,21
10584,AVLP016,21
10584,SAD021_b,21
10228,AVLP525,21
10584,SAD051_a,21
10228,CB3400,21
10228,CB2521,21
10228,WED055_b,21
10584,SAD021_c,21
10584,AVLP498,21
10584,SAD103,21
10228,CB2132,21
10228,PS001,21
10228,AVLP369,21
10584,OCG06,20
10228,WED030_b,20
10228,PVLP018,20
10584,CB4102,20
10228,CB1108,20
10228,AVLP508,20
10584,CL266_a1,20
10584,DNge039,20
10228,AVLP592,20
10584,CB2521,20
10584,PLP015,20
10584,SAD011,20
10228,SAD021_b,20
10228,OCG06,20
10228,CL092,20
10584,LHAV2b3,19
10584,CB3683,19
10584,ALIN6,19
10584,CB2789,19
10228,WED190,19
10228,CB3673b,19
10584,SAD021,19
10584,SAD073,19
10228,SAD092,19
10228,CL066,19
10228,CL121_a,19
10584,WED189,19
10228,CB0432,19
10228,CB1074,19
10228,WED189,19
10584,CB4094,19
10584,CB4248,19
10584,CB1538,18
10584,AN05B099,18
10228,CL266_b1,18
10584,WED118,18
10228,SMP068,18
10584,GNG337,18
10584,SIP146m,18
10584,PVLP094,18
10584,WED193,18
10584,LC23,18
10584,CL263,18
10228,PVLP108,17
10584,CB3673b,17
10228,MeVP17,17
10228,CB2624,17
10228,WED055_a,17
10228,CB2676,17
10584,WED055_a,17
10228,PS181,17
10228,PVLP015,17
10584,PVLP127,17
10228,WED166_d,17
10228,CB4248,17
10228,CB3630,17
10228,AVLP107,17
10584,ANXXX120,16
10584,PS208,16
10584,PS001,16
10584,PVLP080_a,16
10584,IN11A020,16
10228,SAD103,16
10228,AMMC-A1,16
10228,SAD052,16
10228,SAD051_b,16
10228,AVLP003,16
10584,AN08B034,16
10584,AN07B018,16
10584,PVLP126_b,16
10228,CB1932,16
10228,CB2501,16
10228,AVLP204,15
10584,AVLP274_b,15
10584,CB1108,15
10584,MeVP18,15
10228,AVLP187,15
10584,CB3513,15
10228,PVLP100,15
10584,AVLP274_a,15
10584,PVLP100,15
10584,WED030_a,15
10584,PS181,14
10228,AN08B024,14
10228,CB0533,14
10584,CL266_b1,14
10228,CL340,14
10584,DNp70,14
10584,CB4162,14
10228,PLP144,14
10228,SAD096,14
10584,AVLP543,14
10228,WED193,14
10228,CB3245,14
10584,CB2207,14
10228,GNG337,14
10228,GNG300,14
10228,DNpe040,14
10584,AVLP187,14
10228,AVLP498,14
10228,CB0307,14
10584,AVLP155_a,14
10228,AVLP175,14
10228,CB2642,14
10228,SAD021,14
10584,AN08B028,14
10584,CL121_a,13
10228,AVLP492,13
10584,AVLP107,13
10228,AVLP420_b,13
10584,AVLP420_b,13
10584,PVLP022,13
10584,AVLP592,13
10228,CL263,13
10228,IN11A021,13
10228,CB2459,13
10228,AVLP559,12
10584,WED114,12
10584,CB2676,12
10584,LT61a,12
10228,LT1c,12
10228,PVLP016,12
10228,AVLP591,12
10584,AVLP525,12
10584,MeVP17,12
10228,CL128a,12
10584,AVLP509,11
10584,WED030_b,11
10584,CB0391,11
10584,CB0591,11
10584,SAD110,11
10584,LAL136_b,11
10584,CB3245,11
10228,PVLP126_b,11
10584,AVLP559,11
10228,aSP10B,11
10228,IN00A041,11
10228,CB1076,11
10228,AVLP087,11
10228,CL038,11
10228,AVLP081,11
10228,AVLP086,11
10584,SAD112_c,10
10584,AN08B016,10
10228,CB1023,10
10228,CB2153,10
10584,WED117,10
10228,PS208,10
10228,IN07B054,10
10584,CL308,10
10228,AVLP169,10
10228,LC6,10
10584,AVLP437,10
10228,JO-A2,10
10228,PVLP024,10
10584,AVLP169,10
10584,SAD092,10
10228,ALIN6,10
10228,AVLP093,10
10228,CB2207,9
10228,SAD073,9
10584,DNp01,9
10584,CL001,9
10584,CB3499,9
10228,IN11A020,9
10584,AVLP464,9
10584,SAD052,9
10228,AN18B053,9
10584,PVLP126_a,9
10584,SAD057,9
10584,CL266_b2,9
10584,CL093,9
10584,CL092,9
10228,PVLP126_a,9
10584,SAD108,9
10228,IN11A030,9
10584,AVLP086,9
10584,LC14a-1,9
10584,LC31b,9
10228,5-HTPLP01,9
10228,PVLP011,9
10228,CB3512,9
10228,CB2674,9
10584,WED055_b,9
10228,CB3683,8
10584,AVLP175,8
10584,PVLP011,8
10584,CB2153,8
10584,AN08B018,8
10584,CB1023,8
10228,AVLP448,8
10584,CB3277,8
10584,CB2459,8
10584,MeVP51,8
10228,PVLP127,8
10584,IN07B058,8
10584,IN11A021,8
10584,CL038,8
10228,PS002,8
10584,AVLP204,8
10584,CB3630,8
10228,AVLP258,8
10584,CB1932,8
10584,CL128a,8
10228,PVLP005,8
10228,PVLP064,8
10584,GNG300,8
10584,CL256,8
10584,CL204,8
10584,IN11A011,8
10228,CL365,7
10228,CL204,7
10228,SAD110,7
10228,AVLP464,7
10228,IN00A048,7
10584,LHAV2g3,7
10584,PVLP015,7
10584,PVLP064,7
10228,SAD112_c,7
10584,IN11A032_e,7
10584,IN11A030,7
10228,AVLP251,7
10584,PVLP005,7
10584,AVLP610,7
10228,IN00A062,7
10584,PVLP108,7
10228,PVLP075,7
10584,SAD014,7
10584,CB1958,7
10584,WED056,7
10228,CB3544,7
10584,VES023,7
10584,WED125,7
10584,CB3544,7
10228,AVLP705m,6
10584,PVLP018,6
10228,AN08B018,6
10228,AVLP539,6
10584,PVLP013,6
10584,AVLP003,6
10584,CB2660,6
10228,PVLP066,6
10228,LT61a,6
10228,CB3742,6
10228,IN11A032_d,6
10228,PVLP012,6
10584,AVLP004_a,6
10228,MDN,6
10228,DNge039,6
10228,IN07B034,6
10584,AVLP258,6
10584,WED092,6
10584,AN08B024,6
10584,AVLP156,6
10584,IN00A048,6
10584,AVLP178,6
10584,IN00A062,6
10228,LoVCLo3,6
10228,AVLP435_a,6
10228,CB3384,6
10228,AVLP476,6
10228,AVLP325_a,6
10584,WED166_d,6
10584,IN11A032_d,6
10584,AVLP081,6
10584,CB3742,6
10228,AN08B098,6
10584,SAD200m,6
10584,SAD111,6
10228,CL121_b,6
10228,AN18B019,6
10228,MeVP51,6
10228,CL12X,6
10584,CB0115,6
10228,CB1538,6
10228,PVLP094,6
10228,AVLP004_b,6
10228,IN17A042,6
10584,OA-VUMa8,5
10584,AVLP087,5
10228,SAD111,5
10228,AVLP509,5
10228,CB4241,5
10584,AVLP251,5
10228,CL001,5
10584,CB3588,5
10228,AVLP503,5
10584,CB3435,5
10228,PS038,5
10228,WED029,5
10584,ICL004m_b,5
10228,DNge138,5
10584,AN08B012,5
10228,CB3435,5
10228,AVLP033,5
10228,DNp59,5
10228,AVLP437,5
10584,AN09B029,5
10584,CB1948,5
10584,5-HTPLP01,5
10228,CB1312,5
10228,PVLP028,5
10584,AVLP033,5
10584,AVLP004_b,5
10584,PVLP075,5
10584,AVLP476,5
10584,CB3512,5
10584,PVLP021,5
10584,AVLP503,5
10228,WED111,5
10228,SLP003,5
10228,AVLP550b,5
10228,AVLP189_b,5
10228,AN08B034,5
10584,CB1542,5
10584,AVLP370_b,5
10228,CB0591,5
10584,CB3437,5
10228,CB1948,5
10228,CB2902,5
10584,PS038,5
10584,WED029,5
10228,OA-ASM3,5
10584,AVLP348,5
10584,CB2902,5
10584,AVLP532,5
10228,AVLP155_b,5
10228,DNp55,4
10584,CB3089,4
10584,IN07B080,4
10584,CB2672,4
10584,AVLP093,4
10584,IN07B054,4
10584,IN07B034,4
10584,IN06B016,4
10584,DNp02,4
10228,CB3381,4
10584,IN06B001,4
10228,CB1078,4
10228,CL128_e,4
10228,CB1717,4
10228,CB4228,4
10584,CB1076,4
10228,CL266_b2,4
10584,CB1194,4
10228,CL270,4
10228,CB4170,4
10584,AVLP500,4
10584,DNd03,4
10584,DNg40,4
10228,AVLP610,4
10584,CB1717,4
10584,AVLP369,4
10584,AVLP363,4
10228,AVLP555,4
10584,DNp29,4
10228,AVLP541,4
10584,DNpe042,4
10584,AVLP268,4
10584,AVLP234,4
10584,IN00A041,4
10584,vMS16,4
10228,CB3089,4
10228,AN05B025,4
10584,AN05B023d,4
10584,LoVP108,4
10584,LoVP55,4
10228,PVLP088,4
10584,PVLP024,4
10228,AVLP178,4
10228,IN06B024,4
10228,AVLP280,4
10228,LAL136_a,4
10584,SAD106,4
10228,IN07B055,4
10584,VES019,4
10584,PVLP071,4
10584,PLP013,4
10228,PVLP071,4
10228,LC23,4
10228,WED045,4
10228,SAD106,4
10228,AN08B016,4
10584,SMP068,4
