source_type,intermediate_type,descending_type,intermediate_neurons,path_instances,total_visual_to_intermediate_weight,total_intermediate_to_descending_weight
LPLC2,PVLP151,DNge032,4,4,6771,14
LC4,AVLP500,DNpe042,2,3,13,14
LPLC2,LT81,DNp57,2,4,4,14
LC4,CL323,DNp31,4,4,878,14
LPLC2,PLP211,DNpe026,2,4,310,14
LC4,LC19,DNa02,1,1,1,14
LPLC2,AVLP258,DNp06,2,3,1144,14
LC4,LC19,DNa09,1,1,1,14
LC4,LC31b,DNp45,7,7,416,14
LPLC2,LT67,DNbe002,1,2,2,14
LC4,WED124,DNpe037,2,2,17,14
LC4,WED060,DNg62,1,1,14,14
LC4,CL367,DNpe002,2,2,11,14
LPLC2,Y3,DNp27,13,13,26,14
LPLC2,PVLP126_b,DNp35,1,2,28,14
LPLC2,TmY17,DNp27,11,12,27,14
LC4,PVLP024,DNp06,3,6,13700,14
LC4,,DNpe025,7,7,114,14
LC4,WED046,DNp32,2,3,22,14
LPLC2,LoVC16,DNp30,4,8,70,14
LC4,GNG343,DNg33,2,4,22,14
LC4,WED072,DNp69,3,3,4,14
LC4,PVLP061,DNg104,1,1,5,14
LC4,PVLP021,DNp35,4,4,3435,14
LPLC2,VST2,DNpe015,4,6,16,14
LC4,,DNg01_c,4,4,1014,14
LPLC2,OA-VUMa4,DNg09_b,2,3,197,13
LPLC2,WED210,DNge084,1,2,2,13
LPLC2,OA-VUMa4,DNa09,2,4,276,13
LPLC2,AVLP746m,DNa08,2,3,43,13
LC4,OCG02b,DNp31,2,4,4,13
LPLC2,WED104,DNpe025,1,1,38,13
LPLC2,WED117,DNp12,2,2,3,13
LPLC2,CB1932,DNp06,3,4,5,13
LC4,CL128a,DNp103,4,4,121,13
LPLC2,AVLP437,DNp35,2,2,5,13
LPLC2,CL022_a,DNpe053,1,1,1,13
LPLC2,CL319,DNpe052,2,3,3,13
LPLC2,PVLP128,DNp69,3,4,15,13
LC4,PVLP123,DNp04,5,5,316,13
LC4,PVLP123,DNp10,2,2,93,13
LC4,CL022_b,DNp11,2,2,25,13
LPLC2,WED210,DNge014,1,2,2,13
LC4,VES023,DNp71,1,2,4,13
LPLC2,LC29,DNp42,5,5,6,13
LC4,WED060,DNpe056,2,2,17,13
LPLC2,AVLP205,DNp43,3,4,45,13
LC4,SAD044,DNp103,2,2,7,13
LPLC2,CL319,DNpe023,2,4,4,13
LPLC2,,DNg42,4,4,1971,13
LC4,AVLP451,DNp70,1,2,2,13
LPLC2,PS171,DNge040,1,1,3,13
LPLC2,CL286,DNpe042,2,4,50,13
LC4,Li21,DNp11,3,3,7,13
LPLC2,SIP108m,DNg13,1,2,2,13
LPLC2,LT82a,DNp39,2,2,40,13
LPLC2,CL038,DNp06,2,2,5,13
LC4,CB1934,DNp70,1,2,6,13
LC4,AN09B023,DNge054,1,1,3,13
LPLC2,LPT59,DNg56,2,2,18,13
LPLC2,LoVP25,DNpe017,3,5,47,13
LC4,WED125,DNp07,3,3,867,13
LC4,LC35a,DNg02_a,4,5,14,13
LC4,CB3879,DNp09,2,2,12,13
LC4,PLP060,DNg13,2,2,57,13
LC4,PLP209,DNg82,1,3,3,13
LC4,LoVP101,DNge127,1,1,3,13
LC4,WED109,DNp02,1,1,23,13
LC4,SAD106,DNg30,2,3,60,13
LC4,CB4176,DNg08,5,9,41,13
LPLC2,LC35a,DNg02_a,4,5,21,13
LC4,CB4163,DNp04,1,1,15,13
LC4,LT77,DNpe056,4,4,12,13
LPLC2,CL303,DNa13,1,2,2,13
LC4,WED125,DNb01,3,5,1447,13
LC4,AVLP259,DNp66,4,5,2983,13
LPLC2,LAL047,DNp26,1,1,15,13
LC4,PLP230,DNg71,1,1,1,13
LC4,SAD044,DNp27,2,4,14,13
LPLC2,IB114,DNa10,2,4,1090,13
LPLC2,CL022_b,DNp11,2,2,53,13
LC4,WED119,DNd03,2,3,4,13
LC4,PLP209,DNg02_a,1,2,2,13
LPLC2,IB114,DNbe001,2,4,1090,13
LPLC2,AVLP016,DNpe045,1,1,1,13
LC4,PS002,DNa07,3,4,15,13
LC4,AVLP120,DNp59,1,2,2,13
LPLC2,PS171,DNpe022,1,2,6,13
LC4,IB114,DNa10,2,4,832,13
LC4,WED107,DNg35,2,3,10,13
LPLC2,WED060,DNg104,4,4,67,13
LC4,IB114,DNbe001,2,4,832,13
LPLC2,CB4179,DNp70,3,4,6,13
LC4,CB1498,DNpe021,2,3,537,13
LC4,UNKNOWN,DNp103,10,10,44,13
LPLC2,CB4102,DNg01_a,1,1,9,13
LPLC2,PVLP014,DNpe026,2,2,30,13
LC4,PS180,DNg42,1,1,2,13
LPLC2,PVLP076,DNp26,2,2,1338,13
LPLC2,CB2472,DNp69,3,3,8,13
LC4,AVLP396,DNp69,1,1,3,13
LPLC2,PVLP076,DNp11,2,2,1338,13
LPLC2,PVLP076,DNp03,2,2,1338,13
LPLC2,AVLP203_b,DNp11,2,2,10,13
LC4,CL323,DNg01_b,3,3,727,13
LPLC2,CB4102,DNg01_b,2,3,22,13
LC4,CL323,DNbe004,3,3,672,13
LPLC2,CB0115,DNpe025,6,6,124,13
LC4,LC23,DNpe021,5,6,43,13
LPLC2,OA-VUMa4,DNa04,2,4,276,13
LC4,LAL053,DNa01,1,1,55,13
LPLC2,AVLP572,DNp70,2,4,4,13
LC4,AVLP342,DNp103,1,1,1,13
LC4,CB1498,DNpe042,2,3,537,13
LC4,OA-VUMa4,DNg09_b,2,3,6,13
LC4,CB1958,DNa16,4,4,360,13
LPLC2,PVLP011,DNp71,2,2,11623,13
LPLC2,CB4245,DNp103,1,1,4,13
LPLC2,CB0431,DNae007,1,1,16,13
LC4,AN07B004,DNg01_a,2,3,9,13
LPLC2,LoVP101,DNge127,1,1,1,13
LPLC2,PVLP141,DNb01,2,2,46,13
LPLC2,CB4102,DNg04,1,2,8,13
LC4,PVLP076,DNp03,2,2,9,13
LC4,SAD044,DNg74_a,2,2,7,13
LPLC2,LoVP108,DNp43,2,2,3,13
LC4,PVLP141,DNb01,2,2,1539,13
LPLC2,SAD044,DNde005,1,1,1,13
LPLC2,AVLP204,DNp30,2,4,60,13
LC4,LoVC13,DNge079,1,2,16,13
LC4,LoVC15,DNge110,4,4,19,13
LPLC2,,DNge141,3,3,314,13
LPLC2,LoVP101,DNge062,2,2,5,13
LPLC2,LoVC15,DNa07,4,4,7,13
LC4,AVLP396,DNb09,1,1,3,13
LC4,CB4102,DNae010,4,4,277,13
LC4,LoVC15,DNp57,5,5,26,13
LPLC2,LC14a-2,DNpe002,1,1,2,13
LC4,PS181,DNp70,1,2,4,13
LC4,AVLP149,DNa14,6,6,128,13
LPLC2,PVLP075,DNpe031,1,1,56,13
LPLC2,PVLP075,DNp35,1,1,56,13
LC4,AVLP280,DNp42,1,1,1,13
LPLC2,WED210,DNg99,1,1,1,13
LPLC2,5-HTPLP01,DNp45,2,2,5,13
LPLC2,LoVP24,DNp104,3,5,8,13
LC4,WED119,DNp12,2,2,3,13
LC4,VES023,DNp04,1,2,4,13
LC4,PVLP151,DNg82,3,3,1132,13
LPLC2,CL286,DNge050,1,2,14,13
LPLC2,Li21,DNp11,4,4,6,13
LPLC2,MeVPLp1,DNp32,2,4,12,13
LPLC2,AVLP016,DNg40,1,1,1,13
LC4,PVLP137,DNg98,2,4,1710,13
LPLC2,AVLP340,DNp35,2,2,1234,13
LPLC2,Nod5,DNge148,1,1,2,13
LPLC2,CL323,DNg01_b,3,3,455,13
LPLC2,PVLP114,DNge129,1,2,92,13
LC4,OCG02b,DNp08,2,4,4,13
LPLC2,CL323,DNbe004,3,3,555,13
LPLC2,PLP060,DNp01,1,1,11,13
LC4,CB4101,DNg13,5,5,51,13
LC4,CL053,DNae009,1,2,2,13
LPLC2,AN27X011,DNa06,1,1,1,13
LC4,CL367,DNge140,2,2,11,13
LPLC2,Y3,DNp30,12,12,23,13
LPLC2,OLVC5,DNge094,2,5,9,13
LPLC2,PVLP074,DNp71,4,4,701,13
LC4,PVLP034,DNg40,2,3,6,13
LC4,CB1649,DNa05,1,2,2,13
LC4,CL022_c,DNp69,2,3,4,13
LC4,OA-VUMa4,DNae004,2,3,6,13
LPLC2,LC19,DNpe055,6,6,31,13
LC4,LAL026_b,DNg31,1,1,42,13
LC4,OA-VUMa4,DNa09,2,4,8,13
LC4,VES023,DNae001,1,2,4,13
LC4,WED196,DNg106,1,4,8,13
LC4,OA-VUMa4,DNa04,2,4,8,13
LPLC2,AVLP591,DNb09,2,2,17,13
LPLC2,LC22,DNb05,5,5,18,13
LPLC2,AVLP079,DNpe040,1,1,9,13
LC4,PVLP015,DNpe040,2,2,833,13
LPLC2,AVLP591,DNp06,2,2,17,13
LPLC2,WED046,DNpe021,1,2,12,13
LPLC2,PLP230,DNg71,1,1,24,13
LPLC2,LoVP25,DNb09,2,3,29,13
LC4,AVLP452,DNp11,3,3,1984,13
LC4,CB1649,DNpe037,1,2,2,13
LPLC2,LoVC18,DNp69,4,4,21,13
LC4,CL022_a,DNpe053,1,1,1,13
LC4,AN17B005,DNg24,1,1,2,13
LC4,LT82a,DNp39,2,2,360,13
LC4,AVLP203_b,DNp11,2,2,7,13
LPLC2,PVLP100,DNp02,1,1,1,13
LPLC2,AVLP001,DNpe031,2,3,3,13
LPLC2,LT77,DNpe056,4,4,11,13
LC4,GNG506,DNge052,1,2,2,13
LC4,CB4176,DNge113,6,8,25,13
LC4,LoVP25,DNbe004,1,2,2,13
LC4,LoVP25,DNp05,1,2,2,13
LPLC2,LoVP49,DNp12,1,1,1,13
LC4,AN17B005,DNg29,1,1,2,13
LC4,WED116,DNp35,1,2,328,13
LPLC2,AVLP132,DNp70,1,2,48,13
LC4,AVLP202,DNp69,2,3,80,13
LPLC2,PVLP015,DNpe040,2,2,185,13
LPLC2,CL053,DNge072,2,4,88,13
LC4,LC35b,DNb09,1,1,3,13
LC4,LoVP93,DNp05,2,3,96,13
LPLC2,LAL016,DNge041,1,1,77,13
LPLC2,PVLP123,DNp10,2,2,80,13
LPLC2,AVLP711m,DNp55,3,3,133,13
LPLC2,PVLP137,DNge103,2,3,460,13
LPLC2,LoVP85,DNp39,2,4,62,13
LC4,CB4245,DNp103,1,1,4,13
LPLC2,PVLP034,DNpe039,5,7,61,13
LC4,PVLP201m_d,DNge050,1,2,2,13
LPLC2,LoVP86,DNg49,1,1,1,13
LC4,LC14a-2,DNpe002,1,1,1,13
LPLC2,PVLP034,DNp30,2,3,33,13
LC4,WED046,DNb05,2,2,13,13
LPLC2,LoVP86,DNb01,1,1,1,13
LC4,SAD098,DNge184,1,2,52,13
LC4,,DNpe042,4,5,1064,13
LC4,AVLP016,DNpe037,2,2,115,13
LC4,PVLP076,DNp26,2,2,9,13
LPLC2,CB1498,DNpe042,2,3,5,13
LPLC2,AVLP202,DNp04,1,1,2,13
LPLC2,LoVP93,DNa01,7,7,139,13
LPLC2,CL203,DNge136,1,2,2,13
LC4,CL286,DNge050,1,2,2,13
LPLC2,LoVP85,DNpe017,2,3,51,13
LC4,PVLP076,DNp11,2,2,9,13
LPLC2,AVLP452,DNpe021,3,5,10,13
LPLC2,PS171,DNbe006,1,1,3,13
LC4,PLP074,DNpe052,1,2,4,13
LPLC2,PLP093,DNp26,1,2,20,13
LC4,PVLP137,DNge103,2,3,1420,13
LC4,LT81,DNpe055,2,3,5,13
LC4,LoVP85,DNpe017,2,3,908,13
LPLC2,LoVP93,DNp05,2,3,40,13
LPLC2,MeVP29,DNp32,1,1,1,13
LPLC2,LoVP18,DNpe055,2,2,2,13
LC4,AVLP610,DNp13,2,4,210,13
LPLC2,AVLP610,DNp13,2,4,16,13
LC4,PS182,DNpe017,2,2,6,13
LPLC2,LoVP23,DNpe016,2,3,5,13
LPLC2,CB1498,DNpe021,2,3,5,13
LPLC2,AVLP037,DNp70,1,2,4,13
LPLC2,OA-VUMa4,DNae004,2,3,197,13
LC4,LoVP50,DNp59,4,4,25,13
LC4,LoVP93,DNa01,7,7,162,13
LC4,LoVP50,DNpe021,6,6,33,13
LC4,SAD073,DNp03,2,2,9,13
LC4,LoVP85,DNp39,2,4,1212,13
LPLC2,PVLP151,DNg82,3,3,5451,13
LPLC2,CL213,DNge046,2,6,134,13
LC4,CB4248,DNg30,3,6,18,13
LC4,PVLP011,DNp71,2,2,1011,13
LPLC2,LAL026_b,DNg31,1,1,2,13
LPLC2,PS181,DNp70,1,2,32,13
LPLC2,LT75,DNp42,1,1,3,13
LC4,CB4176,DNg56,4,4,15,13
LPLC2,AVLP259,DNp66,4,5,570,13
LPLC2,LT51,aSP22,4,4,24,13
LC4,CB2664,DNg09_a,2,6,327,13
LPLC2,PVLP137,DNg98,2,4,648,13
LC4,CB1314,DNge184,4,4,10,13
LPLC2,LoVP92,DNb09,3,4,36,13
LC4,AN09B023,DNp19,1,1,3,13
LPLC2,CB3201,DNp11,2,2,4,13
LC4,AVLP152,DNpe025,2,2,24,13
LPLC2,AVLP449,DNp66,1,1,1,13
LC4,CB4176,DNg15,3,3,9,13
LPLC2,AVLP259,DNpe031,4,8,954,13
LC4,GNG343,DNge049,2,3,16,13
LC4,PLP300m,DNg19,3,5,31,13
LC4,AVLP259,DNpe031,4,8,4590,13
LC4,AN27X011,DNa06,1,1,2,13
LC4,LC10a,DNp09,4,4,4,12
LPLC2,PVLP122,DNpe026,4,5,956,12
LPLC2,LAL301m,DNpe023,2,2,58,12
LPLC2,CB2254,DNp02,1,1,21,12
LC4,OA-VUMa4,DNp71,2,4,8,12
LC4,CB2254,DNp02,1,1,8,12
LC4,WED127,DNa02,3,3,227,12
LC4,PS181,DNg91,1,2,4,12
LPLC2,LC19,DNp54,6,6,33,12
LC4,GNG300,DNg37,2,4,288,12
LPLC2,PVLP093,DNp103,2,4,1408,12
LC4,CL053,DNp47,1,2,2,12
LC4,CB1958,DNae010,4,4,360,12
LC4,AN27X011,DNpe050,1,1,2,12
LPLC2,H2,DNp12,2,2,99,12
LPLC2,AVLP001,DNp66,2,2,2,12
LPLC2,AVLP610,DNpe031,2,3,10,12
LC4,LT51,DNbe005,3,3,4,12
LPLC2,MeVPLp1,DNg52,2,5,17,12
LPLC2,5-HTPMPV03,DNpe037,2,4,24,12
LC4,CL128a,DNbe004,3,3,120,12
LPLC2,WED072,DNg82,3,3,10,12
LC4,LT64,DNb05,2,2,2,12
LPLC2,CL140,CB0429,2,2,209,12
LC4,AN08B010,DNp102,2,2,22,12
LC4,PS304,DNpe003,1,1,1,12
LPLC2,Tm5Y,DNp27,8,8,10,12
LC4,AVLP299_d,DNp30,1,1,1,12
LPLC2,LoVP53,DNg30,2,3,132,12
LC4,PVLP015,pIP1,2,2,833,12
LPLC2,CL131,DNp104,1,2,2,12
LC4,PLP018,DNg97,3,3,40,12
LPLC2,LoVP26,DNae007,4,5,95,12
LC4,PLP211,DNp101,2,4,34,12
LC4,PVLP093,DNp103,2,4,88,12
LPLC2,CB2254,DNp103,1,1,21,12
LPLC2,HSE,DNb02,2,6,30,12
LPLC2,PVLP216m,DNp60,3,4,10,12
LPLC2,AVLP076,pIP1,2,2,12,12
LC4,T2,DNp30,7,8,8,12
LPLC2,LT51,DNge037,5,5,51,12
LPLC2,OA-VUMa4,DNbe001,2,4,276,12
LPLC2,CB4176,DNp12,2,2,2,12
LC4,LT62,DNp70,2,3,28,12
LC4,PLP208,DNb05,2,2,8,12
LPLC2,CL367,DNg93,1,2,14,12
LC4,OA-VUMa4,DNb07,2,4,8,12
LC4,PS304,DNge065,1,2,2,12
LPLC2,VSm,DNg90,3,3,11,12
LC4,OA-VUMa4,DNbe001,2,4,8,12
LPLC2,PVLP123,DNa14,5,5,226,12
LC4,CB1958,DNg91,3,3,281,12
LC4,PLP211,DNpe039,2,4,34,12
LC4,AVLP120,DNpe053,1,2,2,12
LPLC2,LAL026_a,DNb02,2,3,14,12
LPLC2,LoVC17,DNp11,1,1,1,12
LC4,AVLP502,DNp66,1,2,4,12
LC4,PS306,DNg02_d,2,2,45,12
LPLC2,LPT29,DNp19,1,1,8,12
LPLC2,GNG300,DNg37,2,4,1266,12
LPLC2,LT62,DNp70,2,3,23,12
LC4,AN07B004,DNb01,2,3,9,12
LC4,LAL300m,DNp18,2,2,60,12
LPLC2,LT74,DNpe031,2,3,16,12
LC4,PVLP076,DNp12,2,2,9,12
LPLC2,GNG300,DNge037,2,4,1266,12
LPLC2,AN27X011,DNpe050,1,1,1,12
LC4,CB0154,DNpe021,1,1,2,12
LC4,PVLP141,DNa06,2,3,2352,12
LPLC2,SAD013,DNg74_a,2,3,180,12
LPLC2,OA-VUMa4,DNp103,2,3,217,12
LC4,SAD098,DNge113,1,2,52,12
LC4,CB4180,DNp11,1,1,27,12
LC4,LoVP54,DNb05,2,2,19,12
LPLC2,AMMC-A1,DNp02,3,3,115,12
LPLC2,PLP211,DNg56,2,4,310,12
LPLC2,PVLP122,DNpe053,4,6,1322,12
LPLC2,Li38,DNp11,1,1,3,12
LPLC2,LAL301m,DNpe020,2,3,104,12
LC4,CB2254,DNp103,1,1,8,12
LPLC2,Nod3,DNge091,2,4,20,12
LPLC2,PLP211,DNpe039,2,4,310,12
LPLC2,PVLP127,DNp103,1,1,1,12
LPLC2,LoVP25,DNae007,3,3,24,12
LC4,LT51,aSP22,3,3,5,12
LC4,PVLP028,DNp04,3,4,28,12
LPLC2,PVLP203m,DNge076,1,2,4,12
LPLC2,LT61a,DNpe056,2,3,28,12
LC4,OA-VUMa4,DNp07,2,4,8,12
LC4,OA-VUMa4,DNp103,2,3,6,12
LPLC2,MeLo14,DNp27,7,8,9,12
LPLC2,AMMC-A1,DNp11,5,5,329,12
LPLC2,WED072,DNp27,5,7,26,12
LPLC2,LoVP93,DNp13,1,1,1,12
LC4,5-HTPMPV03,DNp57,2,4,4,12
LC4,LAL053,MDN,1,4,220,12
LPLC2,GNG300,DNp56,1,2,500,12
LPLC2,CB0431,DNde003,1,2,32,12
LPLC2,PVLP015,DNp02,2,2,185,12
LC4,LoVC11,DNpe027,1,1,1,12
LPLC2,AVLP539,DNpe031,1,2,2,12
LPLC2,CL203,DNa11,1,1,1,12
LPLC2,OA-VUMa4,DNb07,2,4,276,12
LC4,LoVC11,DNpe022,1,1,1,12
LC4,CL323,DNp07,4,5,1037,12
LPLC2,LHAD1g1,DNp09,2,2,2049,12
LC4,LAL053,DNb08,1,2,110,12
LPLC2,Nod3,DNg36_b,2,5,25,12
LPLC2,CB4163,DNp35,6,7,613,12
LPLC2,PVLP141,DNa06,2,3,63,12
LC4,OA-VUMa4,DNge184,2,3,6,12
LC4,LHAD1g1,DNp09,2,2,555,12
LPLC2,AVLP079,DNp29,1,2,18,12
LC4,CB1958,DNae002,4,4,360,12
LC4,PS181,DNae004,1,1,2,12
LC4,PS180,DNg02_d,1,2,4,12
LC4,LT82b,DNb06,1,1,68,12
LPLC2,WED210,DNg104,1,2,2,12
LC4,PVLP011,DNp103,2,2,1011,12
LC4,PS181,DNb07,1,2,4,12
LPLC2,GNG300,DNg93,2,3,1016,12
LPLC2,LoVC18,DNpe040,4,5,26,12
LC4,SAD055,DNge031,1,1,66,12
LC4,CL140,CB0429,2,2,434,12
LC4,AVLP452,DNp04,4,4,2471,12
LPLC2,LoVP24,DNp57,2,4,6,12
LC4,LoVP53,DNg30,2,3,53,12
LPLC2,PVLP076,DNp12,2,2,1338,12
LC4,PLP019,DNbe003,1,1,1,12
LC4,LT61a,DNpe056,2,3,30,12
LC4,PVLP123,DNp43,3,3,240,12
LPLC2,LC22,DNp42,4,4,21,12
LPLC2,LoVP86,DNpe027,1,1,1,12
LPLC2,5-HTPMPV03,DNg32,2,4,24,12
LC4,PLP034,DNp54,2,2,305,12
LC4,5-HTPMPV03,DNge175,2,4,4,12
LC4,Li38,DNp11,1,1,12,12
LC4,LoVP18,DNp104,5,5,7,12
LPLC2,LPT54,DNp12,1,1,2,12
LPLC2,LoVP92,aSP22,5,6,35,12
LPLC2,AVLP176_d,DNg40,3,3,129,12
LPLC2,LPT54,DNp27,1,2,4,12
LPLC2,LoVP26,DNpe003,5,8,165,12
LPLC2,PVLP122,DNa03,3,3,946,12
LPLC2,PVLP028,DNpe025,3,3,80,12
LPLC2,CL309,DNg02_g,1,2,4,12
LC4,PS182,DNg06,2,3,7,12
LC4,CB2664,DNge011,3,3,197,12
LPLC2,MeVP51,DNp47,2,2,13,12
LC4,CL001,DNa14,1,1,1,12
LC4,CB3879,DNpe026,2,3,17,12
LPLC2,LoVP50,DNp59,3,3,8,12
LPLC2,LC10a,DNd05,3,3,4,12
LPLC2,CB1108,DNp09,1,1,8,12
LC4,PVLP031,DNp43,4,4,88,12
LPLC2,AVLP592,DNpe045,2,2,100,12
LC4,5-HTPMPV03,DNpe037,2,4,4,12
LC4,AVLP083,DNp02,1,1,3,12
LPLC2,AVLP610,DNg104,2,2,8,12
LPLC2,PLP211,DNp101,2,4,310,12
LC4,PS182,DNg02_a,2,6,18,12
LC4,MeVP18,DNp43,1,1,1,12
LC4,PVLP015,DNp02,2,2,833,12
LC4,PVLP128,DNpe037,2,2,6,12
LC4,VES023,DNpe024,1,2,4,12
LPLC2,LT40,DNbe003,2,2,6,12
LPLC2,PVLP137,DNge099,2,3,512,12
LC4,WED125,DNp103,2,2,598,12
LPLC2,AVLP531,DNp71,2,2,4635,12
LPLC2,LoVP18,DNp10,4,4,4,12
LC4,CB4102,DNp10,5,5,239,12
LPLC2,LC31a,DNp70,6,6,31,12
LC4,SAD013,DNg74_a,2,3,301,12
LC4,AMMC-A1,DNp11,5,5,9507,12
LPLC2,AVLP396,DNpe021,2,2,922,12
LC4,LT74,DNpe031,2,3,10,12
LC4,LPT29,DNp19,1,1,1,12
LPLC2,5-HTPMPV03,DNge175,2,4,24,12
LPLC2,OA-VUMa4,DNge184,2,3,217,12
LC4,CB2664,DNg24,4,4,243,12
LPLC2,PVLP031,DNp43,4,4,16,12
LPLC2,CB4101,DNae003,1,1,49,12
LC4,MeLo10,DNp27,12,12,22,12
LPLC2,OA-VUMa4,DNp71,2,4,276,12
LC4,LoVP101,DNge030,1,1,3,12
LC4,LC22,DNae009,6,6,9,12
LPLC2,PVLP144,DNp69,2,2,10,12
LC4,AVLP280,DNpe040,1,1,1,12
LPLC2,5-HTPMPV03,DNp10,2,4,24,12
LPLC2,WED104,DNp04,2,2,83,12
LPLC2,PS171,DNg96,1,1,3,12
LC4,GNG506,pIP1,1,1,1,12
LPLC2,PVLP015,pIP1,2,2,185,12
LPLC2,CL286,DNg93,2,3,32,12
LC4,AVLP076,DNp70,1,2,2,12
LC4,AN09B023,DNge047,1,1,3,12
LC4,SAD011,DNp103,3,3,131,12
LC4,GNG300,DNp56,1,2,120,12
LC4,AVLP016,DNp29,2,4,230,12
LC4,AMMC-A1,DNp02,3,3,5073,12
LC4,AVLP610,DNpe031,2,3,175,12
LPLC2,PLP093,DNpe021,1,1,10,12
LC4,5-HTPMPV03,DNg32,2,4,4,12
LC4,WED072,DNpe031,3,6,8,12
LC4,PS182,DNge176,2,4,12,12
LPLC2,LoVP54,DNb05,2,2,201,12
LC4,LT77,DNpe052,3,3,10,12
LC4,LC21,DNp27,7,8,9,12
LC4,AVLP396,DNpe053,1,1,3,12
LC4,ANXXX109,DNg76,2,3,34,12
LPLC2,CB1852,DNpe056,5,7,1398,12
LC4,CB3376,DNg01_d,3,3,9,12
LPLC2,PLP211,DNp05,2,4,310,12
LPLC2,PVLP135,DNpe052,3,3,16,12
LPLC2,CB1852,DNp66,2,2,363,12
LC4,PVLP122,DNa03,3,3,3150,12
LC4,SAD073,DNge136,3,7,30,12
LC4,PLP211,DNp05,2,4,34,12
LC4,CB0440,DNge148,1,1,2,12
LC4,PLP074,DNp57,1,1,2,12
LPLC2,PVLP010,DNp66,2,2,32,12
LPLC2,LoVC18,DNge135,4,4,21,12
LC4,CL001,DNp30,1,1,1,12
LC4,LT40,DNbe003,2,2,34,12
LPLC2,LT64,DNb05,2,2,3,12
LPLC2,AVLP592,DNp70,2,2,100,12
LC4,WED119,DNge113,2,3,5,12
LC4,AVLP610,DNg104,2,2,105,12
LC4,LoVC25,DNp57,1,1,1,12
LC4,AVLP594,DNp25,2,3,3,12
LC4,OCG02b,DNg92_a,2,4,4,12
LPLC2,AVLP531,DNpe034,2,3,7660,12
LPLC2,CB4180,DNp11,1,1,2,12
LC4,PS306,DNg91,2,2,45,12
LPLC2,PVLP151,DNp68,2,2,3415,12
LPLC2,OA-VUMa4,DNp07,2,4,276,12
LC4,LAL026_a,DNa04,1,1,124,12
LC4,AVLP126,DNp27,3,3,63,12
LPLC2,CL323,DNp07,4,5,794,12
LC4,PS304,DNge043,1,2,2,12
LC4,GNG300,DNg93,2,3,228,12
LPLC2,PVLP011,DNp103,2,2,11623,12
LC4,WED193,DNp01,1,2,42,12
LPLC2,CB0785,DNpe056,1,1,1,12
LPLC2,LoVC25,DNp57,1,1,1,12
LC4,PVLP137,DNge099,2,3,1145,12
LPLC2,LT82b,DNb06,1,1,24,12
LPLC2,Nod3,DNbe006,1,1,5,12
LPLC2,AVLP492,DNp68,2,2,2,12
LPLC2,,DNa01,2,2,8,12
LC4,CL053,DNp07,1,2,2,12
LC4,AVLP762m,DNp36,1,2,2,12
LC4,GNG300,DNge037,2,4,288,12
LC4,LoVC22,DNpe013,3,4,6,12
LC4,PLP150,DNpe026,5,6,630,12
LPLC2,LoVP89,DNge010,2,2,2,12
LC4,PLP211,DNg56,2,4,34,12
LC4,LoVP25,DNp57,1,2,2,12
LC4,PVLP151,DNp68,2,2,829,12
LPLC2,PS208,DNg01_b,1,1,1,12
LPLC2,CB1932,DNp29,3,3,11,12
LC4,PLP018,DNae002,3,3,40,12
LC4,PVLP122,DNpe053,4,6,2981,12
LC4,LoVP26,DNae007,4,5,26,12
LC4,MeVPLo1,DNp15,1,2,2,12
LC4,PLP074,DNg79,1,2,4,12
LC4,AN17B005,pIP1,1,1,2,12
LC4,LoVP89,DNpe021,1,1,1,12
LC4,CB4103,DNb09,4,5,197,12
LC4,5-HTPMPV03,DNp10,2,4,4,12
LC4,PLP106,DNg79,4,8,145,12
LC4,ANXXX109,DNp01,2,3,26,12
LC4,PS002,DNpe021,3,3,11,12
LC4,WED189,DNg105,1,2,10,12
LPLC2,5-HTPMPV03,DNp57,2,4,24,12
LPLC2,LT77,DNpe052,3,3,8,12
LC4,WED060,DNge032,2,2,17,12
LC4,WED187,DNp04,1,2,2,12
LPLC2,LoVC15,DNp57,4,4,6,12
LC4,AVLP711m,DNpe050,1,2,48,12
LPLC2,LAL300m,DNg75,1,1,19,12
LC4,AN09B016,DNge047,1,2,2,12
LC4,PVLP122,DNpe026,4,5,3208,12
LC4,PVLP010,DNp66,2,2,2176,12
LC4,CL128a,DNp01,3,3,120,11
LC4,LC10a,pIP1,3,3,6,11
LC4,OCG02b,DNpe021,2,3,3,11
LC4,LT82b,DNg97,2,2,139,11
LC4,OCG02b,DNpe009,2,4,4,11
LC4,OCG06,DNg82,2,5,29,11
LPLC2,HSE,DNb03,2,3,15,11
LPLC2,AVLP538,DNp103,2,2,40,11
LC4,LC14a-1,DNp103,2,2,95,11
LPLC2,,DNg88,1,1,4,11
LPLC2,LoVP93,aSP22,4,5,72,11
LPLC2,OA-VUMa4,DNg75,2,4,276,11
LC4,LT82b,DNge148,2,3,210,11
LC4,5-HTPMPV03,DNg29,2,3,3,11
LPLC2,SAD013,DNp19,2,2,165,11
LPLC2,OA-VUMa4,CB0429,2,4,276,11
LPLC2,LPT28,DNg99,2,2,10,11
LPLC2,WED046,DNp02,1,1,6,11
LC4,PS182,DNa07,2,2,6,11
LPLC2,PVLP100,DNp10,1,1,1,11
LPLC2,PPM1203,DNp66,1,1,3,11
LPLC2,LAL016,DNg01_b,1,1,77,11
