source_type,intermediate_type,descending_type,intermediate_neurons,path_instances,total_visual_to_intermediate_weight,total_intermediate_to_descending_weight
LC4,PVLP122,DNp103,6,11,9026,570
LPLC2,PVLP122,DNp103,6,11,1938,570
LC4,SAD064,DNp02,6,6,1732,570
LPLC2,LHAD1g1,DNg40,2,2,2049,566
LPLC2,LoVP26,DNpe022,12,24,368,566
LC4,LHAD1g1,DNg40,2,2,555,566
LC4,PVLP076,DNp06,2,2,9,560
LPLC2,PVLP076,DNp06,2,2,1338,560
LC4,PLP034,DNp57,2,2,305,556
LPLC2,AVLP176_d,DNp103,4,5,238,552
LC4,PVLP123,DNp01,6,10,588,550
LC4,WED072,DNp35,3,3,4,549
LC4,PVLP137,DNg97,2,4,1710,547
LPLC2,PVLP137,DNg97,2,4,648,547
LC4,,DNae004,12,13,6458,545
LPLC2,AVLP076,DNp06,2,2,12,544
LC4,AN07B004,DNg04,2,8,24,539
LC4,CL367,DNp01,2,4,22,537
LPLC2,,DNp103,20,21,3458,536
LC4,LPLC4,DNbe001,31,36,57,530
LPLC2,,DNp06,27,28,4689,518
LC4,LT51,DNp18,6,6,13,516
LC4,PLP060,DNp03,2,2,57,510
LC4,AN07B004,DNa09,2,4,12,509
LPLC2,WED072,DNp06,5,5,22,509
LPLC2,LT51,DNb08,7,13,76,506
LPLC2,Nod1,DNp26,4,4,9,504
LPLC2,LoVP26,DNp102,11,21,362,504
LPLC2,LC23,DNp26,7,14,42,503
LPLC2,PVLP076,DNp35,2,2,1338,502
LC4,PVLP076,DNp35,2,2,9,502
LC4,PVLP141,DNb09,2,2,1539,498
LPLC2,PVLP141,DNb09,2,2,46,498
LPLC2,LLPC1,DNpe056,101,101,217,498
LC4,PS306,DNg75,2,4,90,496
LC4,LC31a,DNp103,27,27,60,496
LPLC2,LC31a,DNp103,28,28,124,495
LPLC2,PVLP062,DNp01,2,4,14,486
LPLC2,,DNae004,10,11,2910,486
LC4,PVLP062,DNp01,2,4,22,486
LPLC2,LC9,DNpe024,66,66,105,485
LPLC2,LT51,DNge103,6,6,45,480
LC4,AVLP076,DNp35,1,1,1,478
LC4,PVLP022,DNp11,3,6,5556,477
LPLC2,PVLP022,DNp11,3,6,1748,477
LPLC2,GNG300,DNp01,2,3,1016,474
LC4,CL001,DNp69,1,2,2,474
LC4,GNG300,DNp01,2,3,228,474
LC4,LC10d,DNa10,30,30,55,469
LPLC2,IB114,DNde002,2,4,1090,467
LC4,IB114,DNde002,2,4,832,467
LPLC2,PVLP141,DNa13,2,4,92,466
LC4,CL286,DNp69,1,2,2,466
LC4,PVLP141,DNa13,2,4,3078,466
LC4,CB4101,DNa01,6,6,52,465
LC4,PLP300m,DNg96,3,3,19,464
LC4,LT51,DNa01,12,12,21,462
LC4,LAL300m,DNa02,4,4,117,462
LC4,GNG506,DNg74_a,1,2,2,461
LPLC2,Nod5,DNb03,2,4,20,461
LC4,PVLP123,DNg40,6,12,838,461
LPLC2,PVLP062,DNg40,2,4,14,460
LC4,PVLP062,DNg40,2,4,22,460
LPLC2,PVLP123,DNp69,9,15,784,459
LC4,CB2664,DNp01,4,8,486,455
LPLC2,H2,DNp15,2,2,99,454
LC4,PLP034,DNbe001,2,4,610,449
LC4,LAL300m,DNa13,4,8,234,449
LPLC2,PVLP046,DNp04,9,16,32,444
LC4,CB1280,DNp02,2,4,310,444
LPLC2,PVLP114,DNg16,1,2,92,443
LC4,LC23,DNp03,10,19,166,439
LPLC2,LT51,DNae007,15,15,145,436
LPLC2,LC9,DNp11,33,33,48,433
LC4,LAL300m,DNa03,4,4,117,432
LPLC2,LC31a,DNp43,28,28,124,431
LC4,CL367,DNpe042,2,4,22,427
LC4,PS306,DNge050,2,4,90,427
LPLC2,LoVP92,DNpe002,8,16,118,426
LPLC2,AVLP169,DNp23,2,2,178,424
LC4,LC31a,DNp43,27,27,60,423
LPLC2,PVLP015,DNp34,2,2,185,422
LC4,PVLP015,DNp34,2,2,833,422
LPLC2,AVLP080,DNp103,2,2,31,422
LPLC2,AVLP429,DNp06,2,4,104,421
LC4,AVLP429,DNp06,2,4,818,421
LC4,AN07B004,DNg02_a,2,20,60,419
LC4,AVLP016,DNpe031,2,4,230,415
LC4,PVLP010,DNg40,2,2,2176,413
LPLC2,CL213,DNge004,2,2,45,413
LPLC2,PVLP010,DNg40,2,2,32,413
LC4,LoVP26,DNbe004,7,14,48,411
LC4,LoVP93,DNp18,11,13,378,411
LPLC2,LoVP93,DNp18,11,13,243,411
LPLC2,PVLP123,DNp103,9,14,763,410
LC4,AN07B004,DNae004,2,4,12,409
LC4,PVLP151,DNp103,4,7,2705,406
LPLC2,PVLP151,DNp103,4,7,11469,406
LPLC2,LPC1,DNae005,126,126,496,405
LPLC2,PVLP122,DNpe045,6,12,1944,402
LC4,PVLP122,DNpe045,6,12,9068,402
LPLC2,CL367,DNp103,1,2,14,401
LPLC2,CB3019,DNp103,3,6,118,399
LC4,PVLP137,DNg52,2,8,3420,397
LPLC2,PVLP137,DNg52,2,8,1296,397
LPLC2,LLPC1,DNae002,53,53,79,396
LPLC2,CL319,DNge053,2,4,4,395
LC4,PLP029,DNae002,2,2,562,394
LPLC2,LC22,DNp05,31,31,74,394
LPLC2,AVLP591,DNp35,2,2,17,394
LPLC2,LoVP93,DNb09,11,12,233,393
LC4,LoVP93,DNb09,11,12,333,393
LC4,AN07B004,DNg51,2,8,24,391
LC4,LPLC4,DNa10,30,43,64,387
LC4,IB114,DNp47,2,4,832,387
LPLC2,IB114,DNp47,2,4,1090,387
LPLC2,AVLP437,DNp66,2,2,5,383
LPLC2,H2,DNg41,2,4,198,383
LPLC2,LPT26,DNp26,2,2,65,382
LC4,PLP300m,DNge050,3,6,38,381
LC4,LC23,DNp35,10,18,163,375
LC4,LC21,DNp35,38,38,57,373
LPLC2,CL319,DNpe020,2,4,4,371
LC4,PLP029,DNae010,2,2,562,367
LPLC2,LoVP18,DNp07,5,10,10,367
LC4,CB4176,DNp04,7,9,31,366
LC4,SAD053,DNp02,2,4,34,366
LC4,AN09B023,DNge122,1,2,6,365
LC4,CB4176,DNp73,7,7,24,365
LC4,PS306,DNa06,2,4,90,365
LC4,PVLP123,DNp103,6,9,528,365
LPLC2,PVLP141,DNa01,2,2,46,364
LC4,PVLP141,DNa01,2,2,1539,364
LPLC2,LPLC4,DNpe002,50,50,1724,363
LPLC2,SAD064,DNp11,4,4,112,363
LC4,AVLP542,DNp06,2,2,17,362
LC4,AVLP094,DNp70,2,4,400,359
LPLC2,aMe8,DNp27,2,2,4,358
LC4,WED127,DNb09,3,3,227,357
LPLC2,AVLP396,DNp103,2,2,922,354
LC4,AVLP452,DNp01,4,4,2471,354
LC4,LoVP26,DNp102,7,14,48,353
LPLC2,CL286,DNp64,2,4,50,353
LPLC2,IB114,DNp59,2,4,1090,351
LC4,IB114,DNp59,2,4,832,351
