bodyId_pre,pre_type,pre_side,bodyId_post,post_type,post_side,weight
33137,LC4,left,10010,DNp01,left,39
17987,LC4,right,10001,DNp01,right,39
107513,LC4,left,10010,DNp01,left,39
20471,LPLC2,right,10001,DNp01,right,39
41097,LPLC2,left,10010,DNp01,left,39
24568,LPLC2,left,10010,DNp01,left,39
24840,LPLC2,left,10010,DNp01,left,38
35889,LPLC2,right,10001,DNp01,right,38
21808,LPLC2,right,10001,DNp01,right,38
19954,LC4,right,10001,DNp01,right,38
17990,LPLC2,left,10010,DNp01,left,38
18900,LPLC2,left,10010,DNp01,left,38
23202,LC4,left,10010,DNp01,left,38
26528,LPLC2,left,10010,DNp01,left,38
20535,LPLC2,right,10001,DNp01,right,37
17551,LPLC2,right,10001,DNp01,right,37
22261,LPLC2,right,10001,DNp01,right,37
19830,LPLC2,left,10228,DNp06,left,37
514670,LPLC2,left,10010,DNp01,left,37
17054,LC4,right,10001,DNp01,right,37
18672,LPLC2,right,10001,DNp01,right,36
100103,LPLC2,left,10010,DNp01,left,36
536444,LPLC2,left,10010,DNp01,left,36
26393,LPLC2,right,10001,DNp01,right,36
20967,LC4,left,10010,DNp01,left,36
20329,LPLC2,left,10010,DNp01,left,36
28188,LPLC2,left,10010,DNp01,left,36
38065,LC4,right,10001,DNp01,right,36
31262,LC4,right,10001,DNp01,right,36
33406,LPLC2,left,10010,DNp01,left,35
519931,LC4,left,10010,DNp01,left,35
26730,LPLC2,right,10584,DNp06,right,35
20282,LC4,right,10001,DNp01,right,35
24118,LPLC2,right,10001,DNp01,right,35
17548,LC4,right,10001,DNp01,right,35
19229,LPLC2,right,10001,DNp01,right,34
21361,LPLC2,left,10010,DNp01,left,34
19146,LPLC2,right,10001,DNp01,right,34
532254,LC4,left,10010,DNp01,left,34
17340,LC4,left,10010,DNp01,left,33
15804,LPLC2,left,10010,DNp01,left,33
23590,LPLC2,right,10001,DNp01,right,33
34655,LPLC2,left,10010,DNp01,left,33
32737,LPLC2,left,10010,DNp01,left,33
29702,LPLC2,left,10010,DNp01,left,33
25253,LPLC2,right,10001,DNp01,right,32
25497,LPLC2,right,10001,DNp01,right,32
526286,LC4,left,10010,DNp01,left,32
535341,LC4,left,10010,DNp01,left,32
23098,LC4,right,10001,DNp01,right,32
29391,LPLC2,right,10001,DNp01,right,32
23550,LPLC2,left,10010,DNp01,left,31
23247,LPLC2,left,10010,DNp01,left,31
30893,LPLC2,left,10228,DNp06,left,31
21165,LC4,right,10001,DNp01,right,31
29014,LPLC2,right,10001,DNp01,right,31
27716,LPLC2,left,10010,DNp01,left,30
27355,LPLC2,left,10010,DNp01,left,30
111787,LC4,left,10010,DNp01,left,30
21862,LPLC2,right,10001,DNp01,right,30
24308,LPLC2,left,10228,DNp06,left,30
25572,LPLC2,left,10010,DNp01,left,30
25584,LC4,right,10001,DNp01,right,30
19260,LC4,right,10001,DNp01,right,30
29753,LPLC2,left,10010,DNp01,left,29
24268,LPLC2,right,10001,DNp01,right,29
29287,LPLC2,right,10001,DNp01,right,29
27796,LPLC2,left,10010,DNp01,left,29
29955,LPLC2,left,10010,DNp01,left,29
35632,LPLC2,right,10584,DNp06,right,29
25209,LPLC2,left,10010,DNp01,left,28
19034,LPLC2,right,10001,DNp01,right,28
28741,LPLC2,right,10001,DNp01,right,28
30895,LPLC2,left,10010,DNp01,left,27
21045,LPLC2,right,10001,DNp01,right,27
525844,LPLC2,left,10010,DNp01,left,27
28011,LPLC2,left,10010,DNp01,left,27
24308,LPLC2,left,10010,DNp01,left,27
29815,LPLC2,left,10010,DNp01,left,27
14102,LPLC2,left,10010,DNp01,left,27
515900,LC4,left,10228,DNp06,left,26
28003,LPLC2,right,10001,DNp01,right,25
24268,LPLC2,right,10584,DNp06,right,25
27399,LPLC2,left,10010,DNp01,left,25
33303,LPLC2,left,10010,DNp01,left,24
31988,LPLC2,right,10001,DNp01,right,24
25575,LPLC2,left,10010,DNp01,left,24
25316,LPLC2,right,10584,DNp06,right,23
30938,LPLC2,right,10001,DNp01,right,23
531014,LPLC2,left,10010,DNp01,left,23
40841,LPLC2,left,10010,DNp01,left,23
26416,LPLC2,left,10228,DNp06,left,22
129687,LPLC2,left,10010,DNp01,left,22
23497,LPLC2,right,10584,DNp06,right,22
21299,LPLC2,left,10228,DNp06,left,22
25511,LPLC2,right,10001,DNp01,right,21
95241,LPLC2,left,514670,LPLC2,left,21
33396,LPLC2,right,10001,DNp01,right,21
13132,LPLC2,left,10228,DNp06,left,21
112292,LPLC2,left,10010,DNp01,left,21
13726,LPLC2,left,514670,LPLC2,left,21
39620,LPLC2,right,10001,DNp01,right,21
520764,LPLC2,left,536444,LPLC2,left,21
14465,LPLC2,right,10001,DNp01,right,21
37431,LPLC2,right,10001,DNp01,right,21
35680,LPLC2,right,10001,DNp01,right,21
19550,LC4,right,10001,DNp01,right,21
14888,LC4,left,10228,DNp06,left,21
26915,LPLC2,right,10001,DNp01,right,21
527408,LC4,right,23929,LC4,right,21
33439,LPLC2,right,10001,DNp01,right,21
27566,LPLC2,right,10584,DNp06,right,20
17987,LC4,right,19550,LC4,right,20
25636,LPLC2,right,10001,DNp01,right,20
516909,LC4,left,10228,DNp06,left,20
39620,LPLC2,right,10584,DNp06,right,20
19589,LPLC2,right,10001,DNp01,right,20
25027,LPLC2,left,10010,DNp01,left,20
524366,LPLC2,left,10010,DNp01,left,20
12384,LPLC2,left,10010,DNp01,left,20
17653,LC4,left,10228,DNp06,left,20
33965,LPLC2,left,10010,DNp01,left,20
29598,LPLC2,right,10584,DNp06,right,20
12384,LPLC2,left,10228,DNp06,left,20
33396,LPLC2,right,10584,DNp06,right,20
81112,LC4,left,10228,DNp06,left,19
19787,LPLC2,left,531014,LPLC2,left,19
17774,LPLC2,left,10010,DNp01,left,19
515971,LPLC2,left,514670,LPLC2,left,19
12824,LC4,left,515900,LC4,left,19
20240,LPLC2,left,100103,LPLC2,left,19
20694,LPLC2,right,10001,DNp01,right,19
17340,LC4,left,10228,DNp06,left,19
514670,LPLC2,left,95241,LPLC2,left,19
17478,LC4,left,10228,DNp06,left,19
32237,LPLC2,left,10010,DNp01,left,19
32507,LPLC2,right,10001,DNp01,right,19
34681,LPLC2,right,10001,DNp01,right,19
31257,LPLC2,right,10001,DNp01,right,19
20329,LPLC2,left,517819,LPLC2,left,18
29986,LPLC2,right,10001,DNp01,right,18
134521,LPLC2,left,10010,DNp01,left,18
27624,LC4,left,15018,LC4,left,18
19589,LPLC2,right,18672,LPLC2,right,18
518983,LC4,left,10228,DNp06,left,18
22677,LPLC2,right,19550,LC4,right,18
34845,LC4,left,10228,DNp06,left,18
531014,LPLC2,left,31563,LPLC2,left,18
18478,LC4,left,10228,DNp06,left,18
18929,LPLC2,right,10584,DNp06,right,18
37613,LPLC2,right,10584,DNp06,right,18
100103,LPLC2,left,20240,LPLC2,left,18
30512,LPLC2,left,10010,DNp01,left,18
15804,LPLC2,left,20329,LPLC2,left,18
29469,LC4,left,10228,DNp06,left,17
17653,LC4,left,10010,DNp01,left,17
50287,LPLC2,right,10001,DNp01,right,17
27471,LPLC2,right,10001,DNp01,right,17
40811,LPLC2,left,10010,DNp01,left,17
29319,LPLC2,left,10010,DNp01,left,17
24187,LPLC2,right,26393,LPLC2,right,17
16628,LC4,right,16128,LC4,right,17
17608,LC4,left,10228,DNp06,left,17
34051,LPLC2,left,10010,DNp01,left,17
29216,LPLC2,right,10001,DNp01,right,17
15018,LC4,left,530029,LC4,left,17
27624,LC4,left,518439,LC4,left,17
21769,LPLC2,right,10584,DNp06,right,17
515971,LPLC2,left,23349,LPLC2,left,17
21769,LPLC2,right,18189,LC4,right,17
15018,LC4,left,27624,LC4,left,16
23929,LC4,right,527408,LC4,right,16
12349,LC4,left,10228,DNp06,left,16
518731,LPLC2,left,515971,LPLC2,left,16
20440,LC4,left,520449,LC4,left,16
20471,LPLC2,right,23590,LPLC2,right,16
27355,LPLC2,left,10228,DNp06,left,16
55627,LPLC2,right,10001,DNp01,right,16
17775,LPLC2,left,100103,LPLC2,left,16
29873,LPLC2,right,10001,DNp01,right,16
19787,LPLC2,left,515971,LPLC2,left,16
34110,LPLC2,right,10001,DNp01,right,16
19608,LPLC2,right,20162,LPLC2,right,16
107513,LC4,left,10228,DNp06,left,16
18672,LPLC2,right,17551,LPLC2,right,16
518439,LC4,left,530029,LC4,left,16
20859,LC4,left,10228,DNp06,left,16
33303,LPLC2,left,10228,DNp06,left,16
20440,LC4,left,20967,LC4,left,16
19589,LPLC2,right,10584,DNp06,right,16
77614,LC4,left,16917,LC4,left,16
16128,LC4,right,16628,LC4,right,16
19608,LPLC2,right,17551,LPLC2,right,16
29183,LPLC2,right,10584,DNp06,right,15
17551,LPLC2,right,14465,LPLC2,right,15
18929,LPLC2,right,17551,LPLC2,right,15
27750,LC4,left,15018,LC4,left,15
17551,LPLC2,right,19589,LPLC2,right,15
21808,LPLC2,right,20471,LPLC2,right,15
20329,LPLC2,left,520764,LPLC2,left,15
515971,LPLC2,left,25854,LPLC2,left,15
515971,LPLC2,left,18936,LPLC2,left,15
531014,LPLC2,left,19787,LPLC2,left,15
27624,LC4,left,10228,DNp06,left,15
517078,LPLC2,left,10010,DNp01,left,15
515971,LPLC2,left,17990,LPLC2,left,15
19260,LC4,right,17668,LC4,right,15
13764,LPLC2,left,10228,DNp06,left,15
17608,LC4,left,37587,LC4,left,15
23202,LC4,left,10010,DNp01,left,15
20588,LC4,right,10584,DNp06,right,15
25136,LPLC2,left,10010,DNp01,left,15
28003,LPLC2,right,10584,DNp06,right,15
20240,LPLC2,left,517078,LPLC2,left,15
23202,LC4,left,24523,LC4,left,15
23590,LPLC2,right,28044,LPLC2,right,15
518731,LPLC2,left,531014,LPLC2,left,15
34681,LPLC2,right,10584,DNp06,right,15
24523,LC4,left,18478,LC4,left,15
18478,LC4,left,24523,LC4,left,15
21899,LPLC2,right,10001,DNp01,right,15
517079,LPLC2,left,28188,LPLC2,left,15
515971,LPLC2,left,518731,LPLC2,left,15
17551,LPLC2,right,18672,LPLC2,right,15
20584,LPLC2,right,17548,LC4,right,15
25584,LC4,right,19954,LC4,right,15
17880,LPLC2,left,10010,DNp01,left,15
23247,LPLC2,left,21361,LPLC2,left,15
518439,LC4,left,27624,LC4,left,15
13726,LPLC2,left,18936,LPLC2,left,14
29702,LPLC2,left,25572,LPLC2,left,14
21299,LPLC2,left,12384,LPLC2,left,14
515971,LPLC2,left,19787,LPLC2,left,14
533129,LC4,left,20859,LC4,left,14
35838,LPLC2,right,10584,DNp06,right,14
22218,LPLC2,right,10001,DNp01,right,14
20334,LPLC2,right,10001,DNp01,right,14
17551,LPLC2,right,20535,LPLC2,right,14
20694,LPLC2,right,20749,LPLC2,right,14
511914,LC4,left,23226,LC4,left,14
21318,LPLC2,right,10584,DNp06,right,14
100103,LPLC2,left,17775,LPLC2,left,14
29598,LPLC2,right,23929,LC4,right,14
22253,LPLC2,left,24568,LPLC2,left,14
20440,LC4,left,10228,DNp06,left,14
29598,LPLC2,right,10001,DNp01,right,14
20799,LPLC2,left,533895,LPLC2,left,14
29815,LPLC2,left,10228,DNp06,left,14
515900,LC4,left,17478,LC4,left,14
16128,LC4,right,18189,LC4,right,14
18929,LPLC2,right,19589,LPLC2,right,14
19146,LPLC2,right,14465,LPLC2,right,14
16917,LC4,left,77614,LC4,left,14
17340,LC4,left,533129,LC4,left,14
25524,LPLC2,left,19787,LPLC2,left,14
21361,LPLC2,left,17774,LPLC2,left,14
35889,LPLC2,right,31964,LPLC2,right,14
77614,LC4,left,10228,DNp06,left,14
19146,LPLC2,right,19608,LPLC2,right,14
28044,LPLC2,right,35889,LPLC2,right,14
100103,LPLC2,left,95241,LPLC2,left,14
14465,LPLC2,right,17551,LPLC2,right,14
12824,LC4,left,10010,DNp01,left,14
531014,LPLC2,left,33303,LPLC2,left,14
100103,LPLC2,left,515971,LPLC2,left,14
20535,LPLC2,right,19608,LPLC2,right,14
515971,LPLC2,left,95241,LPLC2,left,14
17990,LPLC2,left,20329,LPLC2,left,14
22677,LPLC2,right,10584,DNp06,right,14
30803,LC4,right,30480,LC4,right,14
19549,LPLC2,right,10584,DNp06,right,14
24308,LPLC2,left,29815,LPLC2,left,14
21899,LPLC2,right,20694,LPLC2,right,14
15804,LPLC2,left,23202,LC4,left,14
24605,LPLC2,left,10228,DNp06,left,14
14102,LPLC2,left,10228,DNp06,left,14
28044,LPLC2,right,23590,LPLC2,right,14
514670,LPLC2,left,515971,LPLC2,left,14
517819,LPLC2,left,20329,LPLC2,left,14
530029,LC4,left,518439,LC4,left,14
21899,LPLC2,right,17551,LPLC2,right,14
12384,LPLC2,left,21299,LPLC2,left,14
21703,LPLC2,right,17551,LPLC2,right,14
514670,LPLC2,left,23349,LPLC2,left,14
14465,LPLC2,right,19146,LPLC2,right,14
18672,LPLC2,right,19589,LPLC2,right,14
18396,LC4,left,530029,LC4,left,14
519650,LC4,left,20859,LC4,left,14
21703,LPLC2,right,10001,DNp01,right,14
15804,LPLC2,left,518731,LPLC2,left,14
12824,LC4,left,20859,LC4,left,14
30480,LC4,right,22034,LC4,right,14
19249,LPLC2,right,17054,LC4,right,14
14465,LPLC2,right,18929,LPLC2,right,13
27399,LPLC2,left,31563,LPLC2,left,13
515900,LC4,left,12824,LC4,left,13
