bodyId,type,side,population,role,predicted_nt,predicted_nt_confidence,consensus_nt,nt_evidence
517752,LC4,left,visual_input,looming_sensor,acetylcholine,0.9396756834544348,acetylcholine,predicted
518016,LC4,left,visual_input,looming_sensor,acetylcholine,0.9682247287003968,acetylcholine,predicted
518439,LC4,left,visual_input,looming_sensor,acetylcholine,0.9576842167613402,acetylcholine,predicted
518544,LC4,left,visual_input,looming_sensor,acetylcholine,0.9535777840319114,acetylcholine,predicted
518730,LC4,left,visual_input,looming_sensor,acetylcholine,0.9597557200792062,acetylcholine,predicted
518983,LC4,left,visual_input,looming_sensor,acetylcholine,0.9693805752188591,acetylcholine,predicted
519650,LC4,left,visual_input,looming_sensor,acetylcholine,0.9747326673375372,acetylcholine,predicted
519931,LC4,left,visual_input,looming_sensor,acetylcholine,0.9718926615537063,acetylcholine,predicted
520449,LC4,left,visual_input,looming_sensor,acetylcholine,0.9610306185695976,acetylcholine,predicted
524899,LC4,left,visual_input,looming_sensor,acetylcholine,0.9698474002757187,acetylcholine,predicted
526286,LC4,left,visual_input,looming_sensor,acetylcholine,0.9684498107033492,acetylcholine,predicted
530029,LC4,left,visual_input,looming_sensor,acetylcholine,0.9590374189282397,acetylcholine,predicted
532254,LC4,left,visual_input,looming_sensor,acetylcholine,0.9747326673375373,acetylcholine,predicted
533129,LC4,left,visual_input,looming_sensor,acetylcholine,0.9650506896155493,acetylcholine,predicted
535341,LC4,left,visual_input,looming_sensor,acetylcholine,0.9682897711832469,acetylcholine,predicted
16128,LC4,right,visual_input,looming_sensor,acetylcholine,0.9510266116701801,acetylcholine,predicted
16138,LC4,right,visual_input,looming_sensor,acetylcholine,0.9637571785129073,acetylcholine,predicted
16628,LC4,right,visual_input,looming_sensor,acetylcholine,0.9614202036385276,acetylcholine,predicted
17054,LC4,right,visual_input,looming_sensor,acetylcholine,0.961956356236583,acetylcholine,predicted
17266,LC4,right,visual_input,looming_sensor,acetylcholine,0.9705763343828453,acetylcholine,predicted
17364,LC4,right,visual_input,looming_sensor,acetylcholine,0.9531211457336789,acetylcholine,predicted
17548,LC4,right,visual_input,looming_sensor,acetylcholine,0.9587211573373126,acetylcholine,predicted
17668,LC4,right,visual_input,looming_sensor,acetylcholine,0.93414647853245,acetylcholine,predicted
17860,LC4,right,visual_input,looming_sensor,acetylcholine,0.9607147293581528,acetylcholine,predicted
17926,LC4,right,visual_input,looming_sensor,acetylcholine,0.9271884278365842,acetylcholine,predicted
17987,LC4,right,visual_input,looming_sensor,acetylcholine,0.9564677493587437,acetylcholine,predicted
18127,LC4,right,visual_input,looming_sensor,acetylcholine,0.9676432550706602,acetylcholine,predicted
18189,LC4,right,visual_input,looming_sensor,acetylcholine,0.9608231128189743,acetylcholine,predicted
19260,LC4,right,visual_input,looming_sensor,acetylcholine,0.9603373795067649,acetylcholine,predicted
19420,LC4,right,visual_input,looming_sensor,acetylcholine,0.9615833943561014,acetylcholine,predicted
19543,LC4,right,visual_input,looming_sensor,acetylcholine,0.9572497167980868,acetylcholine,predicted
19550,LC4,right,visual_input,looming_sensor,acetylcholine,0.9663551449510355,acetylcholine,predicted
19634,LC4,right,visual_input,looming_sensor,acetylcholine,0.9669544928610335,acetylcholine,predicted
19794,LC4,right,visual_input,looming_sensor,acetylcholine,0.9543835203259792,acetylcholine,predicted
19954,LC4,right,visual_input,looming_sensor,acetylcholine,0.9688685963712497,acetylcholine,predicted
20016,LC4,right,visual_input,looming_sensor,acetylcholine,0.9693046046740365,acetylcholine,predicted
20282,LC4,right,visual_input,looming_sensor,acetylcholine,0.9564473160461522,acetylcholine,predicted
20399,LC4,right,visual_input,looming_sensor,acetylcholine,0.9598578910655974,acetylcholine,predicted
20542,LC4,right,visual_input,looming_sensor,acetylcholine,0.963687864545836,acetylcholine,predicted
20588,LC4,right,visual_input,looming_sensor,acetylcholine,0.9669595669385621,acetylcholine,predicted
20673,LC4,right,visual_input,looming_sensor,acetylcholine,0.9747326673375373,acetylcholine,predicted
20808,LC4,right,visual_input,looming_sensor,acetylcholine,0.968885231408207,acetylcholine,predicted
20917,LC4,right,visual_input,looming_sensor,acetylcholine,0.972118851941928,acetylcholine,predicted
21151,LC4,right,visual_input,looming_sensor,acetylcholine,0.9661661064357494,acetylcholine,predicted
21165,LC4,right,visual_input,looming_sensor,acetylcholine,0.9718246374630756,acetylcholine,predicted
21225,LC4,right,visual_input,looming_sensor,acetylcholine,0.9592535038642727,acetylcholine,predicted
21287,LC4,right,visual_input,looming_sensor,acetylcholine,0.9695368212585712,acetylcholine,predicted
21313,LC4,right,visual_input,looming_sensor,acetylcholine,0.9605260154988619,acetylcholine,predicted
21336,LC4,right,visual_input,looming_sensor,acetylcholine,0.960597381716312,acetylcholine,predicted
21804,LC4,right,visual_input,looming_sensor,acetylcholine,0.9639934289414493,acetylcholine,predicted
22034,LC4,right,visual_input,looming_sensor,acetylcholine,0.9552901980097349,acetylcholine,predicted
22194,LC4,right,visual_input,looming_sensor,acetylcholine,0.9692904930750493,acetylcholine,predicted
22328,LC4,right,visual_input,looming_sensor,acetylcholine,0.9516347984461534,acetylcholine,predicted
22847,LC4,right,visual_input,looming_sensor,acetylcholine,0.9488937559895709,acetylcholine,predicted
22966,LC4,right,visual_input,looming_sensor,acetylcholine,0.9526944848878423,acetylcholine,predicted
22975,LC4,right,visual_input,looming_sensor,acetylcholine,0.971941627170669,acetylcholine,predicted
23098,LC4,right,visual_input,looming_sensor,acetylcholine,0.9719326004304287,acetylcholine,predicted
23392,LC4,right,visual_input,looming_sensor,acetylcholine,0.9551230104716241,acetylcholine,predicted
23792,LC4,right,visual_input,looming_sensor,acetylcholine,0.9634046035132354,acetylcholine,predicted
