bodyId,type,somaSide,instance,status,LC4_weight_w1,LPLC2_weight_w1,total_visual_weight_w1,total_incoming_weight,visual_share_w1,LC4_fraction_visual_w1,LPLC2_fraction_visual_w1,LC4_presynaptic_count_w1,LPLC2_presynaptic_count_w1,direct_visual_partners_w1,ipsilateral_visual_weight_w1,contralateral_visual_weight_w1,receives_both_w1,rank_total_visual_w1,rank_visual_share_w1,rank_LC4_w1,rank_LPLC2_w1,LC4_weight_w3,LPLC2_weight_w3,total_visual_weight_w3,visual_share_w3,LC4_fraction_visual_w3,LPLC2_fraction_visual_w3,LC4_presynaptic_count_w3,LPLC2_presynaptic_count_w3,direct_visual_partners_w3,ipsilateral_visual_weight_w3,contralateral_visual_weight_w3,receives_both_w3,rank_total_visual_w3,rank_visual_share_w3,rank_LC4_w3,rank_LPLC2_w3,LC4_weight_w10,LPLC2_weight_w10,total_visual_weight_w10,visual_share_w10,LC4_fraction_visual_w10,LPLC2_fraction_visual_w10,LC4_presynaptic_count_w10,LPLC2_presynaptic_count_w10,direct_visual_partners_w10,ipsilateral_visual_weight_w10,contralateral_visual_weight_w10,receives_both_w10,rank_total_visual_w10,rank_visual_share_w10,rank_LC4_w10,rank_LPLC2_w10,total_incoming_edges,predicted_nt,predicted_nt_confidence,consensus_nt
10106,DNp11,R,DNp11_R,Traced,1644,15,1659,11406,0.1454497632824829,0.9909584086799277,0.009041591320072333,53,13,66,1659,0,True,13,11,9,38,1640,0,1640,0.14378397334736104,1.0,0.0,51,0,51,1640,0,False,13,11,9,40,1563,0,1563,0.13703314045239348,1.0,0.0,39,0,39,1563,0,False,12,11,9,25,2318,acetylcholine,0.9111542945898922,acetylcholine
10228,DNp06,L,DNp06_L,Traced,705,886,1591,23365,0.06809330194735716,0.44311753614079197,0.556882463859208,70,91,161,1591,0,True,14,23,10,9,700,870,1570,0.06719452172052215,0.445859872611465,0.554140127388535,67,80,147,1570,0,True,14,22,10,9,476,614,1090,0.04665097367857907,0.43669724770642204,0.563302752293578,31,34,65,1090,0,True,14,20,13,10,2100,acetylcholine,0.9495065879467789,acetylcholine
10584,DNp06,R,DNp06_R,Traced,447,833,1280,20242,0.06323485821559134,0.34921875,0.65078125,55,88,143,1280,0,True,15,24,15,11,442,819,1261,0.06229621578895366,0.35051546391752575,0.6494845360824743,52,80,132,1261,0,True,15,23,15,11,222,566,788,0.038928959588973425,0.2817258883248731,0.7182741116751269,19,36,55,788,0,True,15,22,16,11,1913,acetylcholine,0.9496455095554229,acetylcholine
10223,DNpe056,L,DNpe056(PVLP146)_L,Traced,2,874,876,7562,0.11584236974345412,0.00228310502283105,0.997716894977169,2,81,83,876,0,True,16,13,45,10,0,864,864,0.11425548796614653,0.0,1.0,0,74,74,864,0,False,16,13,33,10,0,677,677,0.0895265802697699,0.0,1.0,0,44,44,677,0,False,16,15,22,9,1489,acetylcholine,0.9515824387694533,acetylcholine
519771,DNp71,L,DNp71(DNp09)_L,Traced,2,797,799,6034,0.13241630759032152,0.0025031289111389237,0.9974968710888611,1,91,92,799,0,True,17,12,45,12,0,784,784,0.12993039443155452,0.0,1.0,0,82,82,784,0,False,17,12,33,12,0,525,525,0.08700696055684455,0.0,1.0,0,37,37,525,0,False,19,16,22,12,1063,acetylcholine,0.9524830888438928,acetylcholine
10732,DNpe056,R,DNpe056(PVLP146)_R,Traced,5,745,750,7879,0.09518974489148369,0.006666666666666667,0.9933333333333333,3,79,82,750,0,True,18,17,34,13,0,733,733,0.09303211067394339,0.0,1.0,0,70,70,733,0,False,18,17,33,13,0,513,513,0.06510978550577484,0.0,1.0,0,34,34,513,0,False,21,18,22,13,1514,acetylcholine,0.9645276733681327,acetylcholine
524001,DNp05,L,DNp05_L,Traced,702,15,717,6281,0.11415379716605636,0.9790794979079498,0.02092050209205021,54,8,62,717,0,True,19,14,11,38,692,7,699,0.11128801146314281,0.9899856938483548,0.010014306151645207,47,2,49,699,0,True,19,14,11,35,604,0,604,0.09616303136443241,1.0,0.0,32,0,32,604,0,False,17,13,10,25,952,acetylcholine,0.9574082249222785,acetylcholine
10558,DNp35,R,DNp35(PVLP136)_R,Traced,213,481,694,18447,0.03762129343524692,0.3069164265129683,0.6930835734870316,49,85,134,694,0,True,20,26,18,16,185,449,634,0.03436873204315065,0.2917981072555205,0.7082018927444795,31,65,96,634,0,True,21,26,18,16,53,144,197,0.010679243237382773,0.26903553299492383,0.7309644670050761,5,11,16,197,0,True,24,25,17,17,1849,acetylcholine,0.9643233064380307,acetylcholine
10234,DNp35,L,DNp35(PVLP136)_L,Traced,251,439,690,17658,0.03907577302072715,0.36376811594202896,0.636231884057971,59,86,145,690,0,True,21,25,17,17,223,406,629,0.03562124815947446,0.35453100158982515,0.6454689984101749,41,63,104,629,0,True,22,25,17,17,34,118,152,0.008607996375580473,0.2236842105263158,0.7763157894736842,2,8,10,152,0,True,26,26,18,18,1813,acetylcholine,0.9543729552314394,acetylcholine
10989,DNp03,R,DNp03_R,Traced,680,0,680,8831,0.07700147208696637,1.0,0.0,55,0,55,680,0,False,22,20,12,50,678,0,678,0.07677499716906352,1.0,0.0,54,0,54,678,0,False,20,19,12,40,546,0,546,0.06182765258747594,1.0,0.0,35,0,35,546,0,False,18,19,11,25,1220,acetylcholine,0.9595298909830432,acetylcholine
10601,DNpe025,R,DNpe025(PVLP145)_R,Traced,88,567,655,8427,0.07772635576124362,0.13435114503816795,0.8656488549618321,29,79,108,655,0,True,23,19,23,14,64,531,595,0.07060638424112971,0.10756302521008404,0.892436974789916,10,55,65,595,0,True,24,20,23,14,20,362,382,0.04533048534472529,0.05235602094240838,0.9476439790575916,2,21,23,382,0,True,22,21,19,14,1391,acetylcholine,0.9536421243962725,acetylcholine
10449,DNpe025,L,DNpe025(PVLP145)_L,Traced,133,511,644,8385,0.07680381633870006,0.20652173913043478,0.7934782608695652,45,76,121,644,0,True,24,21,22,15,104,472,576,0.06869409660107334,0.18055555555555555,0.8194444444444444,23,52,75,576,0,True,25,21,22,15,0,305,305,0.03637447823494335,0.0,1.0,0,19,19,305,0,False,23,23,22,15,1348,acetylcholine,0.9564313841236908,acetylcholine
11020,DNp05,R,DNp05_R,Traced,601,24,625,5778,0.10816891658013153,0.9616,0.0384,43,16,59,625,0,True,25,15,13,34,597,9,606,0.10488058151609553,0.9851485148514851,0.01485148514851485,40,3,43,606,0,True,23,15,13,34,520,0,520,0.08999653859466944,1.0,0.0,26,0,26,520,0,False,20,14,12,25,834,acetylcholine,0.9584000181046685,acetylcholine
