pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
31301,LC4,L,531898,DNp04,L,80,LC4,DNp04,True,True,True
20808,LC4,R,11137,DNp04,R,79,LC4,DNp04,True,True,True
30480,LC4,R,10106,DNp11,R,78,LC4,DNp11,True,True,True
29563,LC4,R,11137,DNp04,R,78,LC4,DNp04,True,True,True
107513,LC4,L,531898,DNp04,L,78,LC4,DNp04,True,True,True
22966,LC4,R,10106,DNp11,R,77,LC4,DNp11,True,True,True
23098,LC4,R,11137,DNp04,R,77,LC4,DNp04,True,True,True
516909,LC4,L,531898,DNp04,L,77,LC4,DNp04,True,True,True
524899,LC4,L,531898,DNp04,L,77,LC4,DNp04,True,True,True
17860,LC4,R,11137,DNp04,R,76,LC4,DNp04,True,True,True
21336,LC4,R,11137,DNp04,R,76,LC4,DNp04,True,True,True
29417,LC4,L,531898,DNp04,L,76,LC4,DNp04,True,True,True
15018,LC4,L,10259,DNp11,L,75,LC4,DNp11,True,True,True
24338,LC4,R,11137,DNp04,R,74,LC4,DNp04,True,True,True
29514,LC4,L,531898,DNp04,L,74,LC4,DNp04,True,True,True
100485,LC4,L,531898,DNp04,L,74,LC4,DNp04,True,True,True
29469,LC4,L,10010,DNp01,L,73,LC4,DNp01,True,True,True
514956,LC4,L,10259,DNp11,L,73,LC4,DNp11,True,True,True
19260,LC4,R,11137,DNp04,R,73,LC4,DNp04,True,True,True
514508,LC4,L,531898,DNp04,L,73,LC4,DNp04,True,True,True
16628,LC4,R,10117,DNp02,R,72,LC4,DNp02,True,True,True
17926,LC4,R,10117,DNp02,R,72,LC4,DNp02,True,True,True
20572,LC4,L,531898,DNp04,L,72,LC4,DNp04,True,True,True
532254,LC4,L,531898,DNp04,L,72,LC4,DNp04,True,True,True
535341,LC4,L,531898,DNp04,L,72,LC4,DNp04,True,True,True
22847,LC4,R,10106,DNp11,R,71,LC4,DNp11,True,True,True
