intermediate_bodyId,intermediate_type,intermediate_side,LC4_input_weight,LPLC2_input_weight,total_visual_input_weight,total_incoming_weight,visual_input_share,output_weight_to_candidate_dns,num_downstream_candidate_dns,path_score_product,min_path_capacity,predicted_nt,predicted_nt_confidence,survives_w3,survives_w10
10263,GNG300,R,60,250,310,7777.0,0.039861128970039864,411,23,127410,310,gaba,0.8327103569609767,True,True
531983,AVLP452,R,546,2,548,3614.0,0.15163254012174876,229,20,125492,229,acetylcholine,0.9403332524235261,True,True
16482,PVLP123,L,60,101,161,3841.0,0.041916167664670656,778,25,125258,161,acetylcholine,0.9522830781671048,True,True
10609,PVLP120,L,148,492,640,16694.0,0.03833712711153708,185,17,118400,185,acetylcholine,0.9637588396038151,True,True
15815,PVLP021,R,697,6,703,3562.0,0.19736103312745648,160,21,112480,160,gaba,0.8707544151656119,True,True
11472,PVLP015,L,292,43,335,8185.0,0.04092852779474649,332,23,111220,332,glutamate,0.7196540293598763,True,True
30194,SAD013,L,95,150,245,9615.0,0.02548101924076963,424,18,103880,245,gaba,0.8604434258612136,True,True
521326,AVLP259,L,688,93,781,,,133,17,103873,133,acetylcholine,0.9645821332719962,True,True
16904,AVLP259,L,484,121,605,4887.0,0.12379783098015142,169,14,102245,169,acetylcholine,0.9648908114505886,True,True
18907,PVLP123,L,147,45,192,3120.0,0.06153846153846154,520,25,99840,192,acetylcholine,0.9538077824415204,True,True
11599,AVLP429,L,212,28,240,3395.0,0.07069219440353461,414,30,99360,240,acetylcholine,0.9687442422891067,True,True
85544,AVLP452,R,487,2,489,2913.0,0.1678681771369722,202,18,98778,202,acetylcholine,0.8915059513516251,True,True
10828,AVLP531,L,0,1610,1610,,,61,11,98210,61,gaba,0.812318355266578,True,True
10995,PVLP120,R,118,612,730,,,134,13,97820,134,acetylcholine,0.9665449088328063,True,True
13825,AVLP429,R,197,24,221,3621.0,0.06103286384976526,416,26,91936,221,acetylcholine,0.9636150473018529,True,True
12236,LC31b,R,187,303,490,5936.0,0.08254716981132075,186,10,91140,186,acetylcholine,0.9601125708385982,True,True
10887,IB114,R,208,393,601,7992.0,0.0752002002002002,147,17,88347,147,gaba,0.859500272036695,True,True
23112,PVLP074,R,0,409,409,,,212,10,86708,212,acetylcholine,0.9610471262455379,True,True
11697,AVLP500,L,3,1076,1079,,,79,13,85241,79,acetylcholine,0.9601657198017638,True,True
10936,LT61b,L,267,18,285,13212.0,0.021571298819255222,294,15,83790,285,acetylcholine,0.9544682190516605,True,True
71157,CB3513,L,682,36,718,,,116,25,83288,116,gaba,0.8751798658381322,True,True
11187,LoVP54,L,8,105,113,6169.0,0.018317393418706435,735,25,83055,113,acetylcholine,0.9676187768969475,True,True
17065,CB3513,R,673,43,716,,,114,21,81624,114,gaba,0.8516045935393561,True,True
532839,CL140,L,208,128,336,6031.0,0.055712153871663075,238,17,79968,238,gaba,0.8677979290578735,True,True
19951,CB3400,R,773,7,780,,,102,9,79560,102,acetylcholine,0.9709743112475346,True,True
76637,CL323,R,151,151,302,2202.0,0.1371480472297911,256,20,77312,256,acetylcholine,0.9622267815443784,True,True
30883,CL323,R,159,188,347,2230.0,0.1556053811659193,221,20,76687,221,acetylcholine,0.9626720976941199,True,True
16887,AVLP259,R,526,135,661,,,115,6,76015,115,acetylcholine,0.9678127601507327,True,True
16246,AVLP259,R,597,128,725,,,104,9,75400,104,acetylcholine,0.9628888814670729,True,True
12255,PVLP019,R,197,57,254,3124.0,0.08130601792573623,296,10,75184,254,gaba,0.8542274449368183,True,True
562991,LoVP85,L,302,20,322,4904.0,0.06566068515497553,233,15,75026,233,acetylcholine,0.9574949027814261,True,True
10480,MeVP53,R,179,2,181,4304.0,0.042053903345724904,399,7,72219,181,gaba,0.8648440398125334,True,True
15414,PVLP123,R,103,55,158,3253.0,0.048570550261297266,455,20,71890,158,acetylcholine,0.9629315816837357,True,True
12951,PVLP069,R,2,4196,4198,,,17,3,71366,17,acetylcholine,0.9697453677706588,True,True
11435,LoVP54,R,11,96,107,5893.0,0.01815713558459189,652,22,69764,107,acetylcholine,0.9544240355622882,True,True
11926,LoVP85,R,304,11,315,4879.0,0.06456241032998565,219,17,68985,219,acetylcholine,0.9524301666578195,True,True
12427,PVLP069,L,1,4857,4858,,,14,5,68012,14,acetylcholine,0.9669822719729776,True,True
527694,CL323,R,206,51,257,2142.0,0.11998132586367881,256,18,65792,256,acetylcholine,0.9397557401615704,True,True
14091,CB3544,L,267,6,273,2942.0,0.09279401767505098,238,23,64974,238,gaba,0.7690708862373942,True,True
16930,CB3513,R,348,33,381,3732.0,0.10209003215434084,170,21,64770,170,gaba,0.821131473605204,True,True
21548,AVLP094,R,154,0,154,1520.0,0.1013157894736842,420,16,64680,154,gaba,0.78627482260791,True,True
15068,PVLP019,L,275,0,275,,,233,9,64075,233,gaba,0.863144363877029,True,True
15733,CB3544,R,250,8,258,2694.0,0.0957683741648107,245,25,63210,245,gaba,0.779204502739837,True,True
517426,PVLP026,L,192,39,231,4502.0,0.051310528653931584,271,24,62601,231,gaba,0.8159132057064515,True,True
11252,PVLP017,L,20,305,325,12623.0,0.025746652935118436,192,19,62400,192,gaba,0.845664643967482,True,True
17939,PVLP046,R,176,4,180,1427.0,0.12613875262789068,344,12,61920,180,gaba,0.8884218719595253,True,True
514481,PVLP123,L,60,50,110,3218.0,0.03418272218769422,555,24,61050,110,acetylcholine,0.941502814540439,True,True
13114,SAD064,R,111,0,111,1619.0,0.06856084002470661,547,12,60717,111,acetylcholine,0.901318532368664,True,True
10277,AMMC-A1,R,1260,49,1309,,,46,8,60214,46,acetylcholine,0.508455292595084,True,True
17556,UNKNOWN,L,290,0,290,,,204,21,59160,204,acetylcholine,0.9444120180632112,True,True
12419,CL140,R,226,81,307,5633.0,0.054500266287946034,191,15,58637,191,gaba,0.8879552906401867,True,True
11883,PVLP017,R,42,288,330,14404.0,0.022910302693696195,171,17,56430,171,gaba,0.837807916079281,True,True
17284,UNKNOWN,R,296,4,300,2122.0,0.1413760603204524,187,21,56100,187,acetylcholine,0.9603016889260265,True,True
11727,AVLP258,R,12,448,460,,,118,11,54280,118,acetylcholine,0.9702432629738896,True,True
12184,PVLP122,R,42,6,48,9008.0,0.0053285968028419185,1097,28,52656,48,acetylcholine,0.9498177386311283,True,True
512121,CB1280,R,89,0,89,1225.0,0.07265306122448979,590,18,52510,89,acetylcholine,0.9624366616878086,True,True
21392,CB3400,L,646,17,663,,,79,10,52377,79,acetylcholine,0.9628760865080601,True,True
12395,IB114,L,208,152,360,7768.0,0.046343975283213185,145,17,52200,145,gaba,0.8640520789756103,True,True
10251,MeVP53,L,125,0,125,4191.0,0.02982581722739203,417,6,52125,125,gaba,0.8682032858533574,True,True
11794,LC31b,L,92,191,283,4489.0,0.06304299398529739,182,13,51506,182,acetylcholine,0.9431716187917388,True,True
22584,UNKNOWN,L,173,34,207,1870.0,0.11069518716577541,241,23,49887,207,acetylcholine,0.9676672912229547,True,True
532199,AMMC-A1,R,1341,57,1398,,,34,6,47532,34,acetylcholine,0.5368996227601669,True,True
11397,SAD013,R,103,15,118,9214.0,0.012806598654221837,402,19,47436,118,gaba,0.859589288949775,True,True
11018,AVLP258,L,3,348,351,,,135,12,47385,135,acetylcholine,0.9649974273407355,True,True
18340,WED125,L,287,0,287,,,160,16,45920,160,acetylcholine,0.9373407029798251,True,True
15597,UNKNOWN,L,228,4,232,2005.0,0.11571072319201996,195,19,45240,195,acetylcholine,0.9603225981275862,True,True
19658,PVLP074,L,6,200,206,2673.0,0.07706696595585484,215,18,44290,206,acetylcholine,0.9730458214750952,True,True
10728,WED116,L,164,0,164,,,269,21,44116,164,acetylcholine,0.8278126177695364,True,True
531648,UNKNOWN,R,939,525,1464,,,30,12,43920,30,acetylcholine,0.9407153382485561,True,True
202892,UNKNOWN,R,0,308,308,,,142,12,43736,142,acetylcholine,0.9714362448876234,True,True
11507,PLP211,R,9,70,79,5564.0,0.014198418404025881,518,47,40922,79,unclear,0.417853171243112,True,True
556303,CB1498,L,211,1,212,3254.0,0.06515058389674247,192,20,40704,192,acetylcholine,0.9500222853457378,True,True
33474,SAD049,R,57,30,87,3847.0,0.022615024694567196,462,14,40194,87,acetylcholine,0.9457714101946386,True,True
15052,PVLP100,L,172,0,172,,,233,21,40076,172,gaba,0.8365595788227895,True,True
21641,UNKNOWN,R,200,0,200,,,199,21,39800,199,acetylcholine,0.9594831551814419,True,True
23446,CB3201,L,390,3,393,,,101,10,39693,101,acetylcholine,0.9551381642138949,True,True
11303,PLP211,L,8,85,93,4888.0,0.01902618657937807,425,51,39525,93,unclear,0.4025682902497021,True,True
10115,AVLP016,L,57,1,58,42023.0,0.0013801965590271993,669,29,38802,58,glutamate,0.5680680661811779,True,True
14112,AVLP370_a,R,0,147,147,,,261,10,38367,147,acetylcholine,0.9439811467249456,True,True
17616,PVLP123,R,33,30,63,3649.0,0.017265004110715264,606,22,38178,63,acetylcholine,0.9607452371048925,True,True
588414,CB4163,L,0,254,254,,,148,14,37592,148,gaba,0.872553597733279,True,True
13600,CB2664,R,73,0,73,1380.0,0.05289855072463768,500,21,36500,73,acetylcholine,0.9690537837997493,True,True
17908,WED125,R,311,0,311,,,114,16,35454,114,acetylcholine,0.965307734999586,True,True
11378,CB1280,L,66,0,66,1892.0,0.03488372093023256,533,16,35178,66,acetylcholine,0.9254516816632299,True,True
521693,PVLP122,L,29,5,34,8374.0,0.004060186290900406,1023,28,34782,34,acetylcholine,0.9533382915510165,True,True
513904,SAD049,L,51,10,61,3581.0,0.017034347947500698,564,16,34404,61,acetylcholine,0.9640439808118888,True,True
519416,UNKNOWN,L,817,359,1176,,,29,11,34104,29,acetylcholine,0.9676548872556345,True,True
22309,CB3201,R,270,0,270,,,126,11,34020,126,acetylcholine,0.9572898153843605,True,True
20338,CB1498,R,163,2,165,3475.0,0.04748201438848921,201,22,33165,165,acetylcholine,0.952941043679453,True,True
15791,SAD064,L,50,0,50,2507.0,0.01994415636218588,656,11,32800,50,acetylcholine,0.9379238067636538,True,True
15890,PVLP071,R,7,919,926,,,35,8,32410,35,acetylcholine,0.9714445109839674,True,True
15861,PVLP026,R,134,18,152,4300.0,0.035348837209302326,210,18,31920,152,gaba,0.8126039882284019,True,True
12557,PLP093,L,123,0,123,,,254,15,31242,123,acetylcholine,0.9597827550970952,True,True
14106,CB2664,L,61,0,61,1637.0,0.03726328649969456,502,16,30622,61,acetylcholine,0.9137151438268614,True,True
12242,SAD055,R,66,0,66,1616.0,0.04084158415841584,459,18,30294,66,acetylcholine,0.9592939409343542,True,True
10082,AVLP016,R,58,0,58,48123.0,0.0012052448932942667,511,27,29638,58,glutamate,0.5396932532982424,True,True
