bodyId,type,somaSide,instance,status,LC4_weight,LPLC2_weight,total_visual_weight,total_incoming_weight,visual_share,LC4_fraction_visual,LPLC2_fraction_visual,LC4_presynaptic_count,LPLC2_presynaptic_count,direct_visual_partners,ipsilateral_visual_weight,contralateral_visual_weight,receives_both,rank_total_visual,rank_visual_share,rank_LC4,rank_LPLC2
10280,DNp47,R,DNp47(PS293)_R,Traced,0,0,0,3752,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10296,DNge054,R,DNge054_R,Traced,0,0,0,9026,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10342,DNc02,R,DNc02(SIFa)_R,Traced,0,0,0,1995,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10377,DNge054,L,DNge054_L,Traced,0,0,0,10123,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10580,DNp70,L,DNp70(CL305)_L,Traced,0,0,0,10985,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10705,DNc02,L,DNc02(SIFa)_L,Traced,0,0,0,1767,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10713,DNp42,L,DNp42_L,Traced,0,0,0,8820,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
10957,DNp69,R,DNp69(CL304)_R,Traced,0,0,0,11920,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11063,DNge032,L,DNge032_L,Traced,0,0,0,2853,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11088,DNp55,R,DNp55(WED180)_R,Traced,0,0,0,8097,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11133,DNp70,R,DNp70(CL305)_R,Traced,0,0,0,11695,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11177,DNp09,R,DNp09_R,Traced,0,0,0,7300,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11290,DNp66,R,DNp66(AVLP499)_R,Traced,0,0,0,6139,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11513,DNp07,R,DNp07_R,Traced,0,0,0,6083,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
11632,DNpe052,R,DNpe052(AVLP564)_R,Traced,0,0,0,4125,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
12218,DNpe031,L,DNpe031(PVLP116)_L,Traced,0,0,0,6074,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
12222,DNpe031,L,DNpe031(PVLP116)_L,Traced,0,0,0,5660,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
33037,DNp69,L,DNp69(CL304)_L,Traced,0,0,0,12393,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
506334,DNp42,R,DNp42_R,Traced,0,0,0,8993,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
522345,DNpe037,L,DNpe037(CL338)_L,Traced,0,0,0,3252,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
536048,DNp27,L,DNp27_L,Traced,0,0,0,9151,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
575082,DNpe021,R,DNpe021_R,Traced,0,0,0,5839,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25
