bodyId,type,somaSide,instance,status,LC4_weight,LPLC2_weight,total_visual_weight,total_incoming_weight,visual_share,LC4_fraction_visual,LPLC2_fraction_visual,LC4_presynaptic_count,LPLC2_presynaptic_count,direct_visual_partners,ipsilateral_visual_weight,contralateral_visual_weight,receives_both,rank_total_visual,rank_visual_share,rank_LC4,rank_LPLC2
531898,DNp04,L,DNp04_L,Traced,6811,1957,8768,12604,0.6956521739130435,0.7768020072992701,0.22319799270072993,71,94,165,8768,0,True,1,1,1,5
10010,DNp01,L,DNp01(GF)_L,Traced,3782,2640,6422,24896,0.2579530848329049,0.5889131111803176,0.41108688881968236,71,93,164,6422,0,True,2,4,3,2
11137,DNp04,R,DNp04_R,Traced,4786,1431,6217,9326,0.6666309242976625,0.7698246742801994,0.23017532571980054,55,84,139,6217,0,True,3,2,2,7
10001,DNp01,R,DNp01(GF)_R,Traced,2580,2218,4798,18582,0.25820686686040256,0.5377240516882034,0.4622759483117966,55,89,144,4798,0,True,4,3,4,3
10283,DNp103,R,DNp103(PVLP119)_R,Traced,167,2867,3034,29105,0.10424325717230716,0.05504284772577456,0.9449571522742255,34,91,125,3034,0,True,5,16,19,1
10417,DNp103,L,DNp103(PVLP119)_L,Traced,123,2198,2321,27113,0.08560469147641353,0.05299439896596295,0.9470056010340371,27,94,121,2321,0,True,6,18,21,4
10197,DNp02,L,DNp02_L,Traced,2279,0,2279,9375,0.24309333333333333,1.0,0.0,71,0,71,2279,0,False,7,5,5,40
10923,DNg40,R,DNg40(hb5813056435)_R,Traced,434,1815,2249,10614,0.21188995666101376,0.19297465540240108,0.8070253445975989,42,79,121,2249,0,True,8,7,16,6
10259,DNp11,L,DNp11_L,Traced,2015,33,2048,12792,0.16010006253908693,0.98388671875,0.01611328125,65,9,74,2048,0,True,9,9,6,27
10117,DNp02,R,DNp02_R,Traced,1930,0,1930,8921,0.21634345925344692,1.0,0.0,54,0,54,1930,0,False,10,6,7,40
10752,DNp03,L,DNp03_L,Traced,1827,0,1827,11492,0.15898016011138183,1.0,0.0,71,0,71,1827,0,False,11,10,8,40
10361,DNg40,L,DNg40(hb5813056435)_L,Traced,508,1162,1670,9198,0.18156120895846922,0.30419161676646705,0.6958083832335329,45,81,126,1670,0,True,12,8,14,8
10106,DNp11,R,DNp11_R,Traced,1640,0,1640,11406,0.14378397334736104,1.0,0.0,51,0,51,1640,0,False,13,11,9,40
10228,DNp06,L,DNp06_L,Traced,700,870,1570,23365,0.06719452172052215,0.445859872611465,0.554140127388535,67,80,147,1570,0,True,14,22,10,9
10584,DNp06,R,DNp06_R,Traced,442,819,1261,20242,0.06229621578895366,0.35051546391752575,0.6494845360824743,52,80,132,1261,0,True,15,23,15,11
10223,DNpe056,L,DNpe056(PVLP146)_L,Traced,0,864,864,7562,0.11425548796614653,0.0,1.0,0,74,74,864,0,False,16,13,33,10
519771,DNp71,L,DNp71(DNp09)_L,Traced,0,784,784,6034,0.12993039443155452,0.0,1.0,0,82,82,784,0,False,17,12,33,12
10732,DNpe056,R,DNpe056(PVLP146)_R,Traced,0,733,733,7879,0.09303211067394339,0.0,1.0,0,70,70,733,0,False,18,17,33,13
524001,DNp05,L,DNp05_L,Traced,692,7,699,6281,0.11128801146314281,0.9899856938483548,0.010014306151645207,47,2,49,699,0,True,19,14,11,35
10989,DNp03,R,DNp03_R,Traced,678,0,678,8831,0.07677499716906352,1.0,0.0,54,0,54,678,0,False,20,19,12,40
10558,DNp35,R,DNp35(PVLP136)_R,Traced,185,449,634,18447,0.03436873204315065,0.2917981072555205,0.7082018927444795,31,65,96,634,0,True,21,26,18,16
10234,DNp35,L,DNp35(PVLP136)_L,Traced,223,406,629,17658,0.03562124815947446,0.35453100158982515,0.6454689984101749,41,63,104,629,0,True,22,25,17,17
11020,DNp05,R,DNp05_R,Traced,597,9,606,5778,0.10488058151609553,0.9851485148514851,0.01485148514851485,40,3,43,606,0,True,23,15,13,34
10601,DNpe025,R,DNpe025(PVLP145)_R,Traced,64,531,595,8427,0.07060638424112971,0.10756302521008404,0.892436974789916,10,55,65,595,0,True,24,20,23,14
10449,DNpe025,L,DNpe025(PVLP145)_L,Traced,104,472,576,8385,0.06869409660107334,0.18055555555555555,0.8194444444444444,23,52,75,576,0,True,25,21,22,15
11159,DNp71,R,DNp71(DNp09)_R,Traced,0,359,359,5779,0.06212147430351272,0.0,1.0,0,52,52,359,0,False,26,24,33,18
10091,DNpe042,L,DNpe042(CL262)_L,Traced,0,252,252,15908,0.015841086245914005,0.0,1.0,0,48,48,252,0,False,27,30,33,19
12628,DNpe042,R,DNpe042(CL262)_R,Traced,0,198,198,17140,0.011551925320886815,0.0,1.0,0,38,38,198,0,False,28,32,33,20
11334,DNpe045,R,DNpe045(DNp23)_R,Traced,3,145,148,7380,0.02005420054200542,0.02027027027027027,0.9797297297297297,1,28,29,148,0,True,29,28,30,21
11573,DNpe021,L,DNpe021(CL307)_L,Traced,125,0,125,5797,0.021562877350353633,1.0,0.0,26,0,26,125,0,False,30,27,20,40
10931,DNpe045,L,DNpe045(DNp23)_L,Traced,0,94,94,7994,0.011758819114335751,0.0,1.0,0,18,18,94,0,False,31,31,33,22
10783,DNp09,L,DNp09_L,Traced,0,87,87,8640,0.010069444444444445,0.0,1.0,0,14,14,87,0,False,32,34,33,23
10590,DNpe052,L,DNpe052(AVLP564)_L,Traced,0,74,74,4452,0.016621743036837375,0.0,1.0,0,16,16,74,0,False,33,29,33,24
10244,DNp55,L,DNp55(WED180)_L,Traced,0,71,71,9125,0.0077808219178082194,0.0,1.0,0,18,18,71,0,False,34,35,33,25
575082,DNpe021,R,DNpe021_R,Traced,27,33,60,5839,0.010275732145915397,0.45,0.55,6,9,15,60,0,True,35,33,24,27
11133,DNp70,R,DNp70(CL305)_R,Traced,0,44,44,11695,0.003762291577597264,0.0,1.0,0,10,10,44,0,False,36,37,33,26
11088,DNp55,R,DNp55(WED180)_R,Traced,0,33,33,8097,0.004075583549462764,0.0,1.0,0,8,8,33,0,False,37,36,33,27
10296,DNge054,R,DNge054_R,Traced,3,19,22,9026,0.002437403057832927,0.13636363636363635,0.8636363636363636,1,5,6,22,0,True,38,39,30,31
10377,DNge054,L,DNge054_L,Traced,4,18,22,10123,0.0021732687938358195,0.18181818181818182,0.8181818181818182,1,4,5,22,0,True,38,40,28,32
10580,DNp70,L,DNp70(CL305)_L,Traced,0,22,22,10985,0.002002730996813837,0.0,1.0,0,6,6,22,0,False,38,41,33,30
10065,DNb05,R,DNb05_R,Traced,13,0,13,18613,0.0006984365765862569,1.0,0.0,2,0,2,13,0,False,41,45,25,40
11632,DNpe052,R,DNpe052(AVLP564)_R,Traced,0,11,11,4125,0.0026666666666666666,0.0,1.0,0,3,3,11,0,False,42,38,33,33
10957,DNp69,R,DNp69(CL304)_R,Traced,4,7,11,11920,0.0009228187919463087,0.36363636363636365,0.6363636363636364,1,2,3,11,0,True,42,43,28,35
33037,DNp69,L,DNp69(CL304)_L,Traced,7,0,7,12393,0.0005648349874929396,1.0,0.0,2,0,2,7,0,False,44,46,26,40
10118,DNb05,L,DNb05_L,Traced,5,0,5,17938,0.00027873787490244177,1.0,0.0,1,0,1,5,0,False,45,49,27,40
11177,DNp09,R,DNp09_R,Traced,0,4,4,7300,0.000547945205479452,0.0,1.0,0,1,1,4,0,False,46,47,33,37
10342,DNc02,R,DNc02(SIFa)_R,Traced,0,3,3,1995,0.0015037593984962407,0.0,1.0,0,1,1,0,3,False,47,42,33,38
522345,DNpe037,L,DNpe037(CL338)_L,Traced,0,3,3,3252,0.0009225092250922509,0.0,1.0,0,1,1,3,0,False,47,44,33,38
11290,DNp66,R,DNp66(AVLP499)_R,Traced,3,0,3,6139,0.0004886789379377749,1.0,0.0,1,0,1,3,0,False,47,48,30,40
10030,pIP1,L,pIP1_L,Traced,0,0,0,23050,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10038,pIP1,R,pIP1_R,Traced,0,0,0,21379,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10063,DNp27,R,DNp27_R,Traced,0,0,0,8155,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10068,DNp30,R,DNp30_R,Traced,0,0,0,6800,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10143,DNp30,L,DNp30_L,Traced,0,0,0,6673,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10280,DNp47,R,DNp47(PS293)_R,Traced,0,0,0,3752,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10705,DNc02,L,DNc02(SIFa)_L,Traced,0,0,0,1767,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
10713,DNp42,L,DNp42_L,Traced,0,0,0,8820,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
11063,DNge032,L,DNge032_L,Traced,0,0,0,2853,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
11513,DNp07,R,DNp07_R,Traced,0,0,0,6083,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
12218,DNpe031,L,DNpe031(PVLP116)_L,Traced,0,0,0,6074,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
12222,DNpe031,L,DNpe031(PVLP116)_L,Traced,0,0,0,5660,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
506334,DNp42,R,DNp42_R,Traced,0,0,0,8993,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
536048,DNp27,L,DNp27_L,Traced,0,0,0,9151,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40
