bodyId,type,somaSide,instance,status,LC4_weight,LPLC2_weight,total_visual_weight,total_incoming_weight,visual_share,LC4_fraction_visual,LPLC2_fraction_visual,LC4_presynaptic_count,LPLC2_presynaptic_count,direct_visual_partners,ipsilateral_visual_weight,contralateral_visual_weight,receives_both,rank_total_visual,rank_visual_share,rank_LC4,rank_LPLC2
531898,DNp04,L,DNp04_L,Traced,6811,1957,8768,12604,0.6956521739130435,0.7768020072992701,0.22319799270072993,71,94,165,8768,0,True,1,1,1,5
10010,DNp01,L,DNp01(GF)_L,Traced,3782,2642,6424,24896,0.25803341902313626,0.5887297633872977,0.41127023661270234,71,94,165,6424,0,True,2,4,3,2
11137,DNp04,R,DNp04_R,Traced,4786,1441,6227,9326,0.667703195367789,0.7685884053316203,0.23141159466837963,55,91,146,6227,0,True,3,2,2,7
10001,DNp01,R,DNp01(GF)_R,Traced,2580,2220,4800,18582,0.2583144979011947,0.5375,0.4625,55,91,146,4800,0,True,4,3,4,3
10283,DNp103,R,DNp103(PVLP119)_R,Traced,183,2867,3050,29105,0.10479299089503522,0.06,0.94,45,91,136,3050,0,True,5,16,19,1
10417,DNp103,L,DNp103(PVLP119)_L,Traced,152,2198,2350,27113,0.08667428908641611,0.06468085106382979,0.9353191489361702,48,94,142,2350,0,True,6,18,21,4
10197,DNp02,L,DNp02_L,Traced,2279,0,2279,9375,0.24309333333333333,1.0,0.0,71,0,71,2279,0,False,7,5,5,50
10923,DNg40,R,DNg40(hb5813056435)_R,Traced,446,1826,2272,10614,0.2140569059732429,0.19630281690140844,0.8036971830985915,51,87,138,2272,0,True,8,7,16,6
10259,DNp11,L,DNp11_L,Traced,2022,56,2078,12792,0.16244527829893685,0.973051010587103,0.026948989412897015,69,26,95,2078,0,True,9,9,6,27
10117,DNp02,R,DNp02_R,Traced,1930,5,1935,8921,0.21690393453648693,0.9974160206718347,0.002583979328165375,54,4,58,1935,0,True,10,6,7,41
10752,DNp03,L,DNp03_L,Traced,1827,1,1828,11492,0.15906717716672467,0.99945295404814,0.0005470459518599562,71,1,72,1828,0,True,11,10,8,47
10361,DNg40,L,DNg40(hb5813056435)_L,Traced,534,1172,1706,9198,0.18547510328332245,0.3130128956623681,0.6869871043376319,61,88,149,1706,0,True,12,8,14,8
10106,DNp11,R,DNp11_R,Traced,1644,15,1659,11406,0.1454497632824829,0.9909584086799277,0.009041591320072333,53,13,66,1659,0,True,13,11,9,38
10228,DNp06,L,DNp06_L,Traced,705,886,1591,23365,0.06809330194735716,0.44311753614079197,0.556882463859208,70,91,161,1591,0,True,14,23,10,9
10584,DNp06,R,DNp06_R,Traced,447,833,1280,20242,0.06323485821559134,0.34921875,0.65078125,55,88,143,1280,0,True,15,24,15,11
10223,DNpe056,L,DNpe056(PVLP146)_L,Traced,2,874,876,7562,0.11584236974345412,0.00228310502283105,0.997716894977169,2,81,83,876,0,True,16,13,45,10
519771,DNp71,L,DNp71(DNp09)_L,Traced,2,797,799,6034,0.13241630759032152,0.0025031289111389237,0.9974968710888611,1,91,92,799,0,True,17,12,45,12
10732,DNpe056,R,DNpe056(PVLP146)_R,Traced,5,745,750,7879,0.09518974489148369,0.006666666666666667,0.9933333333333333,3,79,82,750,0,True,18,17,34,13
524001,DNp05,L,DNp05_L,Traced,702,15,717,6281,0.11415379716605636,0.9790794979079498,0.02092050209205021,54,8,62,717,0,True,19,14,11,38
10558,DNp35,R,DNp35(PVLP136)_R,Traced,213,481,694,18447,0.03762129343524692,0.3069164265129683,0.6930835734870316,49,85,134,694,0,True,20,26,18,16
10234,DNp35,L,DNp35(PVLP136)_L,Traced,251,439,690,17658,0.03907577302072715,0.36376811594202896,0.636231884057971,59,86,145,690,0,True,21,25,17,17
10989,DNp03,R,DNp03_R,Traced,680,0,680,8831,0.07700147208696637,1.0,0.0,55,0,55,680,0,False,22,20,12,50
10601,DNpe025,R,DNpe025(PVLP145)_R,Traced,88,567,655,8427,0.07772635576124362,0.13435114503816795,0.8656488549618321,29,79,108,655,0,True,23,19,23,14
10449,DNpe025,L,DNpe025(PVLP145)_L,Traced,133,511,644,8385,0.07680381633870006,0.20652173913043478,0.7934782608695652,45,76,121,644,0,True,24,21,22,15
11020,DNp05,R,DNp05_R,Traced,601,24,625,5778,0.10816891658013153,0.9616,0.0384,43,16,59,625,0,True,25,15,13,34
11159,DNp71,R,DNp71(DNp09)_R,Traced,0,398,398,5779,0.06887004672088597,0.0,1.0,0,79,79,398,0,False,26,22,52,18
10091,DNpe042,L,DNpe042(CL262)_L,Traced,3,276,279,15908,0.01753834548654765,0.010752688172043012,0.989247311827957,2,65,67,279,0,True,27,31,43,19
12628,DNpe042,R,DNpe042(CL262)_R,Traced,0,246,246,17140,0.014352392065344223,0.0,1.0,0,72,72,246,0,False,28,33,52,20
11334,DNpe045,R,DNpe045(DNp23)_R,Traced,5,190,195,7380,0.026422764227642278,0.02564102564102564,0.9743589743589743,3,60,63,195,0,True,29,28,34,21
11573,DNpe021,L,DNpe021(CL307)_L,Traced,166,0,166,5797,0.028635501121269624,1.0,0.0,55,0,55,166,0,False,30,27,20,50
10931,DNpe045,L,DNpe045(DNp23)_L,Traced,7,132,139,7994,0.01738804103077308,0.050359712230215826,0.9496402877697842,6,45,51,139,0,True,31,32,32,22
