bodyId,type,somaSide,instance,status,LC4_weight,LPLC2_weight,total_visual_weight,total_incoming_weight,visual_share,LC4_fraction_visual,LPLC2_fraction_visual,LC4_presynaptic_count,LPLC2_presynaptic_count,direct_visual_partners,ipsilateral_visual_weight,contralateral_visual_weight,receives_both,rank_total_visual,rank_visual_share,rank_LC4,rank_LPLC2
10590,DNpe052,L,DNpe052(AVLP564)_L,Traced,0,114,114,4452,0.025606469002695417,0.0,1.0,0,49,49,114,0,False,32,29,52,23
575082,DNpe021,R,DNpe021_R,Traced,61,51,112,5839,0.019181366672375407,0.5446428571428571,0.45535714285714285,29,22,51,112,0,True,33,30,24,29
10244,DNp55,L,DNp55(WED180)_L,Traced,2,105,107,9125,0.011726027397260273,0.018691588785046728,0.9813084112149533,1,41,42,107,0,True,34,35,45,24
10783,DNp09,L,DNp09_L,Traced,0,104,104,8640,0.012037037037037037,0.0,1.0,0,25,25,104,0,False,35,34,52,25
11133,DNp70,R,DNp70(CL305)_R,Traced,3,68,71,11695,0.006070970500213766,0.04225352112676056,0.9577464788732394,3,29,32,70,1,True,36,38,43,26
11088,DNp55,R,DNp55(WED180)_R,Traced,0,55,55,8097,0.006792639249104606,0.0,1.0,0,24,24,55,0,False,37,37,52,28
10580,DNp70,L,DNp70(CL305)_L,Traced,14,36,50,10985,0.004551661356395084,0.28,0.72,12,17,29,50,0,True,38,39,29,30
10296,DNge054,R,DNge054_R,Traced,4,33,37,9026,0.0040992687790826505,0.10810810810810811,0.8918918918918919,2,14,16,37,0,True,39,40,38,31
10377,DNge054,L,DNge054_L,Traced,4,30,34,10123,0.0033586881359280846,0.11764705882352941,0.8823529411764706,1,13,14,34,0,True,40,41,38,33
10957,DNp69,R,DNp69(CL304)_R,Traced,16,17,33,11920,0.0027684563758389263,0.48484848484848486,0.5151515151515151,10,9,19,33,0,True,41,42,26,37
11632,DNpe052,R,DNpe052(AVLP564)_R,Traced,0,31,31,4125,0.0075151515151515155,0.0,1.0,0,17,17,31,0,False,42,36,52,32
536048,DNp27,L,DNp27_L,Traced,5,18,23,9151,0.002513386515134958,0.21739130434782608,0.782608695652174,4,16,20,16,7,True,43,44,34,35
10063,DNp27,R,DNp27_R,Traced,4,18,22,8155,0.00269773145309626,0.18181818181818182,0.8181818181818182,4,15,19,8,14,True,44,43,38,35
33037,DNp69,L,DNp69(CL304)_L,Traced,17,2,19,12393,0.001533123537480836,0.8947368421052632,0.10526315789473684,10,1,11,19,0,True,45,47,25,45
10118,DNb05,L,DNb05_L,Traced,15,0,15,17938,0.0008362136247073252,1.0,0.0,7,0,7,15,0,False,46,53,27,50
10065,DNb05,R,DNb05_R,Traced,15,0,15,18613,0.0008058883575995272,1.0,0.0,4,0,4,15,0,False,46,54,27,50
11290,DNp66,R,DNp66(AVLP499)_R,Traced,9,0,9,6139,0.0014660368138133247,1.0,0.0,5,0,5,9,0,False,48,49,30,50
10030,pIP1,L,pIP1_L,Traced,8,0,8,23050,0.0003470715835140998,1.0,0.0,6,0,6,8,0,False,49,58,31,50
11177,DNp09,R,DNp09_R,Traced,0,7,7,7300,0.0009589041095890411,0.0,1.0,0,4,4,7,0,False,50,52,52,40
10713,DNp42,L,DNp42_L,Traced,7,0,7,8820,0.0007936507936507937,1.0,0.0,7,0,7,7,0,False,50,55,32,50
10280,DNp47,R,DNp47(PS293)_R,Traced,5,1,6,3752,0.0015991471215351812,0.8333333333333334,0.16666666666666666,5,1,6,6,0,True,52,45,34,47
522345,DNpe037,L,DNpe037(CL338)_L,Traced,0,5,5,3252,0.0015375153751537515,0.0,1.0,0,3,3,5,0,False,53,46,52,41
11063,DNge032,L,DNge032_L,Traced,0,4,4,2853,0.0014020329477742728,0.0,1.0,0,3,3,4,0,False,54,50,52,43
11513,DNp07,R,DNp07_R,Traced,4,0,4,6083,0.0006575702778234424,1.0,0.0,3,0,3,4,0,False,54,56,38,50
506334,DNp42,R,DNp42_R,Traced,4,0,4,8993,0.0004447903925275214,1.0,0.0,4,0,4,4,0,False,54,57,38,50
10342,DNc02,R,DNc02(SIFa)_R,Traced,0,3,3,1995,0.0015037593984962407,0.0,1.0,0,1,1,0,3,False,57,48,52,44
10705,DNc02,L,DNc02(SIFa)_L,Traced,2,0,2,1767,0.0011318619128466328,1.0,0.0,2,0,2,2,0,False,58,51,45,50
12218,DNpe031,L,DNpe031(PVLP116)_L,Traced,0,2,2,6074,0.00032927230819888045,0.0,1.0,0,2,2,2,0,False,58,59,52,45
10143,DNp30,L,DNp30_L,Traced,2,0,2,6673,0.0002997152704930316,1.0,0.0,2,0,2,0,2,False,58,60,45,50
10068,DNp30,R,DNp30_R,Traced,2,0,2,6800,0.0002941176470588235,1.0,0.0,1,0,1,0,2,False,58,61,45,50
12222,DNpe031,L,DNpe031(PVLP116)_L,Traced,0,1,1,5660,0.00017667844522968197,0.0,1.0,0,1,1,1,0,False,62,62,52,47
10038,pIP1,R,pIP1_R,Traced,1,0,1,21379,4.677487253847233e-05,1.0,0.0,1,0,1,1,0,False,62,63,51,50
