source_type,intermediate_body,visual_to_intermediate_weight,descending_body,intermediate_to_descending_weight,intermediate_type,descending_type,path_product_weight,path_min_weight,survives_w3,survives_w10
LPLC2,16659,6983,10923,97,PVLP011,DNg40,677351,97,True,True
LC4,10074,1238,10228,426,PVLP010,DNp06,527388,426,True,True
LC4,10074,1238,10010,414,PVLP010,DNp01,512532,414,True,True
LPLC2,10147,1075,10228,453,LHAD1g1,DNp06,486975,453,True,True
LPLC2,10297,974,10584,449,LHAD1g1,DNp06,437326,449,True,True
LC4,12215,1313,10001,278,PVLP122,DNp01,365014,278,True,True
LPLC2,11677,2073,10010,164,PVLP151,DNp01,339972,164,True,True
LC4,531985,938,10584,350,PVLP010,DNp06,328300,350,True,True
LC4,11927,1248,10010,258,PVLP122,DNp01,321984,258,True,True
LPLC2,10297,974,10283,329,LHAD1g1,DNp103,320446,329,True,True
LPLC2,11677,2073,10228,153,PVLP151,DNp06,317169,153,True,True
LPLC2,12275,2095,10584,145,PVLP151,DNp06,303775,145,True,True
LPLC2,10297,974,10923,305,LHAD1g1,DNg40,297070,305,True,True
LPLC2,12275,2095,10001,140,PVLP151,DNp01,293300,140,True,True
LPLC2,10147,1075,10417,262,LHAD1g1,DNp103,281650,262,True,True
LPLC2,10147,1075,10361,261,LHAD1g1,DNg40,280575,261,True,True
LC4,531985,938,10001,297,PVLP010,DNp01,278586,297,True,True
LC4,10074,1238,10361,213,PVLP010,DNg40,263694,213,True,True
LPLC2,523564,4640,10361,55,PVLP011,DNg40,255200,55,True,True
LC4,11927,1248,10228,201,PVLP122,DNp06,250848,201,True,True
LC4,11927,1248,10417,175,PVLP122,DNp103,218400,175,True,True
LPLC2,12275,2095,10283,104,PVLP151,DNp103,217880,104,True,True
LC4,523921,923,10001,233,PVLP122,DNp01,215059,233,True,True
LC4,10992,979,10010,219,PVLP122,DNp01,214401,219,True,True
LPLC2,10867,758,10584,281,PVLP076,DNp06,212998,281,True,True
LPLC2,10867,758,10558,281,PVLP076,DNp35,212998,281,True,True
LPLC2,11826,1283,10228,165,PVLP151,DNp06,211695,165,True,True
LPLC2,10173,1320,10584,160,PVLP151,DNp06,211200,160,True,True
LPLC2,11826,1283,10010,162,PVLP151,DNp01,207846,162,True,True
LPLC2,10147,1075,10010,188,LHAD1g1,DNp01,202100,188,True,True
LC4,530085,807,10259,246,PVLP022,DNp11,198522,246,True,True
LC4,531985,938,10923,200,PVLP010,DNg40,187600,200,True,True
LPLC2,11677,2073,10361,90,PVLP151,DNg40,186570,90,True,True
LC4,523921,923,10923,199,PVLP122,DNg40,183677,199,True,True
LC4,12215,1313,10283,139,PVLP122,DNp103,182507,139,True,True
LPLC2,12275,2095,10923,86,PVLP151,DNg40,180170,86,True,True
LC4,12215,1313,10584,136,PVLP122,DNp06,178568,136,True,True
LPLC2,11677,2073,10417,82,PVLP151,DNp103,169986,82,True,True
LC4,10074,1238,33037,135,PVLP010,DNp69,167130,135,True,True
LPLC2,555383,580,10228,279,PVLP076,DNp06,161820,279,True,True
LPLC2,10297,974,10001,161,LHAD1g1,DNp01,156814,161,True,True
LPLC2,10173,1320,10001,116,PVLP151,DNp01,153120,116,True,True
LC4,10992,979,10228,152,PVLP122,DNp06,148808,152,True,True
LC4,16475,2651,11137,56,PVLP024,DNp04,148456,56,True,True
LPLC2,16659,6983,10558,21,PVLP011,DNp35,146643,21,True,True
LC4,10992,979,10361,149,PVLP122,DNg40,145871,149,True,True
LC4,10297,322,10584,449,LHAD1g1,DNp06,144578,322,True,True
LPLC2,10145,1200,10558,120,PVLP130,DNp35,144000,120,True,True
LC4,531985,938,10957,151,PVLP010,DNp69,141638,151,True,True
LPLC2,12507,810,11088,167,AVLP340,DNp55,135270,167,True,True
LPLC2,523921,580,10001,233,PVLP122,DNp01,135140,233,True,True
LPLC2,11826,1283,10417,104,PVLP151,DNp103,133432,104,True,True
LPLC2,10173,1320,10283,99,PVLP151,DNp103,130680,99,True,True
LC4,16475,2651,10010,49,PVLP024,DNp01,129899,49,True,True
LPLC2,555383,580,10234,221,PVLP076,DNp35,128180,221,True,True
LPLC2,11677,2073,10931,61,PVLP151,DNpe045,126453,61,True,True
LC4,523921,923,10584,137,PVLP122,DNp06,126451,137,True,True
LC4,16475,2651,524001,47,PVLP024,DNp05,124597,47,True,True
LC4,10145,1001,10558,120,PVLP130,DNp35,120120,120,True,True
LPLC2,523921,580,10923,199,PVLP122,DNg40,115420,199,True,True
LC4,11895,804,10106,142,PVLP022,DNp11,114168,142,True,True
LPLC2,10173,1320,10923,86,PVLP151,DNg40,113520,86,True,True
LC4,10074,1238,10259,91,PVLP010,DNp11,112658,91,True,True
LC4,10297,322,10283,329,LHAD1g1,DNp103,105938,322,True,True
LC4,10147,233,10228,453,LHAD1g1,DNp06,105549,233,True,True
LPLC2,12275,2095,11334,50,PVLP151,DNpe045,104750,50,True,True
LPLC2,10867,758,11159,133,PVLP076,DNp71,100814,133,True,True
LC4,12215,1313,11133,76,PVLP122,DNp70,99788,76,True,True
LC4,17375,466,10010,213,SAD064,DNp01,99258,213,True,True
LC4,10297,322,10923,305,LHAD1g1,DNg40,98210,305,True,True
LC4,527690,1167,10106,81,PVLP022,DNp11,94527,81,True,True
LPLC2,12041,497,10283,189,AVLP396,DNp103,93933,189,True,True
LC4,13794,1110,10244,83,PVLP021,DNp55,92130,83,True,True
LC4,531985,938,11088,97,PVLP010,DNp55,90986,97,True,True
LC4,12215,1313,10923,69,PVLP122,DNg40,90597,69,True,True
LC4,11927,1248,10234,72,PVLP122,DNp35,89856,72,True,True
LPLC2,13122,1401,10234,64,PVLP130,DNp35,89664,64,True,True
LC4,19454,2173,531898,41,PVLP024,DNp04,89093,41,True,True
LC4,16475,2651,10259,33,PVLP024,DNp11,87483,33,True,True
LC4,10146,2114,10010,41,AMMC-A1,DNp01,86674,41,True,True
LC4,523921,923,11133,93,PVLP122,DNp70,85839,93,True,True
LC4,11927,1248,10580,68,PVLP122,DNp70,84864,68,True,True
LPLC2,10297,974,10558,87,LHAD1g1,DNp35,84738,87,True,True
LC4,10074,1238,10197,68,PVLP010,DNp02,84184,68,True,True
LC4,531899,856,10010,98,AVLP452,DNp01,83888,98,True,True
LPLC2,523564,4640,10234,18,PVLP011,DNp35,83520,18,True,True
LPLC2,10147,1075,10234,77,LHAD1g1,DNp35,82775,77,True,True
LPLC2,10297,974,10957,84,LHAD1g1,DNp69,81816,84,True,True
LPLC2,10147,1075,33037,76,LHAD1g1,DNp69,81700,76,True,True
LPLC2,529031,383,10001,213,GNG300,DNp01,81579,213,True,True
LC4,16459,2026,531898,40,PVLP024,DNp04,81040,40,True,True
LC4,527699,454,10001,178,SAD064,DNp01,80812,178,True,True
LC4,19454,2173,10752,37,PVLP024,DNp03,80401,37,True,True
LPLC2,10992,363,10010,219,PVLP122,DNp01,79497,219,True,True
LPLC2,523921,580,10584,137,PVLP122,DNp06,79460,137,True,True
LC4,10074,1238,519771,63,PVLP010,DNp71,77994,63,True,True
LPLC2,16659,6983,10283,11,PVLP011,DNp103,76813,11,True,True
LC4,10992,979,10417,76,PVLP122,DNp103,74404,76,True,True
LPLC2,555383,580,519771,128,PVLP076,DNp71,74240,128,True,True
LC4,25438,340,10010,217,SAD064,DNp01,73780,217,True,True
LPLC2,11826,1283,10931,57,PVLP151,DNpe045,73131,57,True,True
LPLC2,10943,3025,11177,24,AVLP531,DNp09,72600,24,True,True
LPLC2,11191,424,10244,171,AVLP340,DNp55,72504,171,True,True
LPLC2,10780,425,10417,165,AVLP396,DNp103,70125,165,True,True
LPLC2,16659,6983,11137,10,PVLP011,DNp04,69830,10,True,True
LPLC2,16659,6983,10001,10,PVLP011,DNp01,69830,10,True,True
LC4,19454,2173,10001,32,PVLP024,DNp01,69536,32,True,True
LPLC2,530085,278,10259,246,PVLP022,DNp11,68388,246,True,True
LC4,10074,1238,10234,55,PVLP010,DNp35,68090,55,True,True
LPLC2,11826,1283,10361,53,PVLP151,DNg40,67999,53,True,True
LPLC2,12275,2095,11137,32,PVLP151,DNp04,67040,32,True,True
LC4,16475,2651,10989,25,PVLP024,DNp03,66275,25,True,True
LPLC2,10780,425,10010,154,AVLP396,DNp01,65450,154,True,True
LC4,16459,2026,10001,32,PVLP024,DNp01,64832,32,True,True
LPLC2,10263,250,10010,258,GNG300,DNp01,64500,250,True,True
LC4,519389,582,10010,109,AVLP452,DNp01,63438,109,True,True
LC4,12275,435,10584,145,PVLP151,DNp06,63075,145,True,True
LC4,10173,394,10584,160,PVLP151,DNp06,63040,160,True,True
LPLC2,12951,4196,11177,15,PVLP069,DNp09,62940,15,True,True
LPLC2,16659,6983,10732,9,PVLP011,DNpe056,62847,9,True,False
LC4,10992,979,10580,64,PVLP122,DNp70,62656,64,True,True
LC4,10074,1238,10417,50,PVLP010,DNp103,61900,50,True,True
LC4,12215,1313,10558,47,PVLP122,DNp35,61711,47,True,True
LC4,10147,233,10417,262,LHAD1g1,DNp103,61046,233,True,True
LC4,16475,2651,10106,23,PVLP024,DNp11,60973,23,True,True
LC4,16475,2651,10752,23,PVLP024,DNp03,60973,23,True,True
LC4,12275,435,10001,140,PVLP151,DNp01,60900,140,True,True
LC4,10147,233,10361,261,LHAD1g1,DNg40,60813,233,True,True
LC4,16459,2026,11020,30,PVLP024,DNp05,60780,30,True,True
LC4,13122,943,10234,64,PVLP130,DNp35,60352,64,True,True
LPLC2,523564,4640,10223,13,PVLP011,DNpe056,60320,13,True,True
LC4,531985,938,10117,64,PVLP010,DNp02,60032,64,True,True
LC4,11927,1248,10259,47,PVLP122,DNp11,58656,47,True,True
LC4,10480,179,11137,327,MeVP53,DNp04,58533,179,True,True
LPLC2,10867,758,10283,77,PVLP076,DNp103,58366,77,True,True
LC4,11826,350,10228,165,PVLP151,DNp06,57750,165,True,True
LC4,15665,311,10001,184,SAD064,DNp01,57224,184,True,True
LC4,531985,938,11159,61,PVLP010,DNp71,57218,61,True,True
LC4,11677,347,10010,164,PVLP151,DNp01,56908,164,True,True
LC4,11826,350,10010,162,PVLP151,DNp01,56700,162,True,True
LPLC2,16659,6983,10584,8,PVLP011,DNp06,55864,8,True,False
LC4,10992,979,10923,57,PVLP122,DNg40,55803,57,True,True
LC4,530085,807,524001,69,PVLP022,DNp05,55683,69,True,True
LPLC2,10992,363,10228,152,PVLP122,DNp06,55176,152,True,True
LPLC2,12041,497,12628,110,AVLP396,DNpe042,54670,110,True,True
LC4,10074,1238,10244,44,PVLP010,DNp55,54472,44,True,True
LPLC2,12275,2095,12628,26,PVLP151,DNpe042,54470,26,True,True
LC4,523921,923,10283,59,PVLP122,DNp103,54457,59,True,True
LPLC2,10992,363,10361,149,PVLP122,DNg40,54087,149,True,True
LPLC2,523921,580,11133,93,PVLP122,DNp70,53940,93,True,True
LC4,11677,347,10228,153,PVLP151,DNp06,53091,153,True,True
LC4,531899,856,10228,62,AVLP452,DNp06,53072,62,True,True
LPLC2,10147,1075,10259,49,LHAD1g1,DNp11,52675,49,True,True
LPLC2,11826,1283,531898,41,PVLP151,DNp04,52603,41,True,True
LC4,531985,938,10106,56,PVLP010,DNp11,52528,56,True,True
LC4,534040,541,11020,97,PVLP015,DNp05,52477,97,True,True
LPLC2,12041,497,10001,105,AVLP396,DNp01,52185,105,True,True
LC4,10074,1238,10580,42,PVLP010,DNp70,51996,42,True,True
LC4,10992,979,10931,53,PVLP122,DNpe045,51887,53,True,True
LC4,10297,322,10001,161,LHAD1g1,DNp01,51842,161,True,True
LPLC2,11677,2073,531898,25,PVLP151,DNp04,51825,25,True,True
LPLC2,12041,497,10584,104,AVLP396,DNp06,51688,104,True,True
LPLC2,10828,1610,10783,32,AVLP531,DNp09,51520,32,True,True
LPLC2,10173,1320,11137,39,PVLP151,DNp04,51480,39,True,True
LPLC2,10780,425,10580,121,AVLP396,DNp70,51425,121,True,True
LPLC2,10609,492,10558,104,PVLP120,DNp35,51168,104,True,True
LPLC2,523564,4640,519771,11,PVLP011,DNp71,51040,11,True,True
LC4,521326,688,10234,74,AVLP259,DNp35,50912,74,True,True
LC4,17375,466,10259,109,SAD064,DNp11,50794,109,True,True
LPLC2,13122,1401,531898,36,PVLP130,DNp04,50436,36,True,True
LC4,19454,2173,11020,23,PVLP024,DNp05,49979,23,True,True
LC4,10017,1992,10283,25,AMMC-A1,DNp103,49800,25,True,True
LPLC2,16659,6983,11088,7,PVLP011,DNp55,48881,7,True,False
LPLC2,10173,1320,11334,37,PVLP151,DNpe045,48840,37,True,True
LC4,531985,938,10558,52,PVLP010,DNp35,48776,52,True,True
LC4,16459,2026,524001,24,PVLP024,DNp05,48624,24,True,True
LC4,10992,979,11133,49,PVLP122,DNp70,47971,49,True,True
LPLC2,13122,1401,10030,34,PVLP130,pIP1,47634,34,True,True
LC4,12215,1313,10580,36,PVLP122,DNp70,47268,36,True,True
LPLC2,12041,497,11133,95,AVLP396,DNp70,47215,95,True,True
LC4,534040,541,10558,86,PVLP015,DNp35,46526,86,True,True
LPLC2,12870,1642,11159,28,AVLP500,DNp71,45976,28,True,True
LPLC2,10780,425,10228,108,AVLP396,DNp06,45900,108,True,True
LC4,10173,394,10001,116,PVLP151,DNp01,45704,116,True,True
LC4,19454,2173,524001,21,PVLP024,DNp05,45633,21,True,True
LPLC2,11677,2073,10091,22,PVLP151,DNpe042,45606,22,True,True
LPLC2,10867,758,575082,60,PVLP076,DNpe021,45480,60,True,True
LC4,12275,435,10283,104,PVLP151,DNp103,45240,104,True,True
LC4,10146,2114,10417,21,AMMC-A1,DNp103,44394,21,True,True
LC4,10147,233,10010,188,LHAD1g1,DNp01,43804,188,True,True
LC4,19454,2173,10106,20,PVLP024,DNp11,43460,20,True,True
LPLC2,13122,1401,10197,31,PVLP130,DNp02,43431,31,True,True
LC4,16246,597,10558,72,AVLP259,DNp35,42984,72,True,True
LPLC2,12870,1642,10283,26,AVLP500,DNp103,42692,26,True,True
LC4,531983,546,10001,78,AVLP452,DNp01,42588,78,True,True
LC4,16459,2026,10106,21,PVLP024,DNp11,42546,21,True,True
LC4,10020,2239,10001,19,AMMC-A1,DNp01,42541,19,True,True
LC4,531985,938,11133,45,PVLP010,DNp70,42210,45,True,True
LPLC2,16659,6983,10106,6,PVLP011,DNp11,41898,6,True,False
LPLC2,523564,4640,10228,9,PVLP011,DNp06,41760,9,True,False
LC4,531985,938,10283,44,PVLP010,DNp103,41272,44,True,True
LC4,65991,912,11088,45,PVLP021,DNp55,41040,45,True,True
LC4,11895,804,11020,51,PVLP022,DNp05,41004,51,True,True
LPLC2,10867,758,10601,54,PVLP076,DNpe025,40932,54,True,True
LPLC2,10867,758,10957,54,PVLP076,DNp69,40932,54,True,True
LC4,16904,484,10234,84,AVLP259,DNp35,40656,84,True,True
LC4,16659,417,10923,97,PVLP011,DNg40,40449,97,True,True
LC4,11895,804,10038,50,PVLP022,pIP1,40200,50,True,True
LPLC2,11826,1283,10091,31,PVLP151,DNpe042,39773,31,True,True
LC4,10251,125,531898,318,MeVP53,DNp04,39750,125,True,True
LC4,10074,1238,531898,32,PVLP010,DNp04,39616,32,True,True
LC4,530085,807,10244,49,PVLP022,DNp55,39543,49,True,True
LPLC2,12870,1642,11133,24,AVLP500,DNp70,39408,24,True,True
LPLC2,10943,3025,12628,13,AVLP531,DNpe042,39325,13,True,True
LC4,10173,394,10283,99,PVLP151,DNp103,39006,99,True,True
LPLC2,11895,273,10106,142,PVLP022,DNp11,38766,142,True,True
LC4,530085,807,10030,48,PVLP022,pIP1,38736,48,True,True
LPLC2,10145,1200,11137,32,PVLP130,DNp04,38400,32,True,True
LPLC2,10780,425,10091,90,AVLP396,DNpe042,38250,90,True,True
LPLC2,10887,393,10280,96,IB114,DNp47,37728,96,True,True
LC4,12275,435,10923,86,PVLP151,DNg40,37410,86,True,True
LPLC2,10995,612,10234,61,PVLP120,DNp35,37332,61,True,True
LPLC2,555383,580,33037,64,PVLP076,DNp69,37120,64,True,True
LC4,17375,466,10197,79,SAD064,DNp02,36814,79,True,True
LC4,25438,340,10259,108,SAD064,DNp11,36720,108,True,True
LPLC2,23112,409,10558,89,PVLP074,DNp35,36401,89,True,True
LC4,11826,350,10417,104,PVLP151,DNp103,36400,104,True,True
LC4,10017,1992,531898,18,AMMC-A1,DNp04,35856,18,True,True
LC4,10020,2239,10584,16,AMMC-A1,DNp06,35824,16,True,True
LC4,10277,1260,10010,28,AMMC-A1,DNp01,35280,28,True,True
LC4,13825,197,10584,178,AVLP429,DNp06,35066,178,True,True
LPLC2,16659,6983,10601,5,PVLP011,DNpe025,34915,5,True,False
LPLC2,16659,6983,11334,5,PVLP011,DNpe045,34915,5,True,False
LC4,15994,589,10010,59,CB3513,DNp01,34751,59,True,True
LC4,10257,1821,10001,19,AMMC-A1,DNp01,34599,19,True,True
LC4,16459,2026,10234,17,PVLP024,DNp35,34442,17,True,True
LC4,15068,275,10732,125,PVLP019,DNpe056,34375,125,True,True
LPLC2,523921,580,10283,59,PVLP122,DNp103,34220,59,True,True
LC4,15815,697,10244,49,PVLP021,DNp55,34153,49,True,True
LC4,523921,923,12628,37,PVLP122,DNpe042,34151,37,True,True
LC4,13122,943,531898,36,PVLP130,DNp04,33948,36,True,True
LC4,10173,394,10923,86,PVLP151,DNg40,33884,86,True,True
LC4,85544,487,10001,69,AVLP452,DNp01,33603,69,True,True
LC4,527699,454,10117,74,SAD064,DNp02,33596,74,True,True
LC4,523921,923,11334,36,PVLP122,DNpe045,33228,36,True,True
LC4,526031,716,10244,46,PVLP021,DNp55,32936,46,True,True
LC4,12215,1313,10106,25,PVLP122,DNp11,32825,25,True,True
LC4,531983,546,10584,60,AVLP452,DNp06,32760,60,True,True
LC4,523564,594,10361,55,PVLP011,DNg40,32670,55,True,True
LPLC2,555383,580,10417,56,PVLP076,DNp103,32480,56,True,True
LC4,11927,1248,10558,26,PVLP122,DNp35,32448,26,True,True
LPLC2,10297,974,11159,33,LHAD1g1,DNp71,32142,33,True,True
LC4,13122,943,10030,34,PVLP130,pIP1,32062,34,True,True
LC4,10145,1001,11137,32,PVLP130,DNp04,32032,32,True,True
LC4,16475,2651,11020,12,PVLP024,DNp05,31812,12,True,True
LPLC2,12041,497,10580,64,AVLP396,DNp70,31808,64,True,True
LPLC2,12507,810,10601,39,AVLP340,DNpe025,31590,39,True,True
LC4,12215,1313,10117,24,PVLP122,DNp02,31512,24,True,True
LC4,11895,804,11088,39,PVLP022,DNp55,31356,39,True,True
LC4,11677,347,10361,90,PVLP151,DNg40,31230,90,True,True
LC4,11927,1248,11133,25,PVLP122,DNp70,31200,25,True,True
LPLC2,10147,1075,10580,29,LHAD1g1,DNp70,31175,29,True,True
LPLC2,10297,974,10117,32,LHAD1g1,DNp02,31168,32,True,True
LPLC2,10297,974,12628,32,LHAD1g1,DNpe042,31168,32,True,True
LC4,534040,541,10106,57,PVLP015,DNp11,30837,57,True,True
LC4,11599,212,10228,144,AVLP429,DNp06,30528,144,True,True
LC4,16887,526,10558,58,AVLP259,DNp35,30508,58,True,True
LC4,19454,2173,10259,14,PVLP024,DNp11,30422,14,True,True
LC4,16459,2026,10752,15,PVLP024,DNp03,30390,15,True,True
LC4,527690,1167,11020,26,PVLP022,DNp05,30342,26,True,True
LPLC2,10867,758,10117,39,PVLP076,DNp02,29562,39,True,True
LC4,523921,923,10361,32,PVLP122,DNg40,29536,32,True,True
LC4,527699,454,10106,65,SAD064,DNp11,29510,65,True,True
LC4,532199,1341,10010,22,AMMC-A1,DNp01,29502,22,True,True
LC4,10992,979,10091,30,PVLP122,DNpe042,29370,30,True,True
LC4,526031,716,11088,41,PVLP021,DNp55,29356,41,True,True
LC4,13122,943,10197,31,PVLP130,DNp02,29233,31,True,True
LPLC2,10780,425,12628,68,AVLP396,DNpe042,28900,68,True,True
LC4,12215,1313,11334,22,PVLP122,DNpe045,28886,22,True,True
LC4,523921,923,10580,31,PVLP122,DNp70,28613,31,True,True
LC4,11677,347,10417,82,PVLP151,DNp103,28454,82,True,True
LC4,11472,292,524001,97,PVLP015,DNp05,28324,97,True,True
LC4,10297,322,10558,87,LHAD1g1,DNp35,28014,87,True,True
LC4,527690,1167,10001,24,PVLP022,DNp01,28008,24,True,True
LPLC2,16659,6983,10989,4,PVLP011,DNp03,27932,4,True,False
LC4,21342,362,10228,77,CL323,DNp06,27874,77,True,True
LPLC2,523564,4640,531898,6,PVLP011,DNp04,27840,6,True,False
LC4,13794,1110,10106,25,PVLP021,DNp11,27750,25,True,True
LPLC2,16445,173,10584,160,PVLP123,DNp06,27680,160,True,True
LPLC2,10992,363,10417,76,PVLP122,DNp103,27588,76,True,True
LPLC2,12507,810,10068,34,AVLP340,DNp30,27540,34,True,True
LC4,71157,682,10010,40,CB3513,DNp01,27280,40,True,True
LPLC2,12275,2095,11133,13,PVLP151,DNp70,27235,13,True,True
LC4,10936,267,10228,102,LT61b,DNp06,27234,102,True,True
LPLC2,10780,425,11133,64,AVLP396,DNp70,27200,64,True,True
LC4,10297,322,10957,84,LHAD1g1,DNp69,27048,84,True,True
LPLC2,11677,2073,12218,13,PVLP151,DNpe031,26949,13,True,True
LC4,12255,197,10223,135,PVLP019,DNpe056,26595,135,True,True
LPLC2,10867,758,10065,35,PVLP076,DNb05,26530,35,True,True
LC4,15665,311,10117,85,SAD064,DNp02,26435,85,True,True
LC4,11927,1248,10361,21,PVLP122,DNg40,26208,21,True,True
LPLC2,527690,323,10106,81,PVLP022,DNp11,26163,81,True,True
LC4,19454,2173,10234,12,PVLP024,DNp35,26076,12,True,True
LPLC2,12236,303,10732,86,LC31b,DNpe056,26058,86,True,True
LC4,523921,923,10010,28,PVLP122,DNp01,25844,28,True,True
LPLC2,10147,1075,10197,24,LHAD1g1,DNp02,25800,24,True,True
LPLC2,10147,1075,531898,24,LHAD1g1,DNp04,25800,24,True,True
LPLC2,555383,580,10449,44,PVLP076,DNpe025,25520,44,True,True
LC4,25438,340,10197,75,SAD064,DNp02,25500,75,True,True
LC4,10257,1821,10283,14,AMMC-A1,DNp103,25494,14,True,True
LC4,15665,311,10106,81,SAD064,DNp11,25191,81,True,True
LPLC2,555383,580,10030,43,PVLP076,pIP1,24940,43,True,True
LC4,10992,979,10259,25,PVLP122,DNp11,24475,25,True,True
LC4,531985,938,11137,26,PVLP010,DNp04,24388,26,True,True
LPLC2,12041,497,10091,49,AVLP396,DNpe042,24353,49,True,True
LPLC2,10297,974,11133,25,LHAD1g1,DNp70,24350,25,True,True
LPLC2,10943,3025,10091,8,AVLP531,DNpe042,24200,8,True,False
LC4,16904,484,10228,50,AVLP259,DNp06,24200,50,True,True
LC4,562991,302,11020,80,LoVP85,DNp05,24160,80,True,True
LC4,18907,147,10228,164,PVLP123,DNp06,24108,147,True,True
LC4,19454,2173,10117,11,PVLP024,DNp02,23903,11,True,True
LC4,16475,2651,10558,9,PVLP024,DNp35,23859,9,True,False
LPLC2,11697,1076,10580,22,AVLP500,DNp70,23672,22,True,True
LPLC2,11697,1076,10417,22,AVLP500,DNp103,23672,22,True,True
LPLC2,10147,1075,519771,22,LHAD1g1,DNp71,23650,22,True,True
LC4,12215,1313,12628,18,PVLP122,DNpe042,23634,18,True,True
LPLC2,10780,425,10931,55,AVLP396,DNpe045,23375,55,True,True
LPLC2,11191,424,10449,55,AVLP340,DNpe025,23320,55,True,True
LPLC2,10995,612,10558,38,PVLP120,DNp35,23256,38,True,True
LPLC2,10992,363,10580,64,PVLP122,DNp70,23232,64,True,True
LPLC2,523564,4640,10752,5,PVLP011,DNp03,23200,5,True,False
LPLC2,523564,4640,33037,5,PVLP011,DNp69,23200,5,True,False
LC4,19951,773,10584,30,CB3400,DNp06,23190,30,True,True
LPLC2,11677,2073,519771,11,PVLP151,DNp71,22803,11,True,True
LPLC2,11677,2073,11573,11,PVLP151,DNpe021,22803,11,True,True
LC4,521326,688,10228,33,AVLP259,DNp06,22704,33,True,True
LC4,10992,979,11334,23,PVLP122,DNpe045,22517,23,True,True
LC4,11927,1248,10931,18,PVLP122,DNpe045,22464,18,True,True
LC4,11927,1248,10091,18,PVLP122,DNpe042,22464,18,True,True
LPLC2,16482,101,10228,221,PVLP123,DNp06,22321,101,True,True
LC4,16459,2026,10259,11,PVLP024,DNp11,22286,11,True,True
LPLC2,16445,173,10001,128,PVLP123,DNp01,22144,128,True,True
LC4,12255,197,10259,112,PVLP019,DNp11,22064,112,True,True
LC4,10017,1992,10001,11,AMMC-A1,DNp01,21912,11,True,True
LC4,21548,154,11133,142,AVLP094,DNp70,21868,142,True,True
LC4,12275,435,11334,50,PVLP151,DNpe045,21750,50,True,True
LC4,19454,2173,10197,10,PVLP024,DNp02,21730,10,True,True
LC4,11472,292,10234,74,PVLP015,DNp35,21608,74,True,True
LPLC2,523921,580,12628,37,PVLP122,DNpe042,21460,37,True,True
LC4,17375,466,10361,46,SAD064,DNg40,21436,46,True,True
LC4,523921,923,10091,23,PVLP122,DNpe042,21229,23,True,True
LPLC2,11191,424,10143,50,AVLP340,DNp30,21200,50,True,True
LPLC2,10943,3025,11159,7,AVLP531,DNp71,21175,7,True,False
LC4,11677,347,10931,61,PVLP151,DNpe045,21167,61,True,True
LC4,562991,302,524001,70,LoVP85,DNp05,21140,70,True,True
LC4,11926,304,11020,69,LoVP85,DNp05,20976,69,True,True
LPLC2,16659,6983,10038,3,PVLP011,pIP1,20949,3,True,False
LPLC2,16659,6983,10957,3,PVLP011,DNp69,20949,3,True,False
LPLC2,523921,580,11334,36,PVLP122,DNpe045,20880,36,True,True
LPLC2,23112,409,10584,51,PVLP074,DNp06,20859,51,True,True
LPLC2,10992,363,10923,57,PVLP122,DNg40,20691,57,True,True
LPLC2,529031,383,10117,54,GNG300,DNp02,20682,54,True,True
LC4,13114,111,10001,186,SAD064,DNp01,20646,111,True,True
LC4,523921,923,10106,22,PVLP122,DNp11,20306,22,True,True
LPLC2,12507,810,10732,25,AVLP340,DNpe056,20250,25,True,True
LC4,19951,773,11137,26,CB3400,DNp04,20098,26,True,True
LC4,19951,773,10283,26,CB3400,DNp103,20098,26,True,True
LC4,25438,340,10361,59,SAD064,DNg40,20060,59,True,True
LC4,10887,208,10280,96,IB114,DNp47,19968,96,True,True
LC4,11927,1248,10283,16,PVLP122,DNp103,19968,16,True,True
LC4,11826,350,10931,57,PVLP151,DNpe045,19950,57,True,True
LC4,16930,348,10001,57,CB3513,DNp01,19836,57,True,True
LC4,10074,1238,10449,16,PVLP010,DNpe025,19808,16,True,True
LC4,12215,1313,10010,15,PVLP122,DNp01,19695,15,True,True
LC4,12215,1313,10234,15,PVLP122,DNp35,19695,15,True,True
LC4,12215,1313,10957,15,PVLP122,DNp69,19695,15,True,True
LC4,15665,311,10584,63,SAD064,DNp06,19593,63,True,True
LC4,15815,697,11088,28,PVLP021,DNp55,19516,28,True,True
LPLC2,12427,4857,10417,4,PVLP069,DNp103,19428,4,True,False
LPLC2,12427,4857,10449,4,PVLP069,DNpe025,19428,4,True,False
LPLC2,10147,1075,10143,18,LHAD1g1,DNp30,19350,18,True,True
LC4,526031,716,10010,27,PVLP021,DNp01,19332,27,True,True
LPLC2,10992,363,10931,53,PVLP122,DNpe045,19239,53,True,True
LC4,21342,362,10197,53,CL323,DNp02,19186,53,True,True
LPLC2,530085,278,524001,69,PVLP022,DNp05,19182,69,True,True
LPLC2,13648,157,11177,122,PVLP150,DNp09,19154,122,True,True
LPLC2,555383,580,11573,33,PVLP076,DNpe021,19140,33,True,True
LPLC2,11187,105,10228,180,LoVP54,DNp06,18900,105,True,True
LC4,11926,304,524001,62,LoVP85,DNp05,18848,62,True,True
LC4,17065,673,10001,28,CB3513,DNp01,18844,28,True,True
LC4,21342,362,10010,52,CL323,DNp01,18824,52,True,True
